Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
00,2023,04,27,15,39,24,0.035,0.07,0.714,53.19,48.686,51.838,340.514,-311.295,16582.23,7.955
00,2023,04,27,15,39,25,0.735,-0.399,-0.558,58.704,52.218,54.185,155.025,-423.728,16713.18,7.955
00,2023,04,27,15,39,25,-0.19,-0.123,-1.018,52.096,52.458,49.643,234.278,-515.465,16444.74,7.955
00,2023,04,27,15,39,26,0.359,-0.033,0.291,51.462,50.975,50.425,119.616,-545.843,16527.09,7.955
00,2023,04,27,15,39,26,0.815,-0.25,1.04,54,51.848,53.664,24.047,522.298,16554.43,7.955
00,2023,04,27,15,39,27,0.934,-0.401,-1.151,51.243,52.502,53.577,185.23,-84.466,16598.89,7.955
00,2023,04,27,15,39,27,0.506,-0.119,0.725,54.919,55.271,54.164,121.5,123.198,16672.45,7.955
00,2023,04,27,15,39,28,0.405,-0.333,-0.242,49.974,51.259,51.555,58.02,-123.114,16654,7.955
00,2023,04,27,15,39,28,0.59,-0.345,-1.247,50.849,49.449,47.795,293.904,-234.375,16686.74,7.955
00,2023,04,27,15,39,29,1.01,-0.392,-0.965,48.683,49.384,52.207,269.001,-640.44,16576.28,7.955
00,2023,04,27,15,39,29,0.814,-0.43,-0.127,53.147,51.433,51.729,-228.657,-494.29,16794.71,7.955
00,2023,04,27,15,39,30,0.752,-0.072,-0.088,50.04,49.602,52.077,109.403,-157.606,16474.16,7.955
00,2023,04,27,15,39,30,0.486,-0.259,-0.045,54.109,52.436,53.729,259.41,-259.141,16609.86,7.955
00,2023,04,27,15,39,31,0.295,-0.261,0.195,53.081,49.427,52.49,-54.841,113.248,16697.86,7.955
00,2023,04,27,15,39,31,0.619,-0.088,0.014,51.746,53.853,53.968,109.87,126.757,16566.66,7.955
00,2023,04,27,15,39,32,0.107,0.071,0.126,51.637,50.038,48.969,226.458,-307.992,16526.9,7.955
00,2023,04,27,15,39,33,0.532,-0.197,0.296,55.247,51.804,50.751,294.865,-544.09,16744.99,7.955
00,2023,04,27,15,39,33,-0.936,-0.094,1.207,51.746,51.259,53.925,127.482,149.396,16723.39,7.955
00,2023,04,27,15,39,33,0.389,-0.388,0.32,51.702,50.583,51.925,46.452,-48.805,16576.15,7.955
00,2023,04,27,15,39,34,1.051,-0.83,-1.107,49.186,49.536,53.794,122.255,-97.967,16644.79,7.955
00,2023,04,27,15,39,35,0.16,-0.46,-0.038,52.096,52.589,49.925,185.247,-290.301,16646.25,7.955
00,2023,04,27,15,39,35,0.77,-0.297,-0.443,49.252,48.403,50.729,268.308,-50.963,16626.59,7.955
00,2023,04,27,15,39,36,0.539,-0.272,-0.337,52.162,47.094,49.708,264.729,-53.945,16512.97,7.955
00,2023,04,27,15,39,36,0.304,-0.175,0.522,53.628,52.087,51.795,399.001,96.795,16597.37,7.955
00,2023,04,27,15,39,37,0.173,-0.099,0.165,49.361,47.923,48.056,274.453,-517.062,16722.03,7.955
00,2023,04,27,15,39,37,1.016,-0.423,0.471,50.215,51.891,50.273,271.787,-162.36,16547.99,7.955
00,2023,04,27,15,39,38,0.177,-0.427,-1.05,52.709,44.544,49.643,213.412,-75.863,16659.9,7.955
00,2023,04,27,15,39,38,-0.098,-0.448,-1.927,51.112,52.109,51.468,388.088,-402.022,16627.43,7.955
00,2023,04,27,15,39,39,0.324,-0.453,1.186,50.083,51.586,53.903,197.887,150.417,16576.92,7.955
00,2023,04,27,15,39,39,0.628,-0.475,0.08,52.096,49.188,54.055,339.094,-360.604,16591.18,7.955
00,2023,04,27,15,39,40,0.105,-0.175,0.307,48.727,50.757,48.599,92.685,237.436,16581.11,7.955
00,2023,04,27,15,39,40,0.217,-0.133,0.129,53.234,55.816,58.402,48.885,-88.184,16627.87,7.955
00,2023,04,27,15,39,41,0.156,-0.13,0.937,54.722,51.019,50.99,86.392,100.745,16653.14,7.955
00,2023,04,27,15,39,41,0.869,-0.51,-0.707,50.937,51.52,51.816,-93.39,-23.195,16646.33,7.955
00,2023,04,27,15,39,42,0.583,-0.24,-0.421,53.037,51.52,53.49,96.411,-258.299,16737.71,7.955
00,2023,04,27,15,39,42,0.439,-0.46,1,52.249,50.474,48.73,71.162,-287.538,16691.39,7.955
00,2023,04,27,15,39,43,0.218,-0.27,-0.942,52.424,53.679,52.62,24.277,65.336,16609.7,7.955
00,2023,04,27,15,39,43,0.521,-0.319,0.085,50.433,48.926,52.055,111.387,173.52,16596.5,7.955
00,2023,04,27,15,39,44,0.288,-0.572,-0.141,52.184,47.574,49.773,-44.222,-156.557,16622.91,7.955
00,2023,04,27,15,39,44,0.901,-0.304,-0.229,51.352,52.327,53.903,-188.946,298.72,16758.12,7.955
00,2023,04,27,15,39,45,0.781,-0.591,-0.324,51.834,48.141,51.99,39.011,585.96,16533,7.955
00,2023,04,27,15,39,45,0.452,-0.216,0.02,50.893,48.294,49.447,110.908,-292.288,16712.68,7.955
00,2023,04,27,15,39,46,0.131,-0.303,-0.063,51.199,51.978,57.424,115.619,334.891,16578.55,7.955
00,2023,04,27,15,39,46,0.353,-0.244,0.478,53.168,49.515,52.903,62.843,404.355,16609.12,7.955
00,2023,04,27,15,39,47,0.948,-0.438,0.844,52.49,49.144,48.947,9.352,535.587,16587.72,7.955
00,2023,04,27,15,39,47,0.171,-0.291,1.029,55.313,54.464,49.404,102.823,191.913,16656.99,7.955
00,2023,04,27,15,39,48,0.355,0.011,0.599,50.412,49.449,50.447,118.344,431.781,16521.37,7.955
00,2023,04,27,15,39,48,0.631,-0.341,0.414,51.943,48.773,52.077,199.471,232.517,16617.53,7.955
00,2023,04,27,15,39,49,0.376,0.112,1.934,52.993,51.041,49.382,270.064,255.856,16464.38,7.955
00,2023,04,27,15,39,49,0.504,-0.289,1.221,49.296,48.817,51.403,309.584,248.359,16652.13,7.955
00,2023,04,27,15,39,50,0.735,-0.016,0.272,50.63,48.97,54.229,445.143,19.797,16731.64,7.955
00,2023,04,27,15,39,50,-0.022,-0.104,0.344,56.166,52.371,52.099,235.283,324.987,16605.57,7.955
00,2023,04,27,15,39,51,1.268,-0.351,-0.56,50.346,49.994,54.62,306.572,71.318,16697.5,7.955
00,2023,04,27,15,39,51,1.228,-0.242,0.24,53.934,49.754,50.903,50.092,256.284,16534.01,7.955
00,2023,04,27,15,39,52,0.638,-0.053,0.054,51.352,51.608,54.011,39.243,286.735,16663.13,7.955
00,2023,04,27,15,39,52,0.264,-0.253,-0.245,58.441,52.959,51.121,-151.006,490.373,16744.96,7.955
00,2023,04,27,15,39,53,0.339,-0.174,1.072,52.512,50.648,48.73,185.196,586.346,16627.4,7.955
00,2023,04,27,15,39,53,0.701,-0.371,0.289,50.718,50.43,47.621,163.765,199.478,16647.96,7.955
00,2023,04,27,15,39,54,0.26,-0.158,-0.141,52.424,51.499,54.272,173.979,206.774,16595.17,7.955
00,2023,04,27,15,39,54,0.772,-0.577,-0.037,50.74,50.954,52.36,-169.17,417.069,16761.67,7.955
00,2023,04,27,15,39,55,0.785,-0.277,0.344,54.612,47.705,45.47,225.434,35.597,16490.63,7.955
00,2023,04,27,15,39,55,0.872,-0.327,0.054,53.256,52.305,49.36,173.014,358.967,16609.27,7.955
00,2023,04,27,15,39,56,0.764,-0.127,1.088,59.12,52.741,51.947,179.665,265.29,16541.7,7.955
00,2023,04,27,15,39,56,0.74,-0.268,0.157,50.412,50.627,50.382,434.258,-88.345,16651.25,7.955
00,2023,04,27,15,39,57,0.833,-0.355,-0.067,54.634,53.679,50.382,170.532,454.737,16588.86,7.955
00,2023,04,27,15,39,57,0.937,-0.515,0.301,51.987,51.019,50.164,103.416,440.509,16573.91,7.955
00,2023,04,27,15,39,58,0.611,-0.557,0.007,54.591,48.533,50.317,286.58,261.832,16566.9,7.955
00,2023,04,27,15,39,58,1.286,-0.234,0.136,54.416,51.869,51.056,267.803,92.656,16594.4,7.955
00,2023,04,27,15,39,59,1.281,-0.096,-0.079,52.271,50.3,50.599,255.681,50.31,16658.8,7.955
00,2023,04,27,15,39,59,0.933,-0.39,-0.813,51.593,51.433,48.752,398.865,166.163,16642.91,7.955
00,2023,04,27,15,40,00,0.576,-0.223,0.707,53.409,52.763,53.403,261.053,536.911,16544.02,7.955
00,2023,04,27,15,40,00,0.588,-0.415,1.23,55.203,53.396,51.577,159.135,54.447,16563.29,7.955
00,2023,04,27,15,40,01,0.624,-0.095,-0.581,54,52.24,52.533,176.056,80.884,16638.36,7.955
00,2023,04,27,15,40,01,0.684,-0.394,-0.643,52.337,52.916,52.99,263.262,117.926,16435.61,7.955
00,2023,04,27,15,40,02,-0.008,-0.269,0.245,53.869,53.003,53.62,57.184,356.863,16518.44,7.955
00,2023,04,27,15,40,02,1.305,-0.06,0.061,52.687,52.829,54.837,317.053,86.356,16623.81,7.955
00,2023,04,27,15,40,03,0.595,-0.443,-0.038,53.125,53.265,50.903,104.324,257.8,16550.58,7.955
