Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
00,2023,04,27,16,47,58,0.125,-0.172,0.13,31.573,36.738,45.252,377.515,-289.651,16623.25,7.34
00,2023,04,27,16,47,58,-0.053,-0.204,0.148,31.704,37.305,45.687,10.241,-229.347,16582.79,7.34
00,2023,04,27,16,47,59,-0.049,-0.079,-0.091,31.967,38.068,47.056,337.142,-283.145,16513.39,7.34
00,2023,04,27,16,47,59,-0.194,-0.145,-0.586,32.47,37.327,48.708,-14.757,-54.668,16463.54,7.34
00,2023,04,27,16,48,00,-0.056,-0.174,0.23,33.52,37.85,45.991,220.585,-306.74,16626.03,7.34
00,2023,04,27,16,48,00,-0.052,-0.093,0.019,32.382,37.981,45.078,216.969,-195.398,16570.21,7.34
00,2023,04,27,16,48,01,0.099,-0.129,-0.218,33.695,37.981,45.426,-19.123,-194.749,16650.86,7.34
00,2023,04,27,16,48,01,-0.103,-0.164,-0.696,32.864,37.152,46.361,428.584,-639.408,16469.18,7.34
00,2023,04,27,16,48,02,-0.097,-0.047,-0.067,31.748,37.349,46.1,183.885,-353.127,16741.43,7.34
00,2023,04,27,16,48,02,-0.008,-0.079,-0.285,30.435,35.299,44.731,405.14,-393.44,16681.91,7.34
00,2023,04,27,16,48,03,-0.157,-0.167,-0.654,33.039,38.024,46.926,115.454,-258.22,16752.31,7.34
00,2023,04,27,16,48,03,-0.078,-0.08,-0.329,32.361,36.694,47.187,198.569,-209.088,16490.17,7.34
00,2023,04,27,16,48,04,-0.156,-0.158,-0.249,33.958,38.679,46.252,244.652,-395.47,16577.79,7.34
00,2023,04,27,16,48,04,0.296,-0.159,-0.55,31.814,35.844,43.253,372.227,-392.438,16619.13,7.34
00,2023,04,27,16,48,05,-0.039,-0.069,-0.273,32.229,38.33,45.165,289.854,-84.118,16542.42,7.34
00,2023,04,27,16,48,05,-0.144,-0.068,-0.273,33.411,39.834,46.165,288.556,-269.345,16573.5,7.34
00,2023,04,27,16,48,06,-0.041,-0.055,-0.227,33.936,41.535,47.969,325.532,-134.748,16474.62,7.34
00,2023,04,27,16,48,06,-0.103,-0.204,-0.793,35.161,41.426,48.513,300.613,-395.721,16581.6,7.34
00,2023,04,27,16,48,07,-0.005,-0.029,-0.119,33.892,36.651,42.709,181.682,-365.517,16643.94,7.34
00,2023,04,27,16,48,07,-0.101,-0.023,-0.012,29.779,35.931,43.905,245.083,-376.648,16547.15,7.34
00,2023,04,27,16,48,08,-0.542,-0.155,0.269,32.864,36.934,43.926,176.661,-198.054,16597.01,7.34
00,2023,04,27,16,48,08,0.031,-0.113,-0.221,31.267,36.019,44.122,184.804,-249.766,16559.33,7.34
00,2023,04,27,16,48,09,-0.15,-0.099,-0.394,32.514,35.888,43.883,334.621,-335.199,16573.21,7.34
00,2023,04,27,16,48,09,-0.022,-0.056,-0.083,31.179,33.555,41.036,290.354,-280.635,16696.87,7.34
00,2023,04,27,16,48,10,-0.204,-0.108,-0.183,29.144,33.293,38.927,133.863,-318.794,16649.25,7.34
00,2023,04,27,16,48,10,-0.043,-0.019,-0.014,30.041,34.427,40.797,64.708,-245.806,16569.19,7.34
00,2023,04,27,16,48,11,0.049,-0.246,-0.368,29.691,31.658,37.449,92.582,-164.631,16546.08,7.34
00,2023,04,27,16,48,11,-0.426,-0.106,0.066,27.7,31.266,38.427,-11.911,-173.177,16586.66,7.34
00,2023,04,27,16,48,12,0.012,-0.07,0.142,28.181,32.007,37.536,80.719,-368.23,16510.07,7.34
00,2023,04,27,16,48,12,-0.062,-0.115,-0.007,28.028,29.478,37.08,-108.764,-144.333,16678.07,7.34
00,2023,04,27,16,48,13,-0.303,-0.103,0.049,28.532,29.652,38.71,-44.459,-214.231,16617.22,7.34
00,2023,04,27,16,48,13,-0.305,-0.103,-0.178,29.341,32.377,39.645,28.986,12.298,16592.81,7.34
00,2023,04,27,16,48,14,-0.039,-0.094,0.053,27.788,28.998,38.297,-104.675,-232.072,16701.6,7.34
00,2023,04,27,16,48,14,-0.121,-0.069,-0.012,27.722,30.284,39.058,30.434,-323.728,16593.78,7.34
00,2023,04,27,16,48,15,-0.22,-0.152,-0.085,29.582,30.808,40.818,24.043,-119.499,16543.18,7.34
00,2023,04,27,16,48,15,-0.126,-0.095,-0.074,28.422,31.004,40.014,-32.793,89.177,16571.98,7.34
00,2023,04,27,16,48,16,0.065,-0.276,-0.564,28.882,31.396,40.84,62.705,-193.83,16630.93,7.34
00,2023,04,27,16,48,16,-0.103,-0.05,-0.057,28.553,31.353,39.927,45.234,-169.741,16630.44,7.34
00,2023,04,27,16,48,17,-0.092,-0.084,-0.263,28.882,31.222,39.492,146.645,-296.517,16514.69,7.34
00,2023,04,27,16,48,17,-0.084,-0.122,-0.081,27.328,30.764,36.971,23.169,-126.547,16620.06,7.34
00,2023,04,27,16,48,18,-0.128,-0.109,0.258,26.672,27.886,35.298,176.759,-231.968,16571.83,7.34
00,2023,04,27,16,48,18,-0.039,-0.073,0.233,26.65,30.11,34.993,145.216,-71.575,16459.08,7.34
00,2023,04,27,16,48,19,-0.051,-0.013,-0.104,25.687,28.693,34.733,-2.676,219.717,16660.3,7.34
00,2023,04,27,16,48,19,-0.14,-0.046,-0.166,28.444,30.982,37.906,179.224,-131.561,16540.21,7.34
00,2023,04,27,16,48,20,-0.077,-0.108,0.335,27.109,28.911,36.537,48.594,-218.228,16592.67,7.34
00,2023,04,27,16,48,20,-0.093,-0.214,-0.166,29.232,32.356,41.188,93.511,-120.414,16628.75,7.34
00,2023,04,27,16,48,21,-0.066,-0.153,-0.166,28.335,31.527,38.906,79.353,12.77,16522.94,7.34
00,2023,04,27,16,48,21,-0.057,-0.216,-0.147,29.385,30.764,37.232,83.099,276.1,16598.13,7.34
00,2023,04,27,16,48,22,-0.208,-0.135,-0.125,33.367,32.072,37.189,192.193,90.301,16630.41,7.34
00,2023,04,27,16,48,22,-0.189,-0.133,-0.104,29.188,31.985,38.319,45.065,-119.65,16669.82,7.34
00,2023,04,27,16,48,23,-0.22,-0.102,-0.113,26.847,29.151,35.971,171.825,-178.672,16609.52,7.34
00,2023,04,27,16,48,23,0.396,0.084,0.722,25.359,30.742,34.537,151.826,152.095,16693.22,7.34
00,2023,04,27,16,48,24,-0.24,-0.043,0.162,25.031,28.039,31.733,82.529,194.452,16464.71,7.34
