Desktop_Software_Build_Version,1.7
#,St,Method,%Dep,MeasD,Npts,Spike,CorrFact,Loc,LocY,Depth1,Depth2,FinalD,IceD,WsIceD,WsSlushD,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,SNRStd1,SNRStd2,SNRStd3,Temp,Batt,Tilt
(),(),(),(),(m),(),(),(),(m),(m),(m),(m),(m),(m),(m),(m),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(dB),(dB),(dB),(°C),(V),(deg)
000,000,None,0.636,0.14,80,3,1.00,1,1,0.22,NaN,0.22,NaN,NaN,NaN,0.585,-0.286,0.079,-26.064,0.039,0.019,0.068,52.426,50.958,51.56,2.103,1.958,2.224,7.955,9.422,1.193
001,001,None,0.607,0.085,80,3,1.00,1,2,0.14,NaN,0.14,NaN,NaN,NaN,0.723,-0.115,0.201,-9.018,0.026,0.011,0.047,52.09,50.613,46.775,1.557,1.592,4.875,7.917,9.397,0.47
002,002,None,0.6,0.12,80,3,1.00,2,1,0.2,NaN,0.2,NaN,NaN,NaN,1.092,0.049,0.18,2.579,0.033,0.01,0.076,50.171,45.745,42.901,1.791,3.595,6.681,7.906,9.394,1.687
003,003,None,0.591,0.13,80,6,1.00,2,2,0.22,NaN,0.22,NaN,NaN,NaN,0.457,0.124,0.215,15.173,0.058,0.014,0.091,51.114,47.039,43.158,2.344,3.311,7.542,7.878,9.362,1.582
004,004,None,1,0.24,80,3,1.00,0,0,0.24,NaN,0.24,NaN,NaN,NaN,0.298,0.104,0.099,19.297,0.041,0.017,0.063,51.707,50.236,51.004,1.639,1.531,1.962,7.878,9.36,1.96
005,005,None,0.604,0.145,80,3,1.00,0,0,0.24,NaN,0.24,NaN,NaN,NaN,1.306,0.147,-0.085,6.406,0.05,0.02,0.104,50.903,45.687,46.806,2.099,4.022,3.926,7.844,9.328,1.63
