Desktop_Software_Build_Version,1.7
#,St,Method,%Dep,MeasD,Npts,Spike,CorrFact,Loc,LocY,Depth1,Depth2,FinalD,IceD,WsIceD,WsSlushD,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,SNRStd1,SNRStd2,SNRStd3,Temp,Batt,Tilt
(),(),(),(),(m),(),(),(),(m),(m),(m),(m),(m),(m),(m),(m),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(dB),(dB),(dB),(°C),(V),(deg)
000,000,None,0.611,0.11,80,0,1.00,1,1,0.18,NaN,0.18,NaN,NaN,NaN,0.888,0.106,-0.231,6.807,0.035,0.011,0.064,51.867,49.721,45.161,1.439,1.803,5.53,7.763,9.314,2.089
001,001,None,0.604,0.145,80,3,1.00,1,2,0.24,NaN,0.24,NaN,NaN,NaN,1.566,0.176,0.055,6.405,0.04,0.016,0.067,51.923,46.576,49.301,1.849,2.949,2.868,7.763,9.309,1.507
002,002,None,0.611,0.11,80,3,1.00,2,1,0.18,NaN,0.18,NaN,NaN,NaN,0.507,0.043,0.163,4.799,0.028,0.011,0.061,49.88,47.523,44.51,1.45,1.954,6.062,7.725,9.299,1.895
003,003,None,1,0.16,80,1,1.00,0,0,0.16,NaN,0.16,NaN,NaN,NaN,0.659,0.25,0.224,20.765,0.051,0.017,0.081,47.897,41.004,46.424,1.94,3.582,2.69,7.687,9.309,1.115
004,004,None,0.625,0.1,80,3,1.00,0,0,0.16,NaN,0.16,NaN,NaN,NaN,0.705,0.103,0.25,8.326,0.042,0.013,0.064,48.131,43.36,45.551,2.363,3.364,2.617,7.687,9.297,0.944
