Desktop_Software_Build_Version,1.7
#,St,Method,%Dep,MeasD,Npts,Spike,CorrFact,Loc,LocY,Depth1,Depth2,FinalD,IceD,WsIceD,WsSlushD,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,SNRStd1,SNRStd2,SNRStd3,Temp,Batt,Tilt
(),(),(),(),(m),(),(),(),(m),(m),(m),(m),(m),(m),(m),(m),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(dB),(dB),(dB),(°C),(V),(deg)
000,000,None,1,0.14,80,5,1.00,1,1,0.14,NaN,0.14,NaN,NaN,NaN,0.726,0.007,0.012,0.565,0.015,0.005,0.024,49.285,48.655,49.559,0.725,0.783,1.236,8.108,9.824,0.771
001,001,None,1,0.14,80,0,1.00,1,1,0.14,NaN,0.14,NaN,NaN,NaN,0.827,-0.036,-0.034,-2.469,0.018,0.006,0.026,49.952,48.859,50.388,0.711,0.627,0.688,8.108,9.692,0.969
002,002,None,1,0.15,80,4,1.00,1,1,0.15,NaN,0.15,NaN,NaN,NaN,0.693,0.013,0.131,1.068,0.017,0.005,0.02,49.962,48.983,50.151,0.802,0.806,0.756,8.07,9.628,0.962
003,003,None,1,0.15,80,4,1.00,1,1,0.15,NaN,0.15,NaN,NaN,NaN,0.129,0.025,0.022,10.902,0.012,0.006,0.014,47.898,47.375,48.395,2.471,2.21,2.251,8.031,9.575,0.94
004,004,None,1,0.15,80,1,1.00,1,1,0.15,NaN,0.15,NaN,NaN,NaN,0.748,0.108,0.019,8.201,0.014,0.005,0.026,49.34,48.301,49.88,0.616,0.625,0.765,7.993,9.524,0.965
005,005,None,0.6,0.09,80,0,1.00,1,1,0.15,NaN,0.15,NaN,NaN,NaN,0.766,0.049,0.01,3.641,0.016,0.005,0.03,49.446,48.551,50.161,0.733,0.616,0.717,7.986,9.487,0.675
006,006,None,0,0,80,0,1.00,1,1,0.15,NaN,0.15,NaN,NaN,NaN,0.619,-0.114,-0.631,-10.464,0.013,0.006,0.196,49.006,48.193,4.915,0.767,0.833,2.993,7.956,9.448,0.448
