Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
00,2023,07,13,17,17,11,0.753,-0.015,0.216,45.117,46.026,48.056,-166.456,-293.827,16468.06,14.698
00,2023,07,13,17,17,12,0.788,-0.138,-0.403,45.729,45.459,48.23,-182.635,-314.463,16474.54,14.694
00,2023,07,13,17,17,12,0.282,-0.095,0.118,46.473,46.375,47.361,-169.824,-259.817,16499.61,14.69
00,2023,07,13,17,17,13,0.377,-0.075,-0.083,46.67,45.743,48.273,-199.853,-226.281,16481.27,14.698
00,2023,07,13,17,17,13,0.519,-0.073,0.116,47.895,46.179,48.404,-175.496,-168.87,16476.02,14.698
00,2023,07,13,17,17,14,0.418,-0.047,0.046,46.801,45.765,47.882,-161.356,-178.306,16495.49,14.698
00,2023,07,13,17,17,14,0.511,-0.138,0.094,47.742,48.621,47.469,-154.618,-183.555,16462.03,14.698
00,2023,07,13,17,17,15,0.473,-0.047,0.06,47.742,45.503,49.056,-227.077,-224.5,16484.15,14.694
00,2023,07,13,17,17,15,0.528,-0.133,-0.315,46.276,47.487,45.926,-265.443,-188.926,16497.7,14.694
00,2023,07,13,17,17,16,0.305,-0.095,-0.7,46.626,45.917,46.948,-191.845,-221.503,16482.89,14.694
00,2023,07,13,17,17,16,0.324,-0.089,-0.073,46.057,45.176,47.969,-189.973,-167.096,16483.84,14.69
00,2023,07,13,17,17,17,0.358,-0.043,0.242,46.101,45.83,46.187,-170.7,-127.041,16496.36,14.69
00,2023,07,13,17,17,17,0.354,-0.073,0.06,48.07,44.347,46.23,-61.572,164.956,16605.94,14.683
00,2023,07,13,17,17,18,0.239,-0.036,0.049,46.714,46.07,48.643,-148.916,-20.434,16456.87,14.69
00,2023,07,13,17,17,18,0.401,-0.079,-0.089,45.817,42.516,47.643,-137.548,21.164,16461.28,14.68
00,2023,07,13,17,17,19,0.35,-0.039,0.427,45.97,44.195,47.6,-237.139,-69.613,16453.32,14.683
00,2023,07,13,17,17,19,0.59,-0.118,-0.188,47.217,44.544,46.839,-206.362,37.638,16469.93,14.669
00,2023,07,13,17,17,20,0.364,-0.051,0.294,46.32,46.724,46.969,-187.291,13.541,16470.43,14.683
00,2023,07,13,17,17,20,0.656,-0.095,-0.024,46.189,46.004,45.926,-188.302,101.402,16458.13,14.683
00,2023,07,13,17,17,21,0.522,-0.089,-0.069,45.489,46.266,48.882,-170.705,123.848,16469.25,14.676
00,2023,07,13,17,17,21,0.447,-0.088,0.014,45.685,46.07,46.73,-137.054,110.736,16458.57,14.672
00,2023,07,13,17,17,22,0.438,-0.022,0.165,48.289,45.437,46.361,-127.423,136.403,16467.96,14.676
00,2023,07,13,17,17,22,0.393,-0.067,0.299,46.189,45.198,47.904,-111.698,101.222,16476.57,14.68
00,2023,07,13,17,17,23,0.621,-0.094,-0.172,45.992,45.154,49.143,-165.897,125.423,16469.28,14.669
00,2023,07,13,17,17,23,0.355,-0.048,0.165,46.036,43.344,46.904,-201.479,72.929,16479.14,14.676
00,2023,07,13,17,17,24,0.555,-0.108,-0.029,47.261,46.724,46.991,-223.523,77.468,16448.44,14.672
00,2023,07,13,17,17,24,0.472,-0.116,-0.524,46.67,44.958,45.948,-300.694,36.448,16462.52,14.665
00,2023,07,13,17,17,25,0.407,-0.119,-0.068,47.239,46.113,46.795,-331.532,-69.124,16452.29,14.669
00,2023,07,13,17,17,25,0.377,-0.062,0.114,46.429,47.334,46.122,-282.24,-54.546,16487.85,14.661
01,2023,07,13,17,21,52,0.375,0.104,0.062,50.171,48.512,1.587,211.409,13.877,16511.02,14.553
01,2023,07,13,17,21,53,0.347,0.04,-0.446,46.145,46.462,0.587,235.457,-70.958,16548.06,14.553
01,2023,07,13,17,21,53,0.508,0.025,0.403,48.88,48.097,0.478,216.687,-29.5,16528.15,14.553
01,2023,07,13,17,21,54,0.527,-0.072,-0.283,46.933,47.988,0.565,307.998,5.303,16535.11,14.553
01,2023,07,13,17,21,54,0.227,0.029,-1.249,48.88,48.228,0.761,276.018,8.669,16534.71,14.553
01,2023,07,13,17,21,55,0.283,0.075,0.532,47.83,47.487,0.304,297.46,70.599,16505.38,14.553
01,2023,07,13,17,21,55,0.251,0.02,0.265,46.714,46.506,0.587,317.579,18.152,16543.05,14.553
01,2023,07,13,17,21,56,0.381,0.009,-0.079,48.333,47.073,0.956,413.608,4.736,16534.65,14.553
01,2023,07,13,17,21,56,0.366,0.01,-0.716,48.617,45.852,0.739,445.944,87.882,16543.58,14.553
01,2023,07,13,17,21,57,0.161,0.003,0.02,47.83,45.045,0.239,358.661,172.833,16517.58,14.553
01,2023,07,13,17,21,57,0.374,-0.006,0.255,46.823,46.549,1.587,370.545,53.095,16544.79,14.553
01,2023,07,13,17,21,58,0.269,0.016,-0.632,46.758,47.4,0.63,364.392,105.963,16547.27,14.553
01,2023,07,13,17,21,58,0.4,0.01,-0.908,48.442,47.247,0.217,409.857,-115.335,16528.1,14.553
01,2023,07,13,17,21,59,0.28,0.008,2.116,47.589,47.661,0.261,460.335,-208.135,16550.6,14.553
01,2023,07,13,17,21,59,0.119,-0.058,-0.419,47.458,47.879,0.304,467.854,-59.758,16518.44,14.553
01,2023,07,13,17,22,00,0.366,-0.007,-0.427,48.836,46.201,0.304,439.324,-254.462,16547.74,14.553
01,2023,07,13,17,22,00,0.256,0.073,0.73,46.342,46.484,1.217,426.729,-216,16547.13,14.553
01,2023,07,13,17,22,01,0.26,-0.049,-0.921,47.173,47.225,0.652,441.781,-162.095,16513.02,14.553
01,2023,07,13,17,22,01,0.256,-0.036,-0.018,48.464,48.97,0.782,452.645,-185.913,16532.64,14.553
01,2023,07,13,17,22,02,0.413,-0.021,0.697,46.823,49.166,0.456,475.377,-146.172,16521.19,14.553
01,2023,07,13,17,22,02,0.184,0.041,0.568,46.714,47.007,0.391,483.169,-152.414,16537.35,14.553
01,2023,07,13,17,22,03,0.389,-0.033,0.364,47.458,48.272,0.522,543.913,-149.451,16544.38,14.553
01,2023,07,13,17,22,03,0.445,0.054,-0.264,46.036,49.035,0.369,465.872,-131.743,16519.31,14.553
01,2023,07,13,17,22,04,0.394,0.057,0.072,47.808,49.558,0.152,217.119,-222.932,16543.35,14.553
01,2023,07,13,17,22,04,0.119,0.014,-0.76,47.348,47.225,0.717,112.638,-268.512,16565.18,14.553
01,2023,07,13,17,22,05,0.377,-0.017,2.087,47.086,46.898,0.804,44.036,-6.226,16524.39,14.553
01,2023,07,13,17,22,05,0.337,0,0.783,48.18,48.424,1.413,119.066,-8.038,16539.62,14.553
01,2023,07,13,17,22,06,0.277,-0.025,1.205,46.036,46.113,0.174,143.094,-45.216,16519.54,14.553
01,2023,07,13,17,22,06,0.383,0.084,-1.923,48.158,49.253,0.804,179.304,-155.797,16521.3,14.553
01,2023,07,13,17,22,07,0.28,0.119,0.836,46.014,45.895,0.456,235.393,-125.611,16527.94,14.553
01,2023,07,13,17,22,07,0.276,0.013,-0.146,48.464,46.157,1.63,257.832,-98.41,16537.45,14.553
01,2023,07,13,17,22,08,0.319,-0.003,-0.224,47.02,46.375,0.435,208.415,-74.215,16531.81,14.553
01,2023,07,13,17,22,08,0.327,-0.045,0.787,47.414,48.577,0.609,201.921,-85.341,16535.08,14.553
01,2023,07,13,17,22,09,0.591,0.07,0.125,46.626,48.359,0.326,209.84,-149.674,16511.96,14.553
01,2023,07,13,17,22,09,0.237,0.032,0.261,47.436,47.596,0.652,188.757,-163.727,16531.11,14.553
01,2023,07,13,17,22,10,0.4,-0.06,2.026,46.823,47.945,0.326,181.179,-38.62,16551.88,14.553
01,2023,07,13,17,22,10,0.383,-0.022,0.617,46.079,46.375,0.391,197.591,-10.202,16527.7,14.553
01,2023,07,13,17,22,11,0.444,0.073,-0.109,46.123,47.836,0.348,246.953,-11.802,16549.06,14.553
01,2023,07,13,17,22,11,0.455,0.078,0.321,48.88,47.073,0.804,298.323,-12.265,16533.62,14.553
01,2023,07,13,17,22,12,0.342,-0.039,2.48,47.13,48.141,0.543,260.969,-77.431,16553.22,14.553
01,2023,07,13,17,22,12,0.32,-0.057,-0.312,47.895,46.288,0.826,283.431,-114.641,16529.92,14.553
01,2023,07,13,17,22,13,0.518,0.077,0.448,47.37,47.814,0.565,240.23,-69.343,16551.3,14.553
01,2023,07,13,17,22,13,0.429,0.054,-1.069,47.283,46.789,0.609,260.556,-194.458,16535.46,14.553
01,2023,07,13,17,22,14,0.299,-0.015,-0.228,49.405,47.378,0.609,259.323,-141.753,16526.8,14.553
01,2023,07,13,17,22,14,0.474,0.091,0.518,46.736,46.528,0.674,310.98,-71.724,16518.49,14.553
01,2023,07,13,17,22,15,0.485,0.044,-0.477,47.305,46.419,1.478,306.185,-21.807,16541.82,14.553
01,2023,07,13,17,22,15,0.337,0.04,-0.964,47.305,47.182,1.739,322.476,-6.129,16522.6,14.553
01,2023,07,13,17,22,16,0.394,-0.035,1.022,49.055,49.58,0.348,267.729,-45.685,16535.3,14.553
01,2023,07,13,17,22,16,0.121,-0.003,0.253,49.077,48.185,0.761,279.91,-102.989,16564.95,14.553
01,2023,07,13,17,22,17,0.287,0.072,-1.911,47.305,47.814,0.435,273.821,-93.654,16540.76,14.553
01,2023,07,13,17,22,17,0.356,0.078,1.12,47.261,46.528,0.565,243.522,-120.971,16518.37,14.553
01,2023,07,13,17,22,18,0.267,-0.014,-2.419,48.792,47.814,0.717,197.539,-16.582,16529.38,14.553
01,2023,07,13,17,22,18,0.222,0.028,0.617,46.692,46.506,0.174,151.538,15.398,16507.68,14.553
01,2023,07,13,17,22,19,0.35,0.078,-2.811,46.517,48.032,0.304,117.979,68.645,16529.06,14.553
01,2023,07,13,17,22,19,0.174,-0.002,-2.362,46.189,47.094,0.283,93.938,54.331,16525.78,14.553
01,2023,07,13,17,22,20,0.31,-0.012,0.218,47.72,46.549,1.304,87.2,-19.289,16521.82,14.553
01,2023,07,13,17,22,20,0.532,0.049,-1.857,47.633,47.531,0.391,112.201,-121.753,16528.16,14.553
01,2023,07,13,17,22,21,0.178,0.034,-0.462,48.946,46.092,0.804,147.206,-190.927,16513.39,14.553
01,2023,07,13,17,22,21,0.371,0.04,0.079,46.954,46.397,0.304,115.794,-61.054,16521.04,14.553
