Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
00,2023,07,13,18,22,56,-0.01,0.005,0.243,52.009,49.493,48.491,377.511,-447.028,16548.75,13.537
00,2023,07,13,18,22,56,-0.246,0.074,0.379,49.099,49.994,37.449,-38.281,-145.011,16523.62,13.537
00,2023,07,13,18,22,57,0.034,-0.038,0.122,50.302,48.163,46.078,103.576,-183.769,16556.04,13.537
00,2023,07,13,18,22,57,0.161,-0.058,0.187,50.105,47.814,34.102,158.304,-216.622,16510.63,13.537
00,2023,07,13,18,22,58,0.058,-0.062,0.061,50.28,48.861,44.122,108.093,-214.052,16567.66,13.537
00,2023,07,13,18,22,58,0.352,0.016,-0.196,48.355,47.378,40.492,169.363,-197.205,16532.91,13.537
00,2023,07,13,18,22,59,-0.001,0.008,0.329,48.967,48.686,47.317,222.385,-204.175,16509.57,13.537
00,2023,07,13,18,22,59,0.111,0.023,0.074,49.799,48.141,48.426,96.787,-283.085,16544.39,13.537
00,2023,07,13,18,23,00,0.102,-0.029,-0.001,49.821,50.169,51.316,139.815,-324.965,16540.57,13.537
00,2023,07,13,18,23,00,-0.089,0.012,0.19,50.083,49.406,47.73,209.009,-243.689,16543.52,13.537
00,2023,07,13,18,23,01,0.065,-0.049,-0.068,49.843,50.212,46.382,241.18,-247.273,16526.31,13.537
00,2023,07,13,18,23,01,0.01,0.018,0.258,49.755,49.362,43.101,309.285,-272.593,16578.56,13.537
00,2023,07,13,18,23,02,0.04,-0.028,0.004,49.164,48.752,49.338,167.266,-251.354,16552.76,13.537
00,2023,07,13,18,23,02,0.117,0.045,0.159,49.471,48.01,48.121,231.574,-173.174,16562.09,13.537
00,2023,07,13,18,23,03,0.051,0.015,0.24,48.705,48.904,50.273,184.885,-280.441,16537.31,13.537
00,2023,07,13,18,23,03,0.103,-0.027,0.3,49.733,47.879,47.013,194.333,-331.824,16526.85,13.537
00,2023,07,13,18,23,04,-0.039,-0.01,0.232,48.53,49.166,44.448,291.84,-250.143,16574.9,13.537
00,2023,07,13,18,23,04,-0.074,-0.037,0.398,48.836,49.1,47.513,233.171,-229.514,16535.6,13.537
00,2023,07,13,18,23,05,0.358,-0.062,0.113,49.93,48.294,49.056,236.091,-298.423,16528.48,13.537
00,2023,07,13,18,23,05,-0.12,0.116,0.429,48.158,49.384,48.686,173.998,-195.432,16548.94,13.537
00,2023,07,13,18,23,06,-0.187,0.043,0.185,49.077,48.446,47.382,120.708,-287.95,16549.51,13.537
00,2023,07,13,18,23,06,0.057,0.002,0.129,48.749,47.051,50.295,202.464,-346.502,16507.91,13.537
00,2023,07,13,18,23,07,0.07,0.005,-0.008,46.539,46.833,44.622,250.99,-387.385,16587.36,13.537
00,2023,07,13,18,23,07,0.159,-0.042,-0.111,49.099,47.923,47.404,338.38,-295.616,16540.76,13.537
00,2023,07,13,18,23,08,0.14,-0.066,0.044,48.53,49.122,48.839,262.963,-330.383,16543.57,13.537
00,2023,07,13,18,23,08,0.328,0.086,-0.174,49.886,48.773,48.752,265.176,-218.421,16540.61,13.537
