Desktop_Software_Build_Version,1.7
#,St,Method,%Dep,MeasD,Npts,Spike,CorrFact,Loc,LocY,Depth1,Depth2,FinalD,IceD,WsIceD,WsSlushD,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,SNRStd1,SNRStd2,SNRStd3,Temp,Batt,Tilt
(),(),(),(),(m),(),(),(),(m),(m),(m),(m),(m),(m),(m),(m),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(dB),(dB),(dB),(°C),(V),(deg)
000,000,None,0.5,0.07,80,2,1.00,0,0,0.14,NaN,0.14,NaN,NaN,NaN,0.203,-0.015,0.044,-4.109,0.015,0.011,0.022,51.193,50.238,51.991,0.801,0.796,0.943,13.111,9.967,1.128
001,001,None,0.571,0.08,80,6,1.00,0,0,0.14,NaN,0.14,NaN,NaN,NaN,0.19,-0.026,0.038,-7.706,0.012,0.007,0.019,51.238,50.775,51.852,0.855,0.84,0.761,13.099,9.962,0.745
002,002,None,0.5,0.08,80,1,1.00,0,0,0.16,NaN,0.16,NaN,NaN,NaN,0.357,-0.113,-0.052,-17.554,0.014,0.005,0.018,47.571,45.682,49.414,1.835,1.505,1.131,13.062,9.953,0.792
003,003,None,0.563,0.09,80,1,1.00,0,0,0.16,NaN,0.16,NaN,NaN,NaN,0.376,-0.1,-0.03,-14.906,0.011,0.005,0.02,48.387,45.935,50.215,1.793,1.735,1.213,13.026,9.939,0.979
