Desktop_Software_Build_Version,1.7
#,St,Method,%Dep,MeasD,Npts,Spike,CorrFact,Loc,LocY,Depth1,Depth2,FinalD,IceD,WsIceD,WsSlushD,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,SNRStd1,SNRStd2,SNRStd3,Temp,Batt,Tilt
(),(),(),(),(m),(),(),(),(m),(m),(m),(m),(m),(m),(m),(m),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(dB),(dB),(dB),(°C),(V),(deg)
000,000,None,0.6,0.06,80,1,1.00,0,0,0.1,NaN,0.1,NaN,NaN,NaN,0.478,-0.085,0,-10.05,0.014,0.004,0.021,46.526,45.626,47.264,0.881,1.049,1.137,14.692,10.706,0.797
001,001,None,0.6,0.06,80,2,1.00,0,0,0.1,NaN,0.1,NaN,NaN,NaN,0.338,0.023,0.09,3.886,0.011,0.005,0.111,47.488,47.276,0.634,0.963,0.976,0.376,14.553,10.609,0.944
002,002,None,0.6,0.06,80,1,1.00,0,0,0.1,NaN,0.1,NaN,NaN,NaN,0.446,-0.026,-0.025,-3.277,0.013,0.004,0.021,46.034,45.677,46.909,1,1.05,0.95,14.45,10.413,0.835
003,003,None,0.6,0.06,80,0,1.00,0,0,0.1,NaN,0.1,NaN,NaN,NaN,0.405,-0.042,-0.022,-5.939,0.012,0.005,0.018,46.95,46.532,48.422,1.58,2.047,1.792,14.299,10.357,0.442
004,004,None,0.75,0.06,80,4,1.00,0,0,0.08,NaN,0.08,NaN,NaN,NaN,0.322,-0.146,-0.401,-24.425,0.014,0.008,0.039,47.785,47.32,19.818,1.128,1.199,10.343,14.263,10.295,0.818
