Desktop_Software_Build_Version,1.7
#,St,Method,%Dep,MeasD,Npts,Spike,CorrFact,Loc,LocY,Depth1,Depth2,FinalD,IceD,WsIceD,WsSlushD,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,SNRStd1,SNRStd2,SNRStd3,Temp,Batt,Tilt
(),(),(),(),(m),(),(),(),(m),(m),(m),(m),(m),(m),(m),(m),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(dB),(dB),(dB),(°C),(V),(deg)
000,000,None,0.615,0.08,80,3,1.00,0,0,0.13,NaN,0.13,NaN,NaN,NaN,0.326,-0.036,0.001,-6.226,0.019,0.007,0.024,49.217,48.525,50.33,0.997,1.001,1.134,12.801,9.927,1.275
001,001,None,0.615,0.08,80,1,1.00,0,0,0.13,NaN,0.13,NaN,NaN,NaN,0.302,0.026,0.014,5.005,0.015,0.005,0.017,49.074,48.266,49.862,1.095,0.881,1.026,12.694,9.908,1.181
002,002,None,0.583,0.07,80,2,1.00,0,0,0.12,NaN,0.12,NaN,NaN,NaN,0.151,0.03,0.062,11.128,0.012,0.006,0.016,47.687,47.127,48.556,0.93,1.221,1.039,12.59,9.897,0.965
003,003,None,0.583,0.07,80,4,1.00,0,0,0.12,NaN,0.12,NaN,NaN,NaN,0.137,0.013,0.02,5.39,0.01,0.007,0.014,47.988,47.444,48.907,1.014,0.981,1.066,12.587,9.893,0.573
004,004,None,0.6,0.06,80,6,1.00,0,0,0.1,NaN,0.1,NaN,NaN,NaN,0.242,0.016,-0.009,3.895,0.007,0.004,0.012,48.144,47.475,48.848,1.027,1.057,1.058,12.552,9.878,0.457
005,005,None,0.6,0.06,80,6,1.00,0,0,0.1,NaN,0.1,NaN,NaN,NaN,0.252,0.008,-0.019,1.76,0.009,0.004,0.011,47.928,47.623,48.631,1.002,1.073,0.993,12.551,9.873,0.596
