Date_Time,SS (uL/L),DOC (mg/L),POC (mg/L),N (mg/L),LAB ID,fDOM,SRP (mg/L),Turbidity,P2C,P3C,P2C_depth,P3C_depth,depth
8/28/2023 12:20,232.052,3.104,12.67,1.193,476,20.59,0.0587,36.07,2723.156944,2724.1918,14.79443333,20.38,20.38
8/28/2023 12:35,143.896,3.305,6.271,0.464,477,24.21,0.1214,25.26,2723.155582,2724.1904,14.65816667,20.24,20.24
8/28/2023 12:50,104.006,3.336,5.673,0.694,478,28.86,0.0237,15.44,2723.154415,2724.1892,14.5415,20.12,20.12
8/28/2023 13:05,88.144,3.199,4.649,0.622,479,28.53,0.0977,13.02,2723.153832,2724.188233,14.4832,20.02333333,20.02333333
8/28/2023 13:20,92.256,3.226,5.424,0.63,480,27.67,0.1773,11.49,2723.154805,2724.187467,14.58053333,19.94666667,19.94666667
8/28/2023 13:35,87.688,,,,-,26.57,,13.39,2723.157331,2724.188433,14.83313333,20.04333333,20.04333333
8/28/2023 13:50,95.622,,,,-,26.8,,10.99,2723.154409,2724.185333,14.5409,19.73333333,19.73333333
8/28/2023 14:05,82.494,3.206,4.496,0.619,481,26.75,,10.75,2723.155575,2724.1846,14.6575,19.66,19.66
8/28/2023 14:20,77.09,,,,-,26.23,,11.79,2723.155965,2724.186133,14.6965,19.81333333,19.81333333
8/28/2023 14:35,69.395,3.262,,,482,26.34,0.069,11.01,2723.155772,2724.188233,14.6772,20.02333333,20.02333333
8/28/2023 14:50,65.814,,,,-,26.44,,10.44,2723.15266,2724.185133,14.36596667,19.71333333,19.71333333
8/28/2023 15:05,79.97,,,,-,27.53,,10.24,2723.14994,2724.181833,14.09403333,19.38333333,19.38333333
8/28/2023 15:20,0,4.278,,,483,28.3,,9.14,2723.150137,2724.180867,14.11366667,19.28666667,19.28666667
