Date_Time,SS (uL/L),SRP (mg/L),TP (mg/L),DOC (mg/L),POC (mg/L),N (mg/L),PP (mg/L),LAB ID,fDOM,Turbidity,P2C,P3C,P2C_depth,P3C_depth,depth
2022-08-03 15:02:00,206.82,0.0149059,0.099315,4.913,6.784,0.097,0.48,95,33.03,21.59,2723.1339159333334,2724.2032866,12.491593333334094,21.528660000012678,21.528660000012678
2022-08-03 15:17:00,142.53,0.0715306,0.1012671,6.55,5.715,0.013,0.4,96,47.92,19.97,2723.1554889999998,2724.2364088,14.648899999974674,24.840880000010657,24.840880000010657
2022-08-03 15:32:00,31.82,,,,,,,-,65.64,11.66,2723.1540084666667,2724.2342704666667,14.500846666669531,24.627046666682872,24.627046666682872
2022-08-03 15:47:00,55.06,0.0543716,0.0856503,8.035,3.149,0.0,0.14,97,64.42,10.48,2723.150976,2724.229757466667,14.197599999988597,24.175746666696796,24.175746666696796
2022-08-03 16:02:00,36.44,,,,,,,-,66.67,10.47,2723.151598533333,2724.2278140666667,14.259853333305728,23.98140666668951,23.98140666668951
2022-08-03 16:17:00,66.04,,,8.691,2.088,0.0,,98,70.53,13.01,2723.1552556666666,2724.2345038,14.625566666654777,24.65038000000277,24.65038000000277
2022-08-03 16:32:00,39.15,,,,,,,-,72.08,16.2,2723.152725,2724.2318966666667,14.372499999990396,24.389666666684207,24.389666666684207
2022-08-03 17:02:00,23.32,,,,,,,-,74.64,13.67,2723.1540084666667,2724.2299908,14.500846666669531,24.199080000016693,24.199080000016693
2022-08-03 17:32:00,0.0,,,,,,,-,72.53,11.3,2723.150976,2724.2282416666667,14.197599999988597,24.024166666686142,24.024166666686142
2022-08-03 17:47:00,0.0,,,,,,,-,74.57,10.57,2723.150976,2724.2262586,14.197599999988597,23.825860000033572,23.825860000033572
2022-08-03 18:02:00,0.0,,,3.124,5.19,0.0,,99,73.25,9.67,2723.1505868,2724.223071,14.158679999991364,23.507100000006176,23.507100000006176
2022-08-03 18:17:00,0.0,0.0286331,0.0446562,8.073,,,0.08,100,71.72,9.15,2723.148057,2724.222057,13.90569999998661,23.405700000012075,23.405700000012075
2022-08-03 18:32:00,0.0,,,,,,,-,70.25,8.46,2723.1478238,2724.221590466667,13.882379999995464,23.359046666701033,23.359046666701033
2022-08-03 18:47:00,0.0,,,,,,,-,68.88,8.09,2723.1462306666667,2724.2183248,13.723066666671002,23.032480000028954,23.032480000028954
2022-08-03 19:02:00,0.0,,,3.128,5.459,0.0,,101,67.64,7.62,2723.1455733333332,2724.2168103333333,13.65733333332173,22.881033333351297,22.881033333351297
2022-08-03 19:17:00,0.0,,,,,,,-,66.48,7.48,2723.1443348000003,2724.2164298000002,13.533480000023701,22.84298000004128,22.84298000004128
2022-08-03 19:32:00,0.0,,,,,,,-,65.37,7.17,2723.142817666667,2724.213666666667,13.38176666668005,22.56666666671663,22.56666666671663
2022-08-03 19:47:00,0.0,,,,,,,-,64.4,6.96,2723.1425756666667,2724.21215,13.357566666672938,22.415000000000873,22.415000000000873
2022-08-03 20:02:00,0.0,,,,,,,-,63.04,6.62,2723.1412923333332,2724.21215,13.229233333322554,22.415000000000873,22.415000000000873
2022-08-03 20:17:00,0.0,,,,,,,-,60.99,6.49,2723.142653,2724.2117608,13.365299999986746,22.37608000000364,22.37608000000364
2022-08-03 20:32:00,0.0,,,,,,,-,61.34,6.28,2723.1414058,2724.2089978,13.2405800000015,22.09978000000774,22.09978000000774
2022-08-03 20:47:00,0.0,,,,,,,-,60.36,6.05,2723.1398913333333,2724.2072488,13.089133333323844,21.924880000005942,21.924880000005942
