Date_Time,SS (uL/L),DOC (mg/L),POC (mg/L),N (mg/L),LAB ID,fDOM,SRP (mg/L),Turbidity,P2C,P3C,P2C_depth,P3C_depth,depth
8/13/2023 18:45,183.808,9.9,5.555,0.482,461,26.75,0.0071,22.84,2723.160243,2724.1822,15.1243,19.42,19.42
8/13/2023 19:00,83.528,3.379,5.081,0.552,462,28.62,0.0822,14.52,2723.159654,2724.1787,15.0654,19.07,19.07
8/13/2023 19:15,72.105,3.191,4.782,0.369,463,29.25,0.058,11.33,2723.153246,2724.1787,14.4246,19.07,19.07
8/13/2023 19:30,67.607,3.128,4.037,0.281,464,27.37,0.0579,9.66,2723.152086,2724.1758,14.3086,18.78,18.78
8/13/2023 19:45,70.3,3.332,,,465,26.06,0.0583,8.83,2723.150337,2724.1723,14.1337,18.43,18.43
8/13/2023 20:00,67.88,3.131,5.161,1.086,466,25.16,0.0469,7.11,2723.155585,2724.1723,14.6585,18.43,18.43
8/13/2023 20:15,84.66,3.286,,,467,24.27,0.0177,6.96,2723.153836,2724.1758,14.4836,18.78,18.78
8/13/2023 20:30,67.57,2.917,5.124,0.42,468,24.4,0.0318,6.4,2723.155575,2724.1741,14.6575,18.61,18.61
8/13/2023 20:45,54.936,2.548,,,469,23.66,0.0481,7.16,2723.158494,2724.1787,14.9494,19.07,19.07
8/13/2023 21:00,75.338,2.505,,,470,22.58,0.0188,8.72,2723.158494,2724.1817,14.9494,19.37,19.37
8/13/2023 21:15,59.166,2.508,,,471,22.85,0.0643,8.99,2723.155575,2724.1787,14.6575,19.07,19.07
8/13/2023 21:30,50.774,2.482,3.242,0.459,472,23.04,0.034,7.93,2723.153826,2724.1787,14.4826,19.07,19.07
