Size Class,SP 25th Percentile,SP 50th Percentile,SP 75th Percentile
Coarse Sand,13.76035,17.8112,28.545749999999998
Fine Sand,9.2619,12.863,16.2958
Silt,1.39725,1.7952,2.364
Clay,0.09495,0.1296,0.1843
