Size Class,SM 25th Percentile,SM 50th Percentile,SM 75th Percentile
Coarse Sand,1.01125,1.71265,3.600575
Fine Sand,6.8687249999999995,8.37115,9.5648
Silt,4.0825,5.005,5.835
Clay,0.242,0.3285,0.44225000000000003
