Size Class,SM 25th Percentile,SM 50th Percentile,SM 75th Percentile
Fine Sand,5.605113974,10.16890712,13.42753664
Silt,7.109773737,11.22700297,16.92234484
Clay,0.189732585,0.4,0.6
