Time,T1,T2,T3,T4,Pressure Temp 1,Pressure Temp 2
2022-03-03 13:38:00,20.68,20.43,20.56,20.06,20.7,20.79
2022-03-03 13:45:00,20.93,20.93,21.18,20.87,21.07,21.09
2022-03-03 14:00:00,21.25,21.18,21.5,21.12,21.46,21.51
2022-03-03 14:15:00,21.43,21.31,21.62,21.18,21.61,21.82
2022-03-03 14:30:00,21.5,21.37,21.68,21.31,21.68,22.01
2022-03-03 14:45:00,21.5,21.43,21.75,21.37,21.73,22.14
2022-03-03 15:00:00,21.56,21.43,21.75,21.37,21.76,22.22
2022-03-03 15:15:00,21.56,21.43,21.81,21.43,21.77,22.28
2022-03-03 15:30:00,21.62,21.43,21.81,21.43,21.8,22.32
2022-03-03 15:45:00,21.62,21.5,21.81,21.5,21.81,22.36
2022-03-03 16:00:00,21.62,21.5,21.87,21.5,21.83,22.39
2022-03-03 16:15:00,21.68,21.56,21.87,21.5,21.85,22.41
2022-03-03 16:30:00,21.62,21.56,21.87,21.5,21.86,22.42
2022-03-03 16:45:00,21.68,21.56,21.87,21.5,21.87,22.43
2022-03-03 17:00:00,21.68,21.56,21.87,21.5,21.88,22.44
2022-03-03 17:15:00,21.68,21.56,21.87,21.56,21.88,22.45
2022-03-03 17:30:00,21.06,21.06,21.37,21.06,21.49,22.18
2022-03-03 17:45:00,19.5,19.68,20.06,20.0,20.06,21.21
2022-03-03 18:00:00,18.56,18.81,19.12,19.06,19.1,20.34
2022-03-03 18:15:00,17.93,18.18,18.43,18.37,18.46,19.62
2022-03-03 18:30:00,17.56,17.75,17.93,17.87,18.01,19.05
2022-03-03 18:45:00,17.25,17.37,17.62,17.5,17.68,18.61
2022-03-03 19:00:00,17.0,17.12,17.31,17.12,17.41,18.26
2022-03-03 19:15:00,16.75,17.0,17.43,17.5,17.4,18.3
2022-03-03 19:30:00,17.06,17.5,18.12,18.56,17.91,19.09
2022-03-03 19:45:00,17.31,17.81,18.56,19.0,18.23,19.59
2022-03-03 20:00:00,17.62,18.06,18.93,19.12,18.49,19.88
2022-03-03 20:15:00,17.81,18.18,19.06,19.18,18.57,19.99
2022-03-03 20:30:00,17.68,18.12,18.93,19.12,18.32,20.03
2022-03-03 20:45:00,17.5,17.93,18.81,18.93,18.05,19.96
2022-03-03 21:00:00,17.18,17.75,18.56,18.75,17.8,19.79
2022-03-03 21:15:00,16.93,17.43,18.25,18.5,17.52,19.57
2022-03-03 21:30:00,16.68,17.12,17.93,18.18,17.21,19.28
2022-03-03 21:45:00,16.37,16.75,17.62,17.87,16.87,18.97
2022-03-03 22:00:00,16.06,16.37,17.18,17.5,16.52,18.63
2022-03-03 22:15:00,15.68,15.93,16.81,17.12,16.15,18.28
2022-03-03 22:30:00,15.37,15.56,16.43,16.75,15.76,17.9
2022-03-03 22:45:00,15.0,15.12,16.06,16.37,15.37,17.51
2022-03-03 23:00:00,14.68,14.75,15.62,15.93,14.98,17.12
2022-03-03 23:15:00,14.37,14.37,15.25,15.56,14.6,16.73
2022-03-03 23:30:00,14.06,13.93,14.87,15.18,14.22,16.34
2022-03-03 23:45:00,13.68,13.56,14.43,14.81,13.86,15.95
2022-03-04 00:00:00,13.37,13.18,14.06,14.43,13.5,15.57
2022-03-04 00:15:00,13.06,12.81,13.75,14.06,13.16,15.19
2022-03-04 00:30:00,12.75,12.5,13.37,13.68,12.83,14.83
2022-03-04 00:45:00,12.43,12.18,13.06,13.31,12.51,14.47
2022-03-04 01:00:00,12.12,11.87,12.75,13.0,12.2,14.13
2022-03-04 01:15:00,11.87,11.56,12.43,12.68,11.9,13.81
2022-03-04 01:30:00,11.56,11.25,12.12,12.37,11.63,13.49
2022-03-04 01:45:00,11.31,11.0,11.87,12.06,11.37,13.19
2022-03-04 02:00:00,11.06,10.75,11.56,11.81,11.1,12.88
2022-03-04 02:15:00,10.81,10.5,11.31,11.5,10.84,12.6
2022-03-04 02:30:00,10.5,10.25,11.06,11.25,10.59,12.33
2022-03-04 02:45:00,10.31,10.0,10.75,10.93,10.36,12.05
2022-03-04 03:00:00,10.0,9.75,10.5,10.68,10.11,11.78
2022-03-04 03:15:00,9.75,9.5,10.31,10.43,9.87,11.51
2022-03-04 03:30:00,9.5,9.31,10.06,10.18,9.61,11.26
2022-03-04 03:45:00,9.31,9.06,9.81,9.93,9.41,11.02
2022-03-04 04:00:00,9.06,8.87,9.62,9.75,9.21,10.8
2022-03-04 04:15:00,8.87,8.68,9.43,9.5,9.02,10.58
2022-03-04 04:30:00,8.68,8.56,9.25,9.31,8.84,10.37
2022-03-04 04:45:00,8.56,8.43,9.06,9.12,8.69,10.18
2022-03-04 05:00:00,8.37,8.25,8.87,8.93,8.52,10.0
2022-03-04 05:15:00,8.18,8.06,8.75,8.75,8.37,9.82
2022-03-04 05:30:00,8.06,7.93,8.56,8.62,8.21,9.64
2022-03-04 05:45:00,7.87,7.75,8.37,8.43,8.06,9.47
2022-03-04 06:00:00,7.68,7.56,8.25,8.25,7.9,9.29
2022-03-04 06:15:00,7.56,7.43,8.06,8.12,7.74,9.13
2022-03-04 06:30:00,7.37,7.31,7.93,7.93,7.58,8.96
2022-03-04 06:45:00,7.25,7.12,7.75,7.81,7.41,8.79
2022-03-04 07:00:00,7.06,6.93,7.56,7.62,7.25,8.63
2022-03-04 07:15:00,6.87,6.81,7.43,7.43,7.09,8.46
2022-03-04 07:30:00,6.75,6.68,7.25,7.31,6.92,8.29
2022-03-04 07:45:00,6.56,6.5,7.12,7.12,6.76,8.13
2022-03-04 08:00:00,6.37,6.31,6.93,6.93,6.59,7.96
2022-03-04 08:15:00,6.18,6.18,6.81,6.81,6.42,7.8
2022-03-04 08:30:00,6.0,6.0,6.62,6.68,6.25,7.62
2022-03-04 08:45:00,5.87,5.81,6.43,6.43,6.07,7.45
2022-03-04 09:00:00,5.68,5.68,6.31,6.31,5.91,7.29
2022-03-04 09:15:00,5.56,5.5,6.12,6.12,5.76,7.13
2022-03-04 09:30:00,5.43,5.37,6.0,6.0,5.64,6.99
2022-03-04 09:45:00,5.37,5.25,5.87,5.87,5.56,6.85
2022-03-04 10:00:00,5.31,5.18,5.75,5.75,5.51,6.72
2022-03-04 10:15:00,5.25,5.18,5.68,5.62,5.49,6.6
2022-03-04 10:30:00,5.25,5.18,5.62,5.56,5.51,6.53
2022-03-04 10:45:00,5.5,5.37,5.81,5.62,5.8,6.57
2022-03-04 11:00:00,5.75,5.56,5.87,5.62,5.96,6.58
2022-03-04 11:15:00,6.12,6.0,6.25,5.87,6.48,6.69
2022-03-04 11:30:00,6.5,6.37,6.5,5.93,6.82,6.8
2022-03-04 11:45:00,6.81,6.81,6.87,6.18,7.23,6.97
2022-03-04 12:00:00,7.18,7.31,7.31,6.56,7.66,7.23
2022-03-04 12:15:00,7.56,7.75,7.68,6.87,8.08,7.55
2022-03-04 12:30:00,7.87,8.18,8.12,7.18,8.49,7.88
2022-03-04 12:45:00,8.25,8.56,8.43,7.56,8.86,8.24
2022-03-04 13:00:00,8.62,8.87,8.81,7.93,9.21,8.59
2022-03-04 13:15:00,9.12,9.25,9.18,8.31,9.66,8.95
2022-03-04 13:30:00,10.0,10.06,9.81,8.87,10.44,9.48
2022-03-04 13:45:00,11.06,10.93,10.62,9.5,11.42,10.15
