Time,P2[cmH2O],Baro[cmH2O],Pressure[cmH2O]
7/12/2022 16:00,762.483,755.425,7.058
7/12/2022 16:15,761.958,755.075,6.883
7/12/2022 16:30,761.958,755.25,6.708
7/12/2022 16:45,761.958,755.25,6.708
7/12/2022 17:00,761.842,755.25,6.592
7/12/2022 17:15,761.842,755.25,6.592
7/12/2022 17:30,762.133,755.25,6.883
7/12/2022 17:45,762.133,755.425,6.708
7/12/2022 18:00,762.483,755.542,6.941
7/12/2022 18:15,762.483,755.425,7.058
7/12/2022 18:30,762.308,755.542,6.766
7/12/2022 18:45,762.483,755.542,6.941
7/12/2022 19:00,762.483,755.717,6.766
7/12/2022 19:15,762.483,755.542,6.941
7/12/2022 19:30,762.775,756.008,6.767
7/12/2022 19:45,762.775,755.892,6.883
7/12/2022 20:00,762.6,756.008,6.592
7/12/2022 20:15,763.125,756.183,6.942
7/12/2022 20:30,763.242,756.358,6.884
7/12/2022 20:45,763.242,756.65,6.592
7/12/2022 21:00,763.767,756.942,6.825
7/12/2022 21:15,763.592,756.942,6.65
7/12/2022 21:30,764.058,757.117,6.941
7/12/2022 21:45,764.058,757.233,6.825
7/12/2022 22:00,764.233,757.583,6.65
7/12/2022 22:15,764.525,757.7,6.825
7/12/2022 22:30,764.525,757.875,6.65
7/12/2022 22:45,764.525,757.7,6.825
7/12/2022 23:00,764.7,757.583,7.117
7/12/2022 23:15,764.525,757.875,6.65
7/12/2022 23:30,764.7,757.875,6.825
7/12/2022 23:45,764.525,757.583,6.942
7/13/2022 0:00,764.525,757.7,6.825
7/13/2022 0:15,764.408,757.7,6.708
7/13/2022 0:30,764.408,757.408,7
7/13/2022 0:45,764.058,757.117,6.941
7/13/2022 1:00,764.233,757.117,7.116
7/13/2022 1:15,764.058,757.117,6.941
7/13/2022 1:30,764.058,756.942,7.116
7/13/2022 1:45,763.883,756.942,6.941
7/13/2022 2:00,763.883,756.65,7.233
7/13/2022 2:15,763.708,756.65,7.058
7/13/2022 2:30,763.592,756.65,6.942
7/13/2022 2:45,763.592,756.65,6.942
7/13/2022 3:00,763.417,756.65,6.767
7/13/2022 3:15,763.417,756.475,6.942
