Probe,Avg HF
T1,2.1854743289630114e-06
T2,-3.7108149562130573e-06
T3,-1.3253358349659248e-06
T5,7.219153631051053e-07
T6,-3.889946485155976e-07
T7,-1.876288257062005e-06
T8,-3.8942455250246984e-07
