Probe,Avg HF
T1,-2.459521934369603e-06
T2,-3.6271654576856653e-06
T3,-3.501580656303973e-06
T5,1.3377670466321244e-06
T6,-4.792116753022452e-07
T7,-1.2566672884283248e-06
T8,-5.51068829015544e-07
