Probe,Avg HF
T1,2.6512775304244583e-06
T2,-3.646107450281983e-06
T3,-8.50340338379341e-07
T5,5.682660730186998e-07
T6,-4.609443158207183e-07
T7,-1.18735517957851e-06
T8,-4.4946877411694863e-07
