Probe,Avg HF
T1,-2.363193919169448e-06
T2,-3.6182469410456066e-06
T3,-3.4966362625139048e-06
T5,1.357036559139785e-06
T6,-4.6856284760845385e-07
T7,-1.2455720430107528e-06
T8,-5.474620986281053e-07
