Date_Time,Turbidity,SS (uL/L)
2021-07-23 15:50:00,88.9608,339.78248
2021-07-23 16:09:00,295.5888,457.12
2021-07-23 16:40:00,75.484,152.79
2021-07-23 16:55:00,69.55,168.45
2021-07-23 19:19:00,22.233999999999998,43.15
2021-07-23 21:02:00,18.908,17.7
2022-08-03 15:02:00,21.59,206.82
2022-08-03 15:17:00,19.968,142.53
2022-08-03 15:32:00,11.66,31.82
2022-08-03 15:47:00,10.484,55.06
2022-08-03 16:02:00,10.468,36.44
2022-08-03 16:17:00,13.014000000000001,66.04
2022-08-03 16:32:00,16.202,39.15
2022-08-03 17:02:00,13.67,23.32
2022-08-08 14:28:00,14.478,204.03
2022-08-08 14:43:00,22.442,105.77
2022-08-08 15:23:00,13.925999999999998,68.83
2022-08-08 16:13:00,9.508,36.65
2022-08-08 16:28:00,8.677333333333333,25.92
2022-08-08 16:58:00,7.599333333333334,19.05
2022-08-08 17:28:00,6.719333333333333,18.36
2023-04-18 00:30:00,12.730442,59.16
2023-04-18 04:30:00,12.263458,48.47
2023-04-18 16:30:00,20.536188000000003,78.71
2023-04-18 21:30:00,13.492994,45.42
2023-04-19 02:30:00,11.935922,74.75
2023-04-19 12:30:00,10.448042000000001,56.59
2023-04-21 09:30:00,7.64461586,27.23
2023-04-30 18:00:00,63.186318,63.56
2023-04-30 23:00:00,18.038439999999998,85.89
2023-05-01 14:00:00,13.443178,50.13
2023-05-01 20:00:00,24.053342,44.99
2023-05-02 03:00:00,13.279764,35.73
2023-05-02 10:00:00,8.0217294,31.62
2023-05-02 17:00:00,10.49208,25.42
2023-05-03 20:00:00,18.7132092,68.76
2023-05-04 02:00:00,13.83131,50.92
2023-05-04 23:00:00,9.214519656,33.08
2023-05-05 02:00:00,8.643636840000001,77.49
2023-07-29 15:07:00,36.38,223.614
2023-07-29 15:22:00,34.868,200.69
2023-07-29 15:37:00,33.26,231.914
2023-07-29 15:52:00,26.348000000000003,233.253
2023-07-29 16:07:00,20.136,124.56
2023-08-13 18:45:00,22.84,210.458
2023-08-13 18:58:00,15.56,116.066
2023-08-13 19:02:00,13.776,113.258
2023-08-13 19:10:00,11.31,81.15
2023-08-13 21:02:00,8.756,56.15
2023-09-14 17:52:00,1.6175579133510167,63.87
2023-09-14 18:07:00,1.6136321839080459,75.4
2023-09-14 18:22:00,1.609706454465075,70.75
2023-09-14 18:27:00,1.6083978779840848,61.61
2023-09-14 18:37:00,1.6057807250221043,82.6
2023-09-14 18:52:00,1.6018549955791335,54.12
