Date,Year,Day of Year,Day of Run,Average Air Temperature,Average Air Temperature,Average Air Temperature,Snow Depth,Precipitation
9/1/2022,2022,244,1,56.9,74.7,42.4,0,0.01
9/2/2022,2022,245,2,58.7,75.7,40.3,0,0
9/3/2022,2022,246,3,55.4,69,41.1,0,0
9/4/2022,2022,247,4,56.3,73.7,38,0,0
9/5/2022,2022,248,5,57.4,78.6,39.1,0,0.07
9/6/2022,2022,249,6,59.5,76.5,41.9,0,0
9/7/2022,2022,250,7,59.7,77,40.4,0,0
9/8/2022,2022,251,8,59.4,75.3,41.1,0,0
9/9/2022,2022,252,9,57.2,75.3,42,0,0.42
9/10/2022,2022,253,10,54.4,67.5,44.4,0,0.05
9/11/2022,2022,254,11,53.5,68.5,40.4,0,0.26
9/12/2022,2022,255,12,53.2,71.3,36.9,0,0
9/13/2022,2022,256,13,51.5,69,38.5,0,0.23
9/14/2022,2022,257,14,49.6,63.9,40,0,0.12
9/15/2022,2022,258,15,50.2,66.4,33.1,0,0
9/16/2022,2022,259,16,51.7,67.5,36.1,0,0
9/17/2022,2022,260,17,54,69.4,34,0,0
9/18/2022,2022,261,18,56.7,71.4,39.9,0,0
9/19/2022,2022,262,19,57.5,73.2,43.6,0,0
9/20/2022,2022,263,20,56.7,71.8,43.7,0,0.43
9/21/2022,2022,264,21,56,67.6,48.3,0,0.15
9/22/2022,2022,265,22,54.9,66.5,46.3,0,0.65
9/23/2022,2022,266,23,53.3,67.7,41,0,0.01
9/24/2022,2022,267,24,51.7,70.2,34.5,0,0
9/25/2022,2022,268,25,51.7,67.4,35.8,0,0
9/26/2022,2022,269,26,50.1,66.2,38.2,0,0.08
9/27/2022,2022,270,27,49,67.1,35.6,0,0
9/28/2022,2022,271,28,49.8,67.3,34.5,0,0
9/29/2022,2022,272,29,50,67.4,36.4,0,0
9/30/2022,2022,273,30,47.6,65.3,29,0,0
10/1/2022,2022,274,31,50.3,67.4,31.8,0,0
10/2/2022,2022,275,32,45.6,59.5,37.8,0,0.47
10/3/2022,2022,276,33,47.1,59.5,42,0,0.54
10/4/2022,2022,277,34,44,54.5,39.8,0,0.52
10/5/2022,2022,278,35,42.7,45.8,37.7,0,0.27
10/6/2022,2022,279,36,44.7,53.6,37.9,0,0
10/7/2022,2022,280,37,44.8,53,41.2,0,0.22
10/8/2022,2022,281,38,43.1,49.5,40.1,0,0.08
10/9/2022,2022,282,39,40.2,50.6,30.4,0,0.29
10/10/2022,2022,283,40,38,56.8,24.4,0,0.16
10/11/2022,2022,284,41,45.1,61,23.9,0,0
10/12/2022,2022,285,42,47.9,65.3,32.7,0,0
10/13/2022,2022,286,43,45.5,64.6,25.4,0,0
10/14/2022,2022,287,44,43.5,64.2,24.9,0,0
10/15/2022,2022,288,45,45.8,66.3,24,0,0.1
10/16/2022,2022,289,46,39.4,42.8,35.3,0,1.07
10/17/2022,2022,290,47,36.4,38.8,30.9,0,0.14
10/18/2022,2022,291,48,38.4,55.7,23.8,0,0
10/19/2022,2022,292,49,40.5,61.9,20.3,0,0
10/20/2022,2022,293,50,43.2,64.1,26,0,0
10/21/2022,2022,294,51,44.9,59.6,25.7,0,0
10/22/2022,2022,295,52,49.2,60.6,38.2,0,0
10/23/2022,2022,296,53,38.6,48.5,26.4,0,0.14
10/24/2022,2022,297,54,27.4,34.5,19.1,0,0.01
10/25/2022,2022,298,55,33.4,53.7,16.8,0,0
10/26/2022,2022,299,56,37.1,50.5,20.7,0,0
10/27/2022,2022,300,57,32,40,25.5,0,0
10/28/2022,2022,301,58,34.1,51.6,21.4,0,0
10/29/2022,2022,302,59,33.7,53.1,15.2,0,0
10/30/2022,2022,303,60,33.9,51,19,0,0
10/31/2022,2022,304,61,35.9,53.6,19.5,0,0
11/1/2022,2022,305,62,36.5,54.3,17.9,0,0
11/2/2022,2022,306,63,42,54.2,26,0,0
11/3/2022,2022,307,64,33.4,39.9,23.1,0,0.27
11/4/2022,2022,308,65,23.9,29.4,16.8,0,0.01
11/5/2022,2022,309,66,34.2,46.3,17.1,0,0
11/6/2022,2022,310,67,41.7,54.3,27.2,0,0
11/7/2022,2022,311,68,38.8,55.2,23.9,0,0
11/8/2022,2022,312,69,44.2,57.1,28.9,0,0
11/9/2022,2022,313,70,44,53.2,33.1,0,0
11/10/2022,2022,314,71,29.3,42.1,13.5,0,0
11/11/2022,2022,315,72,21.5,36.9,10.2,0,0
11/12/2022,2022,316,73,24.1,44.1,7.6,0,0
11/13/2022,2022,317,74,28.7,45,11.4,0.53,0.13
11/14/2022,2022,318,75,23.6,32.2,13.1,2.21,0.18
11/15/2022,2022,319,76,17.6,31.9,4,1.75,0
11/16/2022,2022,320,77,19.2,28.1,8.7,1.51,0
11/17/2022,2022,321,78,19.7,36.9,4.6,1.11,0
11/18/2022,2022,322,79,16.8,30,6.1,1.01,0
11/19/2022,2022,323,80,20.2,35.4,10.9,0.64,0
11/20/2022,2022,324,81,22.1,43.4,5.1,0.23,0
11/21/2022,2022,325,82,25.5,48.6,8.7,0,0
11/22/2022,2022,326,83,25.8,48.5,8,0,0
11/23/2022,2022,327,84,27.4,45.5,12.1,0,0
11/24/2022,2022,328,85,25.4,34.2,14.9,0,0
11/25/2022,2022,329,86,28.3,42.2,14.7,0,0
11/26/2022,2022,330,87,33.4,49.9,12.4,0,0
11/27/2022,2022,331,88,31.4,39,23.5,0,0
11/28/2022,2022,332,89,32.3,42.3,22.2,0,0
11/29/2022,2022,333,90,25.5,30.3,15.9,0,0
11/30/2022,2022,334,91,27.6,44.3,6.8,0,0
12/1/2022,2022,335,92,34.6,47.4,18.7,0,0
12/2/2022,2022,336,93,34.3,39.5,23.5,0,0
12/3/2022,2022,337,94,34,44.7,18.4,0,0.02
12/4/2022,2022,338,95,39.2,44.8,34.3,0,0.18
12/5/2022,2022,339,96,37.6,41.7,32.8,0,0
12/6/2022,2022,340,97,33.7,39.7,29.4,0,0
12/7/2022,2022,341,98,31.6,42.9,22.1,0,0.21
12/8/2022,2022,342,99,24.4,36.5,9,0,0
12/9/2022,2022,343,100,22.2,40.5,5.6,0,0
12/10/2022,2022,344,101,25.5,44.8,10.3,0,0
12/11/2022,2022,345,102,28.9,45.8,12.4,0,0
12/12/2022,2022,346,103,26,36,13.4,0,0.12
12/13/2022,2022,347,104,15.9,21.2,13.2,0,0
12/14/2022,2022,348,105,16.1,30.1,7,0,0
12/15/2022,2022,349,106,15.3,29.7,3.2,0,0
12/16/2022,2022,350,107,11.7,25.6,-1.8,0,0
12/17/2022,2022,351,108,15.6,34.6,-3.7,0,0
12/18/2022,2022,352,109,19.6,36.9,2.4,0,0
12/19/2022,2022,353,110,22.9,37.7,10.5,0,0
12/20/2022,2022,354,111,23.8,40.9,9,0,0
12/21/2022,2022,355,112,30.8,40.5,14.9,0,0
12/22/2022,2022,356,113,30.3,38,23.9,0,0
12/23/2022,2022,357,114,30.4,40.3,19.1,0,0
12/24/2022,2022,358,115,27.7,43.8,15.7,0,0
12/25/2022,2022,359,116,28.6,50.7,11.8,0,0
12/26/2022,2022,360,117,29.5,48.2,15,0,0
12/27/2022,2022,361,118,34.9,49,16.5,0,0
12/28/2022,2022,362,119,28.9,34.4,20.5,2.16,0.67
12/29/2022,2022,363,120,20.5,27.1,16.1,5.32,0.04
12/30/2022,2022,364,121,26.7,31.8,19.5,4.95,0.07
12/31/2022,2022,365,122,35,42,11.1,4.9,0.01
1/1/2023,2023,1,123,33,40.2,26.5,4.21,0.46
1/2/2023,2023,2,124,23.5,29.6,20.3,8.89,0.37
1/3/2023,2023,3,125,20.4,24.8,17.8,11.7,0.09
1/4/2023,2023,4,126,19.2,27.9,8.6,14.13,0.01
1/5/2023,2023,5,127,22.3,39.3,2.8,13.01,0
1/6/2023,2023,6,128,28.3,33.2,20.7,11.91,0
1/7/2023,2023,7,129,20.8,38.4,9.2,11.27,0
1/8/2023,2023,8,130,17.5,38.9,-4.1,10.96,0
1/9/2023,2023,9,131,27.6,42.3,6.1,10.89,0
1/10/2023,2023,10,132,35.4,41.5,26.9,10.45,0
1/11/2023,2023,11,133,26.9,34.1,21,10.66,0.03
1/12/2023,2023,12,134,20.9,35.7,6.7,10.54,0
1/13/2023,2023,13,135,24.9,44.1,8.2,10.47,0
1/14/2023,2023,14,136,29.1,45.6,10.7,10.58,0
1/15/2023,2023,15,137,26.8,31.2,23.5,15.74,0.41
1/16/2023,2023,16,138,25.8,29.8,21.3,17.82,0.24
1/17/2023,2023,17,139,25.3,30.7,17.8,21.73,0.7
1/18/2023,2023,18,140,18.8,22.2,13.2,26.19,0.09
1/19/2023,2023,19,141,13.6,39.3,0.4,24.76,0
1/20/2023,2023,20,142,13,26.3,-1.7,24.98,0.17
1/21/2023,2023,21,143,13.8,28.8,1.2,27.02,0.01
1/22/2023,2023,22,144,13.6,31.7,-8.3,25.35,0
1/23/2023,2023,23,145,19.1,22.7,14.5,25.28,0.04
1/24/2023,2023,24,146,15.5,27.6,7.1,25.24,0
1/25/2023,2023,25,147,9.7,27.8,-5,24.61,0
1/26/2023,2023,26,148,4.8,24.4,-12.6,23.92,0
1/27/2023,2023,27,149,16.9,35.2,-3,23.5,0
1/28/2023,2023,28,150,24.9,33.5,15.1,22.52,0
1/29/2023,2023,29,151,27.6,34,20.8,20.75,0
1/30/2023,2023,30,152,25.6,34.3,12.4,20.34,0
1/31/2023,2023,31,153,17.1,32.9,1.4,20.17,0
2/1/2023,2023,32,154,14.9,31.9,-1.6,20.21,0
2/2/2023,2023,33,155,16.1,36.1,-1.8,20.11,0
2/3/2023,2023,34,156,19.3,39.5,1.5,20.01,0
2/4/2023,2023,35,157,26.7,46.4,5.6,20.02,0
2/5/2023,2023,36,158,28.2,46.6,9,19.96,0
2/6/2023,2023,37,159,26.1,32.9,15.2,19.9,0
2/7/2023,2023,38,160,20.2,37.6,4.7,20.6,0.14
2/8/2023,2023,39,161,16.8,36.9,-7.2,21.47,0.01
2/9/2023,2023,40,162,15.4,24.3,0.7,22.64,0.02
2/10/2023,2023,41,163,10.8,34.2,-12,22.32,0
2/11/2023,2023,42,164,21.9,42.7,-1.2,22.02,0
2/12/2023,2023,43,165,28.3,46.4,11.1,20.52,0
2/13/2023,2023,44,166,28.3,41.6,15.4,21.02,0.33
2/14/2023,2023,45,167,22.7,26.1,20.2,27.41,0.06
2/15/2023,2023,46,168,14.8,23.8,6.9,32.23,0
2/16/2023,2023,47,169,5.3,20.5,-7.5,32.39,0.18
2/17/2023,2023,48,170,7.8,32,-17.7,30.63,0.01
2/18/2023,2023,49,171,20.2,37.6,-3.5,30.04,0
2/19/2023,2023,50,172,33,38.1,27.1,29.22,0.02
2/20/2023,2023,51,173,35.5,42.9,25.8,27.92,0
2/21/2023,2023,52,174,32.7,42.2,21.9,26.8,0.03
2/22/2023,2023,53,175,22.3,31.9,12.1,30.05,0.13
2/23/2023,2023,54,176,19.5,30.4,12.1,34.45,0
