Bottle number,Time,Depth,SS,DOC
1,11:57:09,9.275,97.69,2.640
2,11:57:21,22.75,347.61,2.384
3,11:57:32,19.25,191.85,2.284
4,11:57:42,16.1,176.97,2.423
5,11:57:53,13.884,127.27,2.488
6,11:58:04,12.775,83.04,2.473
7,11:58:14,12.134,68.69,2.314
8,11:58:25,11.959,62.04,2.402
9,11:58:34,11.959,61.07,2.278
10,11:58:44,11.784,48.37,2.273
11,11:58:54,11.959,29.69,2.301
12,11:59:04,11.667,28.69,2.313
13,11:59:13,11.492,22.43,2.308
14,11:59:24,11.667,0,2.214
,,,,
