Time,SS,Botttle,Depth,DOC,DOCtime,DOCdepth
8/3/2022 15:02,206.82,1,4.959,4.913,8/3/2022 15:02,4.959
8/3/2022 15:17,142.53,2,7.467,6.55,8/3/2022 15:17,7.467
8/3/2022 15:32,31.82,3,7.35,8.035,8/3/2022 15:47,7
8/3/2022 15:47,55.06,4,7,8.691,8/3/2022 16:17,7.467
8/3/2022 16:02,36.44,5,7,3.124,8/3/2022 18:02,7
8/3/2022 16:17,66.04,6,7.467,8.073,8/3/2022 18:17,7
8/3/2022 16:32,39.15,7,7.175,3.128,8/3/2022 19:02,6.475
8/3/2022 17:02,23.32,9,7.175,,,
8/3/2022 17:32,0,11,7.35,,,
8/3/2022 17:47,0,12,7,,,
8/3/2022 18:02,0,13,7,,,
8/3/2022 18:17,0,14,7,,,
8/3/2022 18:32,0,15,7,,,
8/3/2022 18:47,0,16,6.708,,,
8/3/2022 19:02,0,17,6.475,,,
8/3/2022 19:17,0,18,6.359,,,
8/3/2022 19:32,0,19,6.184,,,
8/3/2022 19:47,0,20,6.183,,,
8/3/2022 20:02,0,21,6.008,,,
8/3/2022 20:17,0,22,6.183,,,
8/3/2022 20:32,0,23,6.066,,,
8/3/2022 20:47,0,24,5.891,,,
