Date_Time,Pressure,Temperature,Barom,WC,WSE
2022-03-14 21:45:00,751.225,2.85,752.3916666666667,-1.1662682636764827,2737.1098373173636
2022-03-14 22:00:00,751.225,2.737,752.625,-1.3995219164118018,2737.1075047808363
2022-03-14 22:15:00,751.225,2.613,752.5666666666667,-1.341208503228029,2737.108087914968
2022-03-14 22:30:00,751.458,2.5,752.5083333333333,-1.0499746568127983,2737.111000253432
2022-03-14 22:45:00,751.633,2.37,752.7223333333334,-1.0889613387699724,2737.1106103866123
2022-03-14 23:00:00,751.983,2.237,752.8586666666666,-0.8753676367652277,2737.1127463236326
2022-03-14 23:15:00,751.633,2.113,752.8586666666666,-1.225248115868093,2737.1092475188416
2022-03-14 23:30:00,751.983,2.0,753.092,-1.108621289500547,2737.1104137871052
2022-03-14 23:45:00,751.983,1.897,753.0336666666667,-1.050307876316774,2737.110996921237
2022-03-15 00:00:00,751.808,1.81,752.917,-1.108621289500547,2737.1104137871052
2022-03-15 00:15:00,751.633,1.723,752.917,-1.2835615290519795,2737.1086643847098
2022-03-15 00:30:00,751.808,1.64,752.917,-1.108621289500547,2737.1104137871052
2022-03-15 00:45:00,751.633,1.567,752.917,-1.2835615290519795,2737.1086643847098
2022-03-15 01:00:00,751.458,1.5,752.8586666666666,-1.400188355419639,2737.107498116446
2022-03-15 01:15:00,751.458,1.453,752.742,-1.2835615290519795,2737.1086643847098
2022-03-15 01:30:00,751.458,1.403,752.703,-1.2445748470948057,2737.1090542515294
2022-03-15 01:45:00,751.458,1.33,752.664,-1.205588165137632,2737.1094441183486
2022-03-15 02:00:00,751.458,1.263,752.703,-1.2445748470948057,2737.1090542515294
2022-03-15 02:15:00,751.458,1.21,752.664,-1.205588165137632,2737.1094441183486
2022-03-15 02:30:00,751.458,1.197,752.6446666666667,-1.1862614339110327,2737.1096373856612
2022-03-15 02:45:00,751.225,1.1,752.45,-1.2245816768603692,2737.1092541832318
2022-03-15 03:00:00,751.05,1.06,752.3916666666667,-1.341208503228029,2737.108087914968
2022-03-15 03:15:00,750.875,1.06,752.236,-1.360535234454628,2737.1078946476555
2022-03-15 03:30:00,751.05,1.073,752.0996666666666,-1.049308217804961,2737.111006917822
2022-03-15 03:45:00,750.875,1.053,751.983,-1.1076216309887341,2737.1104237836903
2022-03-15 04:00:00,751.05,1.027,751.983,-0.9326813914373017,2737.112173186086
2022-03-15 04:15:00,751.05,1.013,751.9246666666667,-0.8743679782535285,2737.1127563202176
2022-03-15 04:30:00,750.875,0.993,751.7693333333333,-0.8940279289839895,2737.1125597207106
2022-03-15 04:45:00,750.525,0.973,751.692,-1.166601483180458,2737.1098339851683
2022-03-15 05:00:00,750.875,0.953,751.692,-0.8167210040774793,2737.1133327899593
2022-03-15 05:15:00,750.7,0.953,751.6336666666667,-0.9333478304451388,2737.1121665216956
2022-03-15 05:30:00,750.525,0.953,751.517,-0.9916612436290254,2737.1115833875638
2022-03-15 05:45:00,750.35,0.943,751.5753333333333,-1.224914896364231,2737.1092508510364
2022-03-15 06:00:00,750.35,0.937,751.6336666666667,-1.2832283095481176,2737.1086677169046
2022-03-15 06:15:00,750.35,0.923,751.5753333333333,-1.224914896364231,2737.1092508510364
2022-03-15 06:30:00,750.525,0.917,751.692,-1.166601483180458,2737.1098339851683
2022-03-15 06:45:00,750.525,0.91,751.7306666666667,-1.2052549456337702,2737.109447450544
2022-03-15 07:00:00,750.525,0.883,751.808,-1.2825618705402804,2737.108674381295
2022-03-15 07:15:00,750.525,0.877,751.7693333333333,-1.2439084080869685,2737.109060915919
2022-03-15 07:30:00,750.525,0.87,751.7306666666667,-1.2052549456337702,2737.109447450544
2022-03-15 07:45:00,750.525,0.857,751.808,-1.2825618705402804,2737.108674381295
2022-03-15 08:00:00,750.7,0.857,751.808,-1.1076216309887341,2737.1104237836903
2022-03-15 08:15:00,750.875,0.85,751.9246666666667,-1.049308217804961,2737.111006917822
2022-03-15 08:30:00,750.875,0.837,752.158,-1.2825618705402804,2737.108674381295
2022-03-15 08:45:00,750.875,0.837,752.158,-1.2825618705402804,2737.108674381295
2022-03-15 09:00:00,750.875,0.837,752.2553333333334,-1.379861965681341,2737.1077013803433
2022-03-15 09:15:00,751.05,0.83,752.5083333333333,-1.4578353295956887,2737.1069216467044
2022-03-15 09:30:00,751.225,0.83,752.7223333333334,-1.4968220115528623,2737.106531779885
2022-03-15 09:45:00,751.225,0.837,753.0723333333334,-1.8467024906558411,2737.103032975094
2022-03-15 10:00:00,751.225,0.837,753.4413333333333,-2.2155764814814436,2737.0993442351855
2022-03-15 10:15:00,751.225,0.843,753.4413333333333,-2.2155764814814436,2737.0993442351855
2022-03-15 10:30:00,751.225,0.89,753.208,-1.9823228287461248,2737.101676771713
2022-03-15 10:45:00,751.225,1.113,753.2663333333334,-2.0406362419300113,2737.101093637581
2022-03-15 11:00:00,751.05,1.487,753.2860000000001,-2.2352364322121323,2737.099147635678
2022-03-15 11:15:00,751.225,1.92,753.0336666666667,-1.8080490282025292,2737.103419509718
2022-03-15 11:30:00,751.05,2.407,752.917,-1.866362441386416,2737.1028363755863
2022-03-15 11:45:00,750.875,2.88,752.8196666666666,-1.944002585796788,2737.1020599741423
2022-03-15 12:00:00,750.7,3.367,752.625,-1.9243426350662134,2737.1022565736494
2022-03-15 12:15:00,750.7,3.803,752.5666666666667,-1.8660292218824404,2737.102839707781
2022-03-15 12:30:00,750.525,4.387,752.3916666666667,-1.8660292218824404,2737.102839707781
2022-03-15 12:45:00,750.7,4.793,752.236,-1.5354754740060608,2737.10614524526
2022-03-15 13:00:00,750.35,5.09,752.0996666666666,-1.7490691760108052,2737.10400930824
2022-03-15 13:15:00,750.175,5.44,751.9246666666667,-1.749069176010919,2737.10400930824
2022-03-15 13:30:00,750.0,5.71,751.711,-1.7104157135576068,2737.1043958428645
2022-03-15 13:45:00,750.0,6.09,751.4196666666667,-1.4191818671423764,2737.107308181329
2022-03-15 14:00:00,749.767,6.4,751.1083333333333,-1.3408752837240534,2737.108091247163
2022-03-15 14:15:00,749.417,6.72,750.9333333333333,-1.5158155232754862,2737.1063418447675
2022-03-15 14:30:00,749.242,6.893,750.9916666666667,-1.749069176010919,2737.10400930824
