Bottle number,Time,Depth,SS,DOC
1,11:14:20,3.558,90.43,2.631
2,11:18:35,7.525,426.28,2.581
3,11:18:40,12.133,258.72,2.563
4,11:18:45,21.991,227.15,2.662
5,11:18:50,23.275,176.59,2.696
6,11:19:00,16.1,181.06,2.699
7,11:19:10,13.708,157,2.742
8,11:19:20,12.483,134.23,2.761
9,11:19:30,11.375,88.31,2.821
10,11:19:40,10.558,88.72,2.783
11,11:19:50,10.85,71.86,2.756
12,11:20:00,10.85,59.21,2.883
13,11:20:10,10.383,51.52,2.84
,,,,
,,,,
,,,,
