Bottle number,Time,Depth,SS,DOC
1,11:15:17,7.233,94.93,3.034
2,11:15:20,7.233,75.03,3.054
3,11:15:23,7.933,81.28,2.473
4,11:15:26,9.392,293.19,2.616
5,11:15:29,9.392,311.7,3.135
6,11:15:32,9.392,243.92,2.936
7,11:15:35,9.392,292.16,2.933
8,11:15:38,9.042,260.11,2.634
9,11:15:41,8.692,212.62,2.74
10,11:15:44,8.458,194.51,2.97
11,11:15:47,8.283,189.68,2.497
