Bottle number,Time,Depth,SS,DOC
1,10:33:16,5.308,90.23,2.183
2,10:35:46,13.533,526.33,2.118
3,10:35:51,14.816,360.745,2.073
4,10:35:56,21.291,168.16,2.029
5,10:36:01,18.141,165.58,2.078
6,10:36:07,15.925,161.72,2.164
7,10:36:15,14,132.56,2.172
8,10:36:25,11.783,131.23,2.303
9,10:36:36,10.558,94.15,2.289
10,10:36:47,10.383,77.58,2.189
11,10:36:57,9.916,61.94,2.283
12,10:37:07,9.741,48.68,2.202
,,,,
,,,,
,,,,
,,,,
