Bottle number,Time,Depth,SS,DOC
1,2:30:50,8.342,64.61,2.898
2,2:31:00,21.642,275.96,2.716
3,2:31:10,16.917,159.29,2.701
4,2:31:20,14.175,121.26,2.781
5,2:31:30,12.95,90.81,2.831
6,2:31:40,12.6,71.32,2.763
7,2:31:50,11.667,77.03,2.814
8,2:32:00,13.242,143.56,2.747
9,2:32:10,12.775,97.7,2.741
10,2:32:20,12.133,55.95,2.775
11,2:32:30,11.958,41.32,2.733
12,2:32:40,11.317,38.15,2.756
13,2:32:50,11.783,33.28,2.785
,,,,
,,,,
,,,,
