Bottle number,Time,Depth,SS,DOC
1,1:53:39,10.092,31.7,2.718
2,1:53:50,10.383,93.36,2.682
3,1:54:00,21.992,229.76,2.644
4,1:54:10,18.317,127.13,2.752
5,1:54:20,15.983,187.73,2.808
6,1:54:30,14.525,112.47,3.009
7,1:54:40,13.533,84.69,2.784
8,1:54:50,13.708,97.42,2.756
9,1:55:00,12.775,78.81,2.804
10,1:55:10,12.133,72.82,2.804
11,1:55:20,12.133,55.81,2.864
12,1:55:30,11.958,45.61,2.760
13,1:55:40,11.317,47.12,2.769
14,1:55:50,11.667,34.58,2.741
15,1:56:00,11.667,34.63,2.752
16,1:56:10,11.492,36.23,2.739
