Bottle number,Time,Depth,SS,DOC
1,1:58:58,8.458,0,2.936
2,2:00:55,8.633,0,3.029
3,2:00:58,8.808,0,2.923
4,2:01:01,9.042,0,2.976
5,2:01:04,9.917,0,3.641
6,2:01:07,10.092,70.88,3.054
7,2:01:10,10.442,73.46,3.038
8,2:01:13,10.617,84.58,3.579
9,2:01:16,10.442,67.36,3.151
10,2:01:19,10.092,65.8,3.006
11,2:01:22,9.917,65.32,3.551
