Date (MM/DD/YYYY),Time (HH:mm:ss),Cond uS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond uS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond uS/cm,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,Temp C,Vertical Position m,Battery V,Cable Pwr V
7/5/2023,20:00:00,35.2,-0.95,17.58,5.85,48.3,72.5,87.5,7.68,-1.35,0.02,47.5,31,4.32,0,1.208,13.021,-0.938,6.32,0
7/5/2023,20:15:00,38.8,-0.996,20.42,6.8,53.7,72.1,87,7.89,-1.416,0.02,52.8,34,4.16,0,1.22,11.368,-0.983,6.31,0
7/5/2023,20:30:00,39.3,-1,20.14,6.7,54.5,72,87,7.93,-1.422,0.02,53.6,35,4.14,0,1.213,11.043,-0.987,6.3,0
7/5/2023,20:45:00,39.2,-1,20.21,6.73,54.6,72.1,87,7.97,-1.422,0.02,53.7,35,4.18,0,1.207,10.882,-0.987,6.28,0
7/5/2023,21:00:00,39,-1,20.27,6.75,54.6,72.2,87.1,8,-1.422,0.02,53.6,35,4.27,0,1.212,10.745,-0.986,6.27,0
7/5/2023,21:15:00,38.9,-0.999,20.74,6.9,54.6,72.3,87.3,8.04,-1.421,0.02,53.7,35,4.29,0,1.214,10.616,-0.986,6.26,0
7/5/2023,21:30:00,38.9,-0.999,20.55,6.84,54.8,72.4,87.4,8.07,-1.42,0.02,53.8,35,4.38,0,1.215,10.497,-0.985,6.25,0
7/5/2023,21:45:00,39,-0.998,21.06,7.01,55,72.4,87.4,8.09,-1.419,0.02,54.1,35,4.39,0,1.217,10.383,-0.984,6.24,0
7/5/2023,22:00:00,38.7,-0.997,20.78,6.92,54.8,72.4,87.4,8.12,-1.417,0.02,53.8,35,4.36,0,1.217,10.271,-0.983,6.22,0
7/5/2023,22:15:00,38.5,-0.996,21.01,6.99,54.6,72.4,87.5,8.14,-1.416,0.02,53.7,35,4.34,0,1.211,10.166,-0.982,6.21,0
7/5/2023,22:30:00,38.3,-0.995,20.54,6.84,54.5,72.9,88,8.22,-1.415,0.02,53.6,35,4.33,0,1.212,10.063,-0.982,6.21,0
7/5/2023,22:45:00,38.2,-0.995,19.77,6.58,54.6,73,88.1,8.24,-1.415,0.02,53.6,35,4.32,0,1.209,9.962,-0.982,6.2,0
7/5/2023,23:00:00,38.2,-0.995,18.94,6.31,54.7,73,88.1,8.26,-1.415,0.02,53.7,35,4.37,0,1.212,9.867,-0.982,6.18,0
7/5/2023,23:15:00,38.1,-0.995,18.76,6.25,54.7,72.9,88.1,8.27,-1.415,0.02,53.7,35,4.27,0,1.212,9.781,-0.981,6.17,0
7/5/2023,23:30:00,38,-0.995,17.95,5.98,54.6,73,88.1,8.29,-1.415,0.02,53.7,35,4.26,0,1.21,9.696,-0.981,6.16,0
7/5/2023,23:45:00,37.8,-0.995,17.48,5.82,54.5,73,88.1,8.31,-1.415,0.02,53.6,35,4.27,0,1.207,9.616,-0.982,6.15,0
7/6/2023,0:00:00,37.8,-0.995,13.74,4.58,54.6,73.1,88.2,8.34,-1.415,0.02,53.6,35,4.23,0,1.207,9.536,-0.981,6.15,0
7/6/2023,0:15:00,37.8,-0.995,12.38,4.12,54.7,73,88.2,8.35,-1.415,0.02,53.7,35,4.22,0,1.216,9.457,-0.982,6.13,0
7/6/2023,0:30:00,37.7,-0.996,10.39,3.46,54.7,73.1,88.2,8.37,-1.416,0.02,53.8,35,4.23,0,1.212,9.38,-0.982,6.13,0
7/6/2023,0:45:00,37.6,-0.996,8.26,2.75,54.7,73.1,88.2,8.38,-1.417,0.02,53.7,35,4.27,0,1.21,9.322,-0.983,6.12,0
7/6/2023,1:00:00,37.6,-0.996,6.78,2.26,54.7,73.1,88.3,8.4,-1.416,0.02,53.7,35,4.18,0,1.2,9.264,-0.982,6.11,0
7/6/2023,1:15:00,38,-0.995,6.6,2.2,55.3,73.1,88.2,8.4,-1.415,0.02,54.4,35,4.13,0,1.2,9.199,-0.981,6.1,0
7/6/2023,1:30:00,37.6,-0.995,5.53,1.84,55,73.1,88.2,8.42,-1.414,0.02,54,35,4.13,0,1.208,9.13,-0.981,6.09,0
