,Time,T1,TopTemperature,T2,T3,T4,BottomTemperature
0,1625832000.0,,,,,,
1,1625832900.0,,,,,,
2,1625833800.0,,,,,,
3,1625834700.0,,,,,,
4,1625835600.0,,,,,,
5,1625836500.0,,,,,,
6,1625837400.0,,,,,,
7,1625838300.0,,,,,,
8,1625839200.0,,,,,,
9,1625840100.0,,,,,,
10,1625841000.0,,,,,,
11,1625841900.0,,,,,,
12,1625842800.0,,,,,,
13,1625843700.0,,,,,,
14,1625844600.0,,,,,,
15,1625845500.0,,,,,,
16,1625846400.0,,,,,,
17,1625847300.0,,,,,,
18,1625848200.0,,,,,,
19,1625849100.0,,,,,,
20,1625850000.0,,,,,,
21,1625850900.0,,,,,,
22,1625851800.0,,,,,,
23,1625852700.0,,,,,,
24,1625853600.0,,,,,,
25,1625854500.0,,,,,,
26,1625855400.0,,,,,,
27,1625856300.0,,,,,,
28,1625857200.0,,,,,,
29,1625858100.0,,,,,,
30,1625859000.0,,,,,,
31,1625859900.0,,,,,,
32,1625860800.0,,,,,,
33,1625861700.0,,,,,,
34,1625862600.0,,,,,,
35,1625863500.0,,,,,,
36,1625864400.0,,,,,,
37,1625865300.0,,,,,,
38,1625866200.0,,,,,,
39,1625867100.0,,,,,,
40,1625868000.0,,,,,,
41,1625868900.0,,,,,,
42,1625869800.0,,,,,,
43,1625870700.0,,,,,,
44,1625871600.0,,,,,,
45,1625872500.0,,,,,,
46,1625873400.0,,,,,,
47,1625874300.0,,,,,,
48,1625875200.0,,,,,,
49,1625876100.0,,,,,,
50,1625877000.0,,,,,,
51,1625877900.0,,,,,,
52,1625878800.0,,,,,,
53,1625879700.0,,,,,,
54,1625880600.0,,,,,,
55,1625881500.0,,,,,,
56,1625882400.0,,,,,,
57,1625883300.0,,,,,,
58,1625884200.0,,,,,,
59,1625885100.0,,,,,,
60,1625886000.0,,,,,,
61,1625886900.0,,,,,,
62,1625887800.0,,,,,,
63,1625888700.0,,,,,,
64,1625889600.0,,,,,,
65,1625890500.0,,,,,,
66,1625891400.0,,,,,,
67,1625892300.0,,,,,,
68,1625893200.0,,,,,,
69,1625894100.0,,,,,,
70,1625895000.0,,,,,,
71,1625895900.0,,,,,,
72,1625896800.0,,,,,,
73,1625897700.0,,,,,,
74,1625898600.0,,,,,,
75,1625899500.0,,,,,,
76,1625900400.0,,,,,,
77,1625901300.0,,,,,,
78,1625902200.0,,,,,,
79,1625903100.0,,,,,,
80,1625904000.0,,,,,,
81,1625904900.0,,,,,,
82,1625905800.0,,,,,,
83,1625906700.0,,,,,,
84,1625907600.0,,,,,,
85,1625908500.0,,,,,,
86,1625909400.0,,,,,,
87,1625910300.0,,,,,,
88,1625911200.0,,,,,,
89,1625912100.0,,,,,,
90,1625913000.0,,,,,,
91,1625913900.0,,,,,,
92,1625914800.0,,,,,,
93,1625915700.0,,,,,,
94,1625916600.0,,,,,,
95,1625917500.0,,,,,,
96,1625918400.0,,,,,,
97,1625919300.0,,,,,,
98,1625920200.0,,,,,,
99,1625921100.0,,,,,,
100,1625922000.0,,,,,,
101,1625922900.0,,,,,,
102,1625923800.0,,,,,,
103,1625924700.0,,,,,,
104,1625925600.0,,,,,,
105,1625926500.0,,,,,,
106,1625927400.0,,,,,,
107,1625928300.0,,,,,,
108,1625929200.0,,,,,,
109,1625930100.0,,,,,,
110,1625931000.0,,,,,,
111,1625931900.0,,,,,,
112,1625932800.0,,,,,,
113,1625933700.0,,,,,,
114,1625934600.0,,,,,,
115,1625935500.0,,,,,,
116,1625936400.0,,,,,,
117,1625937300.0,,,,,,
118,1625938200.0,,,,,,
119,1625939100.0,,,,,,
120,1625940000.0,,,,,,
121,1625940900.0,,,,,,
122,1625941800.0,,,,,,
123,1625942700.0,,,,,,
124,1625943600.0,,,,,,
125,1625944500.0,,,,,,
126,1625945400.0,,,,,,
127,1625946300.0,,,,,,
128,1625947200.0,,,,,,
