trap,grain_size,sp_weight,sm_weight
T1A,CS,44.0283,5.7880
T1A,FS,2.3685,5.3543
T1A,S,0.956,1.389
T1A,C,0.1600,0.203
T1B,CS,25.3848,5.9234
T1B,FS,2.025625,6.49
T1B,S,0.792,1.640
T1B,C,0.129,0.240
T1C,CS,13.6391,8.3878
T1C,FS,0.7784,7.97
T1C,S,0.271,2.789
T1C,C,0.043,0.361
T1D,CS,27.3885,3.0990
T1D,FS,2.0898,5.3919
T1D,S,0.801,1.775
T1D,C,0.1296,0.248
T2A,CS,45.2764,6.0135
T2A,FS,2.1161,4.12
T2A,S,0.856,1.227
T2A,C,0.1324,0.187
T2B,CS,68.0536,10.0323
T2B,FS,3.5653,4.95
T2B,S,1.180,1.684
T2B,C,0.198,0.235
T3C,CS,43.5542,
T3C,FS,3.5529,
T3C,S,1.333,
T3C,C,0.233,
T3D,CS,36.7335,
T3D,FS,1.8083,
T3D,S,0.727,
T3D,C,0.1209,
T5A,CS,49.9022,11.9563
T5A,FS,4.6973,7.5605
T5A,S,1.850,3.269
T5A,C,0.3217,0.459
T5B,CS,29.5212,8.0400
T5B,FS,2.1691,6.72
T5B,S,0.872,2.558
T5B,C,0.146,0.361
T5C,CS,22.0495,5.2263
T5C,FS,2.0576,5.9979
T5C,S,0.683,2.545
T5C,C,0.109,0.469
T5D,CS,24.4808,11.6444
T5D,FS,2.8881,5.0812
T5D,S,1.283,1.572
T5D,C,0.2207,0.534
T6A,CS,58.8775,
T6A,FS,4.4638,
T6A,S,1.776,
T6A,C,0.3247,
T6B,CS,59.0761,
T6B,FS,3.7169,
T6B,S,1.436,
T6B,C,0.254,
T6C,CS,26.5499,3.4879
T6C,FS,2.5843,5.25
T6C,S,0.922,1.765
T6C,C,0.170,0.280
T6D,CS,30.0379,10.7902
T6D,FS,1.6659,3.9233
T6D,S,0.741,1.548
T6D,C,0.1231,0.235
T7A,CS,20.9233,7.6038
T7A,FS,0.8481,5.0611
T7A,S,0.278,1.949
T7A,C,0.0422,0.278
T7B,CS,23.6373,5.6504
T7B,FS,1.5418,7.1651
T7B,S,0.523,1.866
T7B,C,0.088,0.297
T7C,CS,13.1303,3.2014
T7C,FS,1.5491,6.35
T7C,S,0.537,2.482
T7C,C,0.077,0.470
T7D,CS,15.7163,5.8483
T7D,FS,1.291,6.3919
T7D,S,0.438,2.575
T7D,C,0.0656,0.360
T8C,CS,29.7337,6.0824
T8C,FS,1.4417,7.65
T8C,S,0.516,3.387
T8C,C,0.080,0.490
T8D,CS,33.0428,7.8047
T8D,FS,1.8968,5.5802
T8D,S,0.621,1.698
T8D,C,0.1021,0.282
