isco,grain_size,sm_conc,sp_conc
down,C,2.23847129,0.168762767
down,S,28.91791496,2.827757333
down,FS,73.74415268,18.3325627
down,CS,4.28296319,1.575773142
down,C,1.261990779,0.189732585
down,S,15.51667118,3.68251026
down,FS,34.66776461,10.61682609
down,CS,1.609551114,0.44417334
down,C,1.73032312,0.056863956
down,S,21.90283272,1.113081794
down,FS,52.39193656,7.171211062
down,CS,3.3371452,0.527201519
down,C,0.6478121,0.076635028
down,S,8.569065954,1.457829597
down,FS,31.64117143,7.260140302
down,CS,2.03186721,0.618372186
down,C,1.979579721,0.319972067
down,S,26.7543112,5.515500004
down,FS,56.96152226,16.56783122
down,CS,5.442844869,0.550819456
down,C,1.535948427,0.125165115
down,S,18.1528155,1.820013225
down,FS,51.73902562,12.33157198
down,CS,4.058937301,0.67073976
down,C,0.915809503,0.06821831
down,S,11.75800064,1.26819154
down,FS,25.74440047,8.14151952
down,CS,2.400698909,0.47940075
down,C,0.726627211,0.028156475
down,S,9.555682118,0.601614682
down,FS,26.71497366,2.74851122
down,CS,2.250377237,0.111976494
down,C,0.534480928,0.057663181
down,S,7.151042866,0.938102444
down,FS,18.46561269,5.027196375
down,CS,1.272517127,0.216021763
down,C,0.478438553,0.532599144
down,S,6.092040484,7.093612344
down,FS,13.18388249,30.4751102
down,CS,0.959807934,3.368722476
down,C,1.149170191,0.15210445
down,S,14.25924717,1.869464928
down,FS,22.10150944,14.11914497
down,CS,0.08889689,1.102655744
down,C,0.74743584,0.07504488
down,S,10.87860024,1.243207662
down,FS,19.73950016,4.38228606
down,CS,0.168141693,0.263076006
down,C,0.442506407,0.20720609
down,S,8.959266955,2.673992422
down,FS,18.52454951,15.19396654
down,CS,0.146840688,3.616509549
down,C,0.373693209,0.15141339
down,S,5.837670205,1.93338931
down,FS,17.19874263,7.73187796
down,CS,0.181989701,0.18080044
down,C,0.519265124,0.109183206
down,S,6.423704914,1.102608069
down,FS,14.15359447,4.241472774
down,CS,0.077479024,0.839104452
up,C,1.7025325,0.213139278
up,S,21.169734,2.870653032
up,FS,67.3543303,13.60833988
up,CS,8.3672992,1.246262778
up,C,2.612606528,0.253979284
up,S,30.99769329,3.146337343
up,FS,66.37373999,13.50147819
up,CS,4.830157376,3.016492306
up,C,1.7129574,0.117770526
up,S,18.9964485,1.788479464
up,FS,27.08970705,9.67000934
up,CS,1.9097693,0.292677235
up,C,1.697588502,0
up,S,19.71894401,1.864780781
up,FS,43.22714401,5.26051288
up,CS,3.736525238,0.016842487
up,C,1.594118408,0.193196399
up,S,17.42420455,3.873817927
up,FS,28.42129602,16.54267227
up,CS,3.142247547,0.798545174
up,C,1.078525361,0.125345408
up,S,14.13203875,1.757096173
up,FS,26.94960898,8.730205595
up,CS,2.687546932,0.416722151
up,C,0.3422341,0.13051701
up,S,4.49208862,2.722698594
up,FS,13.23289422,14.80403529
up,CS,1.70785932,0.320050422
up,C,0.365880959,0.048083509
up,S,4.349452353,1.0268921
up,FS,9.504785729,5.254748532
up,CS,1.053904764,0.160119629
up,C,0.787200076,0.120214668
up,S,9.353645912,1.924776384
up,FS,14.80440086,3.273434694
up,CS,0.943739342,0.587656536
up,C,0.248584245,0.123938714
up,S,3.143270823,2.038071307
up,FS,16.05219315,6.377367503
up,CS,1.350160476,0.325987639
up,C,0.556083187,0.083372744
up,S,7.156926677,1.069981412
up,FS,28.24578138,2.842916822
up,CS,6.306584789,0.566747291
up,C,0.613805517,0.139940148
up,S,8.310870549,2.212171517
up,FS,18.37112183,14.2651145
up,CS,1.670992746,1.133887572
up,C,0.531115225,0.042203751
up,S,6.749233725,0.708429378
up,FS,15.53205135,5.554762587
up,CS,1.855193275,0.341501932
up,C,0.450431148,0.034188274
up,S,5.868802294,0.635772176
up,FS,15.82343562,4.482091868
up,CS,1.413110631,0.169088343
up,C,0.40174336,0.062710528
up,S,4.844942195,1.19943332
up,FS,14.67643241,6.54166536
up,CS,1.862369487,0.183724232
up,C,0.325715787,0.035792925
up,S,4.526303625,0.697889383
up,FS,16.0484584,7.498341139
up,CS,1.156536523,0.372372533
up,C,0.265985559,0.348451365
up,S,3.354316308,4.491150435
up,FS,16.31412779,6.863938065
up,CS,1.698374932,2.655420345
up,C,0.18115083,0.289832489
up,S,2.208175452,3.128428374
up,FS,13.94834834,3.66549973
up,CS,1.440681966,0.062176894
up,C,0.417927186,0.023654496
up,S,5.418500591,0.750874335
up,FS,13.11022648,5.691988085
up,CS,1.347441999,0.173525876
up,C,0.228691553,0.110248742
up,S,3.05699934,2.011169117
up,FS,8.617604508,9.577134003
up,CS,0.573062354,0.895335836
up,C,0.387890388,0.948947355
up,S,4.689975006,11.17526315
up,FS,11.9856607,30.13263153
up,CS,0.827499474,2.395789515
up,C,0.40784704,0.20143434
up,S,5.09002526,2.4259432
up,FS,13.20763622,15.20922982
up,CS,1.14606192,1.91425006
up,C,1.143181567,0.162347303
up,S,15.18824511,2.116707553
up,FS,54.84808538,7.87909527
up,CS,5.67475474,0.442618567
up,C,0.586305817,0.4346082
up,S,7.686044331,5.736100719
up,FS,31.34889105,17.14617533
up,CS,2.810801296,0.934981369
up,C,0.631561932,0.018580453
up,S,8.61840108,0.264409774
up,FS,24.46871587,0.428201429
up,CS,1.869763968,0.002666537
up,C,0.509388187,0.119397013
up,S,6.517028398,1.631173929
up,FS,19.59557893,3.849048732
up,CS,1.818682775,0.112624494
up,C,0.481339133,0.015183951
up,S,6.478382849,0.174237799
up,FS,20.54162017,0.45963358
up,CS,1.672357321,0.016434089
up,C,0.502692118,
up,S,6.282186823,
up,FS,17.81221865,
up,CS,1.807413908,
up,C,0.435763128,
up,S,6.66959676,
up,FS,15.11475523,
up,CS,1.425222096,
up,C,0.618502992,
up,S,8.244141245,
up,FS,21.54660437,
up,CS,0.338268878,
up,C,0.734195786,
up,S,10.12813635,
up,FS,19.15686159,
up,CS,0.173194897,
up,C,0.761137249,
up,S,11.36328277,
up,FS,16.98494319,
up,CS,0.070322454,
up,C,0.42047366,
up,S,6.386636523,
up,FS,13.5628889,
up,CS,0.046895787,
up,C,0.357288552,
up,S,5.682182922,
up,FS,11.92245867,
up,CS,0.03681945,
