trap,grain_size,sp_weight,sm_weight
T1A,CS,30.1699,1.5851
T1A,FS,15.6865,7.53
T1A,S,2.1643,3.79
T1A,C,0.1600,0.203
T1B,CS,13.6483,0.988
T1B,FS,13.3023,8.8133
T1B,S,1.7670,4.33
T1B,C,0.1288,0.240
T1C,CS,8.8192,1.8402
T1C,FS,5.3845,11.34998
T1C,S,0.6556,6.46
T1C,C,0.0430,0.361
T1D,CS,13.6483,0.988
T1D,FS,13.3023,8.8133
T1D,S,1.8076,4.24
T1D,C,0.1296,0.248
T2A,CS,30.0798,1.56
T2A,FS,16.9051,7.0017
T2A,S,1.7952,3.20
T2A,C,0.1324,0.187
T2B,CS,46.7501,6.3092
T2B,FS,24.2473,6.6125
T2B,S,2.6057,3.97
T2B,C,0.1984,0.235
T3C,CS,25.8965,0.5449
T3C,FS,20.5384,3.1219
T3C,S,3.0081,2.22
T3C,C,0.2327,0.174
T3D,CS,27.0117,4.3765
T3D,FS,11.1042,11.662
T3D,S,1.6108,5.82
T3D,C,0.1209,0.364
T5A,CS,32.3613,6.357
T5A,FS,21.3766,10.2044
T5A,S,4.0675,7.07
T5A,C,0.3217,0.459
T5B,CS,20.3331,3.6301
T5B,FS,10.9279,8.492
T5B,S,1.8888,5.51
T5B,C,0.1459,0.361
T5C,CS,14.4063,2.6212
T5C,FS,8.7733,5.7622
T5C,S,1.5904,5.84
T5C,C,0.1089,0.469
T5D,CS,13.8724,6.347
T5D,FS,12.863,8.2336
T5D,S,2.5637,5.08
T5D,C,0.2207,0.534
T6A,CS,43.567,
T6A,FS,18.8956,
T6A,S,3.6724,
T6A,C,0.3247,
T6B,CS,43.8219,3.512
T6B,FS,18.1835,11.0939
T6B,S,3.0290,5.71
T6B,C,0.2535,0.392
T6C,CS,16.2109,0.7872
T6C,FS,12.4641,5.5735
T6C,S,2.0785,4.15
T6C,C,0.1702,0.280
T6D,CS,21.3652,6.3075
T6D,FS,10.0188,6.8244
T6D,S,1.5611,3.50
T6D,C,0.1231,0.235
T7A,CS,16.2796,3.1259
T7A,FS,5.2179,7.5086
T7A,S,0.6822,4.29
T7A,C,0.0422,0.278
T7B,CS,16.2744,1.081
T7B,FS,8.6091,8.888
T7B,S,1.2116,4.93
T7B,C,0.0878,0.297
T7C,CS,8.4464,0.5154
T7C,FS,5.662,6.3198
T7C,S,1.3117,6.04
T7C,C,0.0766,0.470
T7D,CS,10.2546,1.2892
T7D,FS,6.291,8.2503
T7D,S,1.0662,5.53
T7D,C,0.0656,0.360
T8A,CS,13.4611,0.4124
T8A,FS,9.7505,9.6692
T8A,S,2.0555,6.94
T8A,C,0.1422,0.878
T8C,CS,17.8112,1.4544
T8C,FS,12.9597,9.8343
T8C,S,1.2494,6.86
T8C,C,0.0803,0.490
T8D,CS,21.0409,2.1474
T8D,FS,13.398,9.2516
T8D,S,1.4828,4.06
T8D,C,0.1021,0.282
