sample,sediment (mg),SSC (mg/L)_x,D50,datetime,depth,volconc,0.37,0.44,0.52,0.61,0.72,0.85,1.01,1.19,1.4,1.65,1.95,2.3,2.72,3.2,3.78,4.46,5.27,6.21,7.33,8.65,10.21,12.05,14.22,16.78,19.81,23.37,27.58,32.55,38.41,45.32,53.48,63.11,74.48,87.89,103.72,122.39,144.43,170.44,201.13,237.35,280.09,330.52,390.04,460.27,SSC (mg/L)_y,Q,P3,Turbidity (FNU),Clay,Silt,Fine_Sand,Coarse_Sand,Fine/Sand
ST5-U5,0.002,22.222,59.06,8/13/2023 19:45,18.43,70.304,0.00054051,0.000583182,0.000668525,0.000768093,0.000924556,0.001095244,0.001322827,0.001820665,0.002702549,0.003456418,0.004196063,0.005092171,0.00584604,0.006742148,0.007780496,0.009288234,0.011009331,0.012716204,0.014266614,0.016144174,0.018491124,0.021008762,0.02500569,0.029784934,0.034848657,0.038717569,0.041491238,0.044563609,0.049926036,0.054477697,0.058019458,0.062514224,0.060565544,0.059441853,0.051405325,0.044108443,0.036740442,0.031818958,0.026655667,0.023625967,0.021350137,0.019998862,0.018832499,0.019643264,17.78,0.004585039,0.1543,8.7834691,0.40174336,4.844942195,14.67643241,1.862369487,0.317234923
ST5-U6,0.002,22.222,56.53,8/13/2023 20:00,18.43,67.884,0.000515585,0.000559778,0.000618702,0.000707089,0.000810206,0.000913323,0.001075364,0.00145837,0.002135997,0.002666313,0.00319663,0.003918449,0.004537152,0.005347357,0.00626068,0.007601202,0.009147958,0.01076837,0.01237405,0.01442166,0.016970126,0.019989983,0.024630252,0.030596311,0.03712215,0.042749396,0.046859348,0.05110188,0.05765718,0.06144305,0.065243651,0.067085027,0.065214189,0.063696895,0.05649343,0.048538684,0.039272877,0.03189264,0.024939603,0.018840964,0.014303812,0.01063579,0.008264098,0.00742443,13.048,0.006213172,0.1543,7.0862247,0.325715787,4.526303625,16.0484584,1.156536523,0.282012255
ST5-U7,0.0023,21.905,78.86,8/13/2023 20:15,18.78,84.66,0.00042523,0.000460666,0.000507914,0.000578786,0.000661469,0.000744153,0.000885897,0.001204819,0.001771793,0.002220647,0.002681313,0.003283723,0.003791637,0.004512166,0.005327191,0.006543822,0.007902197,0.0091897,0.0102764,0.011563903,0.013099457,0.01481219,0.017540751,0.020871722,0.024415308,0.027557288,0.03065202,0.035093314,0.042357666,0.049102292,0.057429719,0.06735176,0.073092369,0.079210961,0.076246161,0.067623435,0.056992677,0.046184739,0.035872903,0.027285613,0.020989842,0.016146941,0.013111269,0.012426175,12.635,0.005626678,0.1578,6.9382092,0.265985559,3.354316308,16.31412779,1.698374932,0.200988276
ST5-U8,0.0018,18,82.1,8/13/2023 20:30,18.61,67.568,0.000384798,0.000399597,0.000443997,0.000503197,0.000562396,0.000636396,0.000754795,0.001021193,0.001450391,0.001775989,0.002131186,0.002575184,0.002900781,0.003359578,0.003877575,0.00469157,0.005653564,0.006645157,0.007636751,0.008879943,0.010448733,0.012165522,0.014755506,0.017833886,0.021252664,0.024449444,0.028001421,0.033462586,0.042860526,0.052021667,0.061982003,0.076767109,0.081088681,0.08589865,0.07969749,0.06881956,0.057926829,0.046664101,0.035268174,0.02807542,0.021489462,0.017079091,0.013393914,0.012313521,11.094,0.006209686,0.1561,6.385618,0.18115083,2.208175452,13.94834834,1.440681966,0.155261653
ST5-U9,0.0041,20.5,51.824,8/13/2023 20:45,19.07,54.9378,0.000618882,0.000673489,0.000746299,0.000855513,0.001001132,0.001183156,0.001456192,0.002038669,0.003058004,0.003931719,0.004823637,0.005897579,0.006825901,0.007972653,0.009283226,0.011230883,0.013451576,0.015726877,0.01787476,0.020477704,0.023499303,0.026520902,0.030853074,0.03536727,0.039335394,0.041465075,0.042356993,0.04384959,0.047581083,0.049856383,0.051895052,0.055262497,0.054461591,0.055353509,0.051039539,0.045433199,0.039426406,0.033838268,0.027704058,0.022516373,0.017965772,0.01408866,0.011158073,0.009993119,13.185,0.007294938,0.1607,7.1355632,0.417927186,5.418500591,13.11022648,1.347441999,0.403690802
ST5-U10,0.0027,12.558,50.37,8/13/2023 21:00,19.37,75.3398,0.000570747,0.000610567,0.000690206,0.000796392,0.000929124,0.001088402,0.001300773,0.001805155,0.002721005,0.003477578,0.004220877,0.00515,0.005946392,0.006928609,0.008083377,0.009795619,0.011799872,0.01395013,0.016034022,0.018555929,0.021502579,0.024542141,0.028842657,0.033647554,0.038651549,0.043084797,0.047305674,0.05160619,0.057287118,0.060791242,0.062649489,0.064746654,0.061295623,0.05775168,0.050477968,0.042673328,0.035505802,0.028842657,0.022206058,0.017069331,0.012503351,0.009118686,0.006941882,0.006503866,17.477,0.007294938,0.1637,8.6749244,0.228691553,3.05699934,8.617604508,0.573062354,0.357502991
ST5-U11,0.0045,18,50.552,8/13/2023 21:15,19.07,59.1662,0.000642259,0.000709865,0.000794372,0.000912683,0.001081699,0.001267616,0.001554942,0.002163397,0.003245096,0.004140878,0.005036659,0.00613526,0.007047943,0.008163445,0.009447962,0.011340935,0.013555036,0.015853646,0.018033945,0.020569176,0.023442438,0.026180488,0.029865024,0.033634068,0.037284801,0.040259472,0.043234144,0.046614452,0.051583505,0.055318746,0.058022993,0.062299083,0.060592027,0.058715956,0.052597598,0.045110215,0.037994666,0.030490381,0.023036801,0.0175438,0.012642353,0.009059226,0.006726814,0.006084555,18.22,0.006209686,0.1607,8.9413523,0.387890388,4.689975006,11.9856607,0.827499474,0.396300782
ST5-U12,0.005,20,55.232,8/13/2023 21:30,19.07,50.8524,0.000589943,0.000648937,0.000727596,0.000845584,0.001002903,0.00119955,0.001474857,0.002064799,0.003087367,0.003952616,0.0047982,0.005879762,0.006745011,0.007826573,0.009065452,0.010933604,0.013116392,0.015456498,0.01769828,0.020294027,0.023125752,0.025780494,0.029418474,0.032997459,0.036163485,0.038070966,0.039526158,0.041787605,0.04623184,0.049456859,0.052681879,0.05826667,0.05867963,0.060193816,0.056575501,0.050322109,0.044029387,0.036379797,0.028179594,0.021611566,0.015790798,0.011405558,0.008495174,0.007452942,15.304,0.005623456,0.1607,7.8953761,0.40784704,5.09002526,13.20763622,1.14606192,0.383028279
ST6-U1,0.0148,77.895,63.43,8/28/2023 12:20,20.38,232.0534,0.000562801,0.000592105,0.000636922,0.00069553,0.000764479,0.000849804,0.001017869,0.001422086,0.00212882,0.002714892,0.003290622,0.003984428,0.004639449,0.005399619,0.006379566,0.007796481,0.009498676,0.011287057,0.013020279,0.015093078,0.017338251,0.019628241,0.023012807,0.026799004,0.031106633,0.035280672,0.040178683,0.045095655,0.050515959,0.056444767,0.061295374,0.065863288,0.06619597,0.063980963,0.057949593,0.05229486,0.044841403,0.036443336,0.027747924,0.021937192,0.019048202,0.01714002,0.014725921,0.013360718,92.728,0.00670403,0.1738,35.6630839,1.143181567,15.18824511,54.84808538,5.67475474,0.269839066
ST6-U2,0.0086,43,66.166,8/28/2023 12:35,20.24,143.8942,0.000512877,0.000540675,0.000582372,0.000640749,0.000708854,0.000793639,0.000949309,0.001320415,0.001976452,0.002531026,0.003078651,0.003798624,0.004411575,0.005178805,0.006041939,0.007277569,0.008755044,0.010343711,0.011885121,0.013679495,0.01576575,0.017857565,0.020827803,0.024376243,0.028545973,0.033316145,0.038831308,0.044239448,0.050336984,0.057433865,0.063806602,0.069202233,0.071192585,0.069930546,0.063133886,0.055305912,0.045811436,0.037495604,0.029007424,0.022541562,0.017271023,0.013682275,0.011872612,0.013208316,62.986,0.006217246,0.1724,24.9961002,0.586305817,7.686044331,31.34889105,2.810801296,0.242166998
