SampleID,t0,t1,max_amp,mean_amp,median_amp,impulses_ch6,impulses_ch5,impulses_ch4,impulses_ch3,impulses_ch2,impulses_ch1,ch6_mean,ch6_median,ch5_mean,ch5_median,ch4_mean,ch4_median,ch3_mean,ch3_median,ch2_mean,ch2_median,ch1_mean,ch1_median
167,41,48,0.06669042702545427,0.021101976858145438,0.014590330924009298,2,7,21,48,94,175,,,0.06669042702545427,0.06669042702545427,0.051829697791504675,0.051829697791504675,0.026829963629917384,0.018454266469548165,0.021101976858145438,0.014590330924009298,0.021101976858145438,0.014590330924009298
6,80,90,0.032720894958709584,0.009122748370885931,0.004644247608395092,0,3,12,39,92,290,,,,,0.026618987391635283,0.026618987391635283,0.015710325925231732,0.011909341952101596,0.009819517186484763,0.004888111698442141,0.009122748370885931,0.004644247608395092
8,115,125,0.10295887451945841,0.020696188602370408,0.00496178168517108,2,9,27,51,88,226,,,0.07882223100760746,0.07882223100760746,0.05056457327247709,0.03914658353320618,0.041924235968338074,0.023607579570655828,0.022608603666337695,0.006162334218476551,0.020696188602370408,0.00496178168517108
168,150,160,0.05691690770373815,0.013403884117715302,0.006156785491184739,1,4,25,57,80,190,,,,,0.03048224163351819,0.024995146287685517,0.02264894306986823,0.017769360481007343,0.016076215617547355,0.007807906393951898,0.013403884117715302,0.006156785491184739
150,194,199,0.02983949055556505,0.012567203482672406,0.007193660720371665,0,3,16,30,67,159,,,,,0.022011063638317077,0.02591903653950203,0.022011063638317077,0.02591903653950203,0.012567203482672406,0.007193660720371665,0.012567203482672406,0.007193660720371665
11,226,234,0.03294379349653374,0.015043728785329478,0.01920551011499608,0,4,25,60,82,231,,,,,0.02450097371451225,0.022153335967582913,0.025824839614391294,0.025108212660105426,0.016670674025959658,0.019672324877908338,0.015043728785329478,0.01920551011499608
22,265,275,0.039947364949594055,0.011688893366988086,0.0033979220479590407,0,5,23,60,113,285,,,,,0.026009954534327043,0.026267106716207862,0.022407960858610694,0.023572556525192512,0.012637018549963209,0.005698954101852172,0.011688893366988086,0.0033979220479590407
152,310,320,0.06550162975447807,0.015199774068735626,0.005385260996384341,2,8,26,44,110,293,,,0.06097371582059502,0.06097371582059502,0.044321449267728984,0.056445801886711965,0.03569738027931787,0.03373135902435443,0.015199774068735626,0.005385260996384341,0.015199774068735626,0.005385260996384341
12,357,360,0.02836964708419427,0.014871713812608753,0.013854636481089288,0,5,9,23,42,93,,,0.02836964708419427,0.02836964708419427,0.024571582085874837,0.024571582085874837,0.018692973348790946,0.020773517087555406,0.014871713812608753,0.013854636481089288,0.014871713812608753,0.013854636481089288
96,392,400,0.060918129800859276,0.012276827670330698,0.003292232098081999,0,6,19,35,88,234,,,0.060918129800859276,0.060918129800859276,0.04135787739090507,0.04135787739090507,0.03011062610252281,0.02179762498095087,0.012276827670330698,0.003292232098081999,0.012276827670330698,0.003292232098081999
101,432,438,0.01914650916577121,0.009570819214147817,0.005887900863805751,0,3,11,33,83,193,,,,,0.0181475423586222,0.0181475423586222,0.013562385194094374,0.014607565373400268,0.009570819214147817,0.005887900863805751,0.009570819214147817,0.005887900863805751
24,468,478,0.06709339425668276,0.010460246530281518,0.0038270467787067147,1,6,14,32,76,299,,,0.06709339425668276,0.06709339425668276,0.06709339425668276,0.06709339425668276,0.01993675559615097,0.009768274492967187,0.013680526418164588,0.005354736530794819,0.010460246530281518,0.0038270467787067147
107,515,520,0.017649864485910036,0.009217078768055904,0.009314028106957346,0,1,10,20,57,163,,,,,0.013806644899305706,0.013806644899305706,0.013912127583202738,0.013806644899305706,0.009217078768055904,0.009314028106957346,0.009217078768055904,0.009314028106957346
162,550,560,0.014312798687300357,0.005848320632525766,0.0033522892146348572,0,0,10,33,91,330,,,,,0.012410104025089292,0.011609841830505346,0.009603804314080786,0.011307671557462175,0.006186595390705675,0.0039452719353712555,0.005848320632525766,0.0033522892146348572
159,595,610,0.006980292436264981,0.0031768296725374623,0.0029137532311418655,0,0,1,13,110,462,,,,,,,0.006980292436264981,0.006980292436264981,0.0034827539660389796,0.0032202487880212483,0.0031768296725374623,0.0029137532311418655
35,642,648,0.014191560493326157,0.006010910871679898,0.00404076972090304,0,1,5,20,66,198,,,,,0.014191560493326157,0.014191560493326157,0.009990748664692219,0.008958326296697239,0.006010910871679898,0.00404076972090304,0.006010910871679898,0.00404076972090304
69,685,689,0.00694457418306856,0.004629154709709245,0.004366060632695615,0,0,2,12,44,142,,,,,,,0.006512952827712484,0.006512952827712484,0.004629154709709245,0.004366060632695615,0.004629154709709245,0.004366060632695615
85,730,736,0.007210607393346326,0.004310702506108275,0.0032147255148358635,0,0,2,20,56,221,,,,,,,0.006464425585957024,0.006199194581874152,0.004310702506108275,0.0032147255148358635,0.004310702506108275,0.0032147255148358635
61,782,788,0.015621448812066584,0.005266294965056408,0.002724458898335974,0,0,7,15,64,195,,,,,0.015621448812066584,0.015621448812066584,0.01125303391141999,0.01125303391141999,0.005788891419209285,0.003767863115558305,0.005266294965056408,0.002724458898335974
52,820,825,0.010312591726958571,0.00559261199326792,0.004782485749132145,0,0,6,17,63,169,,,,,0.010312591726958571,0.010312591726958571,0.007866785052985959,0.00770835647626435,0.00559261199326792,0.004782485749132145,0.00559261199326792,0.004782485749132145
165,865,875,0.006760871049703109,0.00343676141699146,0.0032222345369048925,0,0,1,14,80,345,,,,,,,0.005408021805744282,0.005408021805744282,0.00343676141699146,0.0032222345369048925,0.00343676141699146,0.0032222345369048925
166,920,930,0.0034465260731907092,0.002688815088231444,0.0025727856706304277,0,0,0,5,43,348,,,,,,,,,0.0028594696938567684,0.0028504748037646225,0.002688815088231444,0.0025727856706304277
53,970,985,0.0034421994214944795,0.0024023949158557345,0.002244422095160911,0,0,0,1,60,510,,,,,,,,,0.002727698839735747,0.002634237943766029,0.0024023949158557345,0.002244422095160911
45,1020,1030,0.004435169498038258,0.0030116236444051522,0.002905808958882642,0,0,1,9,64,340,,,,,,,,,0.003324025748469183,0.003269786554267429,0.0030116236444051522,0.002905808958882642
