Date/time,Pressure[cmH2O],Barometric[cmH2O],CompPressure[cmH2O],
3/1/2022 12:15,768.9,752.158,16.742,
3/1/2022 12:30,768.725,751.983,16.742,
3/1/2022 12:45,768.608,751.692,16.916,
3/1/2022 13:00,768.433,751.517,16.916,
3/1/2022 13:15,768.317,751.342,16.975,
3/1/2022 13:30,768.142,751.342,16.8,
3/1/2022 13:45,767.967,751.225,16.742,
3/1/2022 14:00,767.967,751.225,16.742,
3/1/2022 14:15,767.967,750.875,17.092,
3/1/2022 14:30,767.85,750.875,16.975,
3/1/2022 14:45,767.675,750.758,16.917,
3/1/2022 15:00,767.675,750.583,17.092,
3/1/2022 15:15,767.675,750.583,17.092,
3/1/2022 15:30,767.675,750.408,17.267,
3/1/2022 15:45,767.5,750.583,16.917,
3/1/2022 16:00,767.675,750.583,17.092,
3/1/2022 16:15,767.675,750.758,16.917,
3/1/2022 16:30,767.675,750.758,16.917,
3/1/2022 16:45,767.675,750.583,17.092,
3/1/2022 17:00,767.5,750.583,16.917,
3/1/2022 17:15,767.5,750.758,16.742,
3/1/2022 17:30,767.675,750.758,16.917,
3/1/2022 17:45,767.675,750.583,17.092,
3/1/2022 18:00,767.792,750.583,17.209,
3/1/2022 18:15,767.792,750.758,17.034,
3/1/2022 18:30,767.967,750.583,17.384,
3/1/2022 18:45,767.967,750.583,17.384,
3/1/2022 19:00,768.142,750.583,17.559,
3/1/2022 19:15,768.142,750.758,17.384,
3/1/2022 19:30,768.317,750.758,17.559,
3/1/2022 19:45,768.433,750.875,17.558,
3/1/2022 20:00,768.433,751.05,17.383,
3/1/2022 20:15,768.608,751.05,17.558,
3/1/2022 20:30,768.608,751.05,17.558,
3/1/2022 20:45,768.783,751.225,17.558,
3/1/2022 21:00,768.9,751.342,17.558,
3/1/2022 21:15,769.075,751.342,17.733,
3/1/2022 21:30,768.9,751.342,17.558,
3/1/2022 21:45,768.9,751.517,17.383,
3/1/2022 22:00,769.075,751.517,17.558,
3/1/2022 22:15,769.075,751.692,17.383,
3/1/2022 22:30,769.075,751.517,17.558,
3/1/2022 22:45,769.192,751.692,17.5,
3/1/2022 23:00,769.25,751.692,17.558,
3/1/2022 23:15,769.25,751.692,17.558,
3/1/2022 23:30,769.25,751.692,17.558,
3/1/2022 23:45,769.075,751.692,17.383,
3/2/2022 0:00,769.075,751.517,17.558,
3/2/2022 0:15,769.075,751.517,17.558,
3/2/2022 0:30,769.075,751.692,17.383,
3/2/2022 0:45,769.25,751.692,17.558,
3/2/2022 1:00,769.25,751.517,17.733,
3/2/2022 1:15,769.25,751.692,17.558,
3/2/2022 1:30,769.367,751.692,17.675,
3/2/2022 1:45,769.367,751.517,17.85,
3/2/2022 2:00,769.367,751.692,17.675,
3/2/2022 2:15,769.367,751.342,18.025,
3/2/2022 2:30,769.542,751.692,17.85,
3/2/2022 2:45,769.25,751.692,17.558,
3/2/2022 3:00,769.192,751.517,17.675,
3/2/2022 3:15,769.075,751.517,17.558,
3/2/2022 3:30,769.075,751.517,17.558,
3/2/2022 3:45,768.9,751.342,17.558,
3/2/2022 4:00,768.725,751.225,17.5,
3/2/2022 4:15,768.608,751.05,17.558,
3/2/2022 4:30,768.608,751.05,17.558,
3/2/2022 4:45,768.725,751.05,17.675,
3/2/2022 5:00,768.725,751.05,17.675,
3/2/2022 5:15,768.9,751.225,17.675,
3/2/2022 5:30,768.725,751.05,17.675,
3/2/2022 5:45,768.725,751.05,17.675,
3/2/2022 6:00,768.725,751.225,17.5,
3/2/2022 6:15,768.9,750.875,18.025,
3/2/2022 6:30,768.725,751.05,17.675,
3/2/2022 6:45,768.9,751.225,17.675,
3/2/2022 7:00,769.075,751.225,17.85,
3/2/2022 7:15,768.9,751.225,17.675,
3/2/2022 7:30,769.075,751.225,17.85,
3/2/2022 7:45,769.075,751.517,17.558,
3/2/2022 8:00,769.075,751.517,17.558,
3/2/2022 8:15,769.367,751.517,17.85,
3/2/2022 8:30,769.367,751.517,17.85,
3/2/2022 8:45,769.367,751.692,17.675,
3/2/2022 9:00,769.367,751.808,17.559,
3/2/2022 9:15,769.367,751.983,17.384,
3/2/2022 9:30,769.367,752.158,17.209,
3/2/2022 9:45,769.367,752.45,16.917,
3/2/2022 10:00,769.658,752.625,17.033,
3/2/2022 10:15,769.658,752.625,17.033,
3/2/2022 10:30,769.542,752.625,16.917,
3/2/2022 10:45,769.658,752.625,17.033,
3/2/2022 11:00,769.717,752.625,17.092,
3/2/2022 11:15,769.717,752.625,17.092,
3/2/2022 11:30,769.717,752.625,17.092,
3/2/2022 11:45,769.717,752.917,16.8,
3/2/2022 12:00,769.833,752.917,16.916,
3/2/2022 12:15,769.717,752.742,16.975,
3/2/2022 12:30,769.717,752.742,16.975,
3/2/2022 12:45,769.542,752.625,16.917,
3/2/2022 13:00,769.367,752.625,16.742,
3/2/2022 13:15,769.25,752.45,16.8,
3/2/2022 13:30,768.9,752.275,16.625,
3/2/2022 13:45,768.783,752.158,16.625,
3/2/2022 14:00,768.608,751.808,16.8,
3/2/2022 14:15,768.608,751.808,16.8,
3/2/2022 14:30,768.317,751.692,16.625,
3/2/2022 14:45,768.317,751.517,16.8,
3/2/2022 15:00,768.317,751.517,16.8,
3/2/2022 15:15,768.317,751.342,16.975,
3/2/2022 15:30,768.317,751.225,17.092,
3/2/2022 15:45,768.317,751.225,17.092,
3/2/2022 16:00,768.142,751.225,16.917,
3/2/2022 16:15,768.142,751.225,16.917,
3/2/2022 16:30,767.967,751.05,16.917,
3/2/2022 16:45,767.967,751.225,16.742,
3/2/2022 17:00,767.967,751.225,16.742,
3/2/2022 17:15,767.967,751.225,16.742,
3/2/2022 17:30,767.967,751.05,16.917,
3/2/2022 17:45,768.142,751.225,16.917,
3/2/2022 18:00,767.967,750.875,17.092,
3/2/2022 18:15,767.967,751.05,16.917,
3/2/2022 18:30,768.142,750.758,17.384,
3/2/2022 18:45,768.142,750.758,17.384,
3/2/2022 19:00,768.142,750.758,17.384,
3/2/2022 19:15,768.142,750.758,17.384,
3/2/2022 19:30,768.142,750.875,17.267,
3/2/2022 19:45,768.317,750.758,17.559,
3/2/2022 20:00,768.317,750.875,17.442,
3/2/2022 20:15,768.258,750.875,17.383,
3/2/2022 20:30,768.258,750.875,17.383,
3/2/2022 20:45,768.433,750.875,17.558,
3/2/2022 21:00,768.433,751.05,17.383,
3/2/2022 21:15,768.608,751.05,17.558,
3/2/2022 21:30,768.433,751.05,17.383,
3/2/2022 21:45,768.608,751.05,17.558,
3/2/2022 22:00,768.725,751.05,17.675,
3/2/2022 22:15,768.783,751.05,17.733,
3/2/2022 22:30,768.783,751.225,17.558,
3/2/2022 22:45,768.608,751.225,17.383,
3/2/2022 23:00,768.608,751.05,17.558,
3/2/2022 23:15,768.608,751.05,17.558,
3/2/2022 23:30,768.783,750.875,17.908,
3/2/2022 23:45,768.783,751.05,17.733,
3/3/2022 0:00,768.783,751.225,17.558,
3/3/2022 0:15,768.725,751.225,17.5,
3/3/2022 0:30,768.608,751.225,17.383,
3/3/2022 0:45,768.725,751.225,17.5,
3/3/2022 1:00,768.725,751.225,17.5,
