Time,T1,Pressure Temp 1,T2,T3,T4,Pressure Temp 2
2021-07-10 00:00:00,,1.030628753004588e-05,3.5018781505330167e-06,8.606078648540427e-07,-8.030809426705614e-07,-1.343571145105541e-06
2021-07-10 00:15:00,,1.038019034977683e-05,3.5180806811181212e-06,8.592471109748462e-07,-8.081194558051323e-07,-1.3436464347384054e-06
2021-07-10 00:30:00,,1.0455130463108296e-05,3.534971243111442e-06,8.579890532398234e-07,-8.131139168220154e-07,-1.3435237915226597e-06
2021-07-10 00:45:00,,1.0530874158433281e-05,3.552604789479964e-06,8.568418215049584e-07,-8.184050591904512e-07,-1.343242330010753e-06
2021-07-10 01:00:00,,1.0607784917743956e-05,3.571122763670008e-06,8.558311729273038e-07,-8.23819487712072e-07,-1.3428335798206786e-06
2021-07-10 01:15:00,,1.0685739280136017e-05,3.5905077940345906e-06,8.549722089076309e-07,-8.293504247586595e-07,-1.3423348035497762e-06
2021-07-10 01:30:00,,1.0764926214287376e-05,3.6107990534090704e-06,8.542832230311121e-07,-8.34987669643085e-07,-1.3417819583561822e-06
2021-07-10 01:45:00,,1.0844795673542898e-05,3.6319200048890945e-06,8.537720228430397e-07,-8.407260789952045e-07,-1.3412157538059083e-06
2021-07-10 02:00:00,,1.0925503560026745e-05,3.654075314977421e-06,8.534645312714584e-07,-8.46547895816254e-07,-1.3406678396942014e-06
2021-07-10 02:15:00,,1.1006857451263683e-05,3.6771998719387486e-06,8.533673495855103e-07,-8.521913947267643e-07,-1.3401779324210852e-06
2021-07-10 02:30:00,,1.1088921023991137e-05,3.7013272227002827e-06,8.535070053356444e-07,-8.581391471216794e-07,-1.3397752192494295e-06
2021-07-10 02:45:00,,1.1171614973322593e-05,3.726567734868675e-06,8.537315864973643e-07,-8.641300655038726e-07,-1.33949227427829e-06
2021-07-10 03:00:00,,1.1254852043656027e-05,3.7527262515573686e-06,8.542648781274654e-07,-8.698749288913924e-07,-1.3393403804405374e-06
2021-07-10 03:15:00,,1.1338498427017841e-05,3.7800211854949683e-06,8.551792166176181e-07,-8.756234937183785e-07,-1.339345062455242e-06
2021-07-10 03:30:00,,1.1422340412477698e-05,3.8083007467092207e-06,8.564021233203779e-07,-8.816462862513405e-07,-1.3395356202363928e-06
2021-07-10 03:45:00,,1.150633370067524e-05,3.837434051942696e-06,8.579109763192255e-07,-8.876517218971096e-07,-1.339906045607508e-06
