Date_Time,tau
3/1/2023 0:00,3.927250967
3/1/2023 0:15,4.330192031
3/1/2023 0:30,4.753730562
3/1/2023 0:45,4.753730562
3/1/2023 1:00,4.332547509
3/1/2023 1:15,4.75127325
3/1/2023 1:30,5.042434909
3/1/2023 1:45,5.042434909
3/1/2023 2:00,5.960572807
3/1/2023 2:15,5.192367562
3/1/2023 2:30,5.492947573
3/1/2023 2:45,5.042434909
3/1/2023 3:00,5.492947573
3/1/2023 3:15,5.492947573
3/1/2023 3:30,5.960572807
3/1/2023 3:45,5.189809679
3/1/2023 4:00,5.492947573
3/1/2023 4:15,6.282992989
3/1/2023 4:30,5.341699203
3/1/2023 4:45,5.341699203
3/1/2023 5:00,5.803587076
3/1/2023 5:15,5.803587076
3/1/2023 5:30,5.800897019
3/1/2023 5:45,6.280204848
3/1/2023 6:00,6.776300584
3/1/2023 6:15,6.119447686
3/1/2023 6:30,5.800897019
3/1/2023 6:45,5.800897019
3/1/2023 7:00,5.800897019
3/1/2023 7:15,5.800897019
3/1/2023 7:30,6.609907059
3/1/2023 7:45,6.119447686
3/1/2023 8:00,6.609907059
3/1/2023 8:15,5.800897019
3/1/2023 8:30,4.60974287
3/1/2023 8:45,5.33910828
3/1/2023 9:00,4.60974287
3/1/2023 9:15,4.60974287
3/1/2023 9:30,3.54241466
3/1/2023 9:45,4.058877535
3/1/2023 10:00,4.75127325
3/1/2023 10:15,4.330192031
3/1/2023 10:30,4.330192031
3/1/2023 10:45,3.927250967
3/1/2023 11:00,3.667795391
3/1/2023 11:15,4.330192031
3/1/2023 11:30,3.927250967
3/1/2023 11:45,3.295190933
3/1/2023 12:00,4.058877535
3/1/2023 12:15,3.927250967
3/1/2023 12:30,3.927250967
3/1/2023 12:45,3.54241466
3/1/2023 13:00,3.927250967
3/1/2023 13:15,4.330192031
3/1/2023 13:30,3.54241466
3/1/2023 13:45,3.927250967
3/1/2023 14:00,3.929503574
3/1/2023 14:15,3.929503574
3/1/2023 14:30,3.54241466
3/1/2023 14:45,3.927250967
3/1/2023 15:00,2.943029612
3/1/2023 15:15,3.175695821
3/1/2023 15:30,2.827738367
3/1/2023 15:45,3.175695821
3/1/2023 16:00,3.544563109
3/1/2023 16:15,4.194808286
3/1/2023 16:30,3.297269047
3/1/2023 16:45,3.929503574
3/1/2023 17:00,4.332547509
3/1/2023 17:15,3.929503574
3/1/2023 17:30,3.797615282
3/1/2023 17:45,3.797615282
3/1/2023 18:00,3.544563109
3/1/2023 18:15,3.544563109
3/1/2023 18:30,3.797615282
