Date_Time,Turbidity,SS (uL/L),sediment
2022-08-03 15:02:00,21.59,206.82,57.73
2022-08-03 15:17:00,19.968,142.53,48.06
2022-08-03 15:47:00,10.484,55.06,17.43
2022-08-03 16:17:00,13.014000000000001,66.04,11.45
2022-08-08 14:28:00,14.478,204.03,49.09
2022-08-08 14:43:00,22.442,105.77,35.39
2022-08-08 15:23:00,13.925999999999998,68.83,23.68
2022-08-08 16:13:00,9.508,36.65,9.89
2022-08-08 16:58:00,7.599333333333334,19.05,4.08
2022-08-08 17:28:00,6.719333333333333,18.36,1.65
2023-04-18 00:30:00,12.730442,59.16,8.95
2023-04-18 04:30:00,12.263458,48.47,9.5
2023-04-18 21:30:00,13.492994,45.42,15.0
2023-04-19 02:30:00,11.935922,74.75,10.0
2023-04-19 12:30:00,10.448042000000001,56.59,3.5
2023-04-30 18:00:00,63.186318,63.56,42.0
2023-04-30 23:00:00,18.038439999999998,85.89,17.42
2023-05-01 14:00:00,13.443178,50.13,6.0
2023-05-01 20:00:00,24.053342,44.99,22.14
2023-05-02 03:00:00,13.279764,35.73,10.0
2023-05-02 10:00:00,8.0217294,31.62,6.43
2023-05-02 17:00:00,10.49208,25.42,18.0
2023-05-03 20:00:00,18.7132092,68.76,20.67
2023-05-04 02:00:00,13.83131,50.92,4.67
2023-05-04 02:00:00,13.83131,50.92,11.88
2023-07-29 15:07:00,36.38,223.614,110.0
2023-07-29 15:22:00,34.868,200.69,53.33
2023-07-29 15:37:00,33.26,231.914,80.0
2023-07-29 15:52:00,26.348000000000003,233.253,43.33
2023-07-29 16:07:00,20.136,124.56,92.22
2023-08-13 18:45:00,22.84,210.458,76.15
2023-08-13 18:58:00,15.56,116.066,41.2
2023-08-13 19:02:00,13.776,113.258,39.6
2023-08-13 19:10:00,11.31,81.15,27.6
2023-08-13 21:02:00,8.756,56.15,20.83
2023-09-14 17:52:00,1.6175579133510167,63.87,37.6
2023-09-14 18:07:00,1.6136321839080459,75.4,31.54
2023-09-14 18:22:00,1.609706454465075,70.75,28.08
2023-09-14 18:37:00,1.6057807250221043,82.6,23.6
2023-09-14 18:52:00,1.6018549955791335,54.12,21.18
