Date_Time,down_turb,up_turb
7/16/2021 14:30,6.34,4.62
7/16/2021 14:45,6.49,4.23
7/16/2021 15:00,6.54,4.21
7/16/2021 15:15,6.38,4.24
7/16/2021 15:30,5.19,4.23
7/16/2021 15:45,4.8,7
7/16/2021 16:00,4.74,4.36
7/16/2021 16:15,4.8,3.92
7/16/2021 16:30,4.66,3.79
7/16/2021 16:45,4.7,3.69
7/16/2021 17:00,4.6,3.68
7/16/2021 17:15,4.43,3.63
7/16/2021 17:30,4.35,3.62
7/16/2021 17:45,4.54,3.65
7/16/2021 18:00,4.31,3.6
7/16/2021 18:15,4.26,3.49
7/16/2021 18:30,4.05,3.38
7/16/2021 18:45,4,3.32
7/16/2021 19:00,3.9,3.25
7/16/2021 19:15,4.31,3.17
7/16/2021 19:30,4.18,3.15
7/16/2021 19:45,4.03,3.07
7/16/2021 20:00,4.13,3.02
7/16/2021 20:15,3.97,2.95
7/16/2021 20:30,4.04,2.92
7/16/2021 20:45,3.46,2.89
7/16/2021 21:00,3.34,2.87
7/16/2021 21:15,3.27,2.79
7/16/2021 21:30,3.2,2.75
7/16/2021 21:45,3.17,2.79
7/16/2021 22:00,3.16,2.7
7/16/2021 22:15,3.1,2.64
7/16/2021 22:30,3.1,2.57
7/16/2021 22:45,3.18,2.62
7/16/2021 23:00,3.04,2.59
7/16/2021 23:15,6.14,2.62
7/16/2021 23:30,4.02,3.08
7/16/2021 23:45,4.21,3.6
7/17/2021 0:00,4.77,3.37
7/17/2021 0:15,4.91,3.13
7/17/2021 0:30,4.71,3.07
7/17/2021 0:45,4.89,3.11
7/17/2021 1:00,5.09,3.25
7/17/2021 1:15,5.26,3.51
7/17/2021 1:30,5.96,4.06
7/17/2021 1:45,6.49,5.93
7/17/2021 2:00,7.11,6.37
7/17/2021 2:15,7.27,6.15
7/17/2021 2:30,7.13,6.23
7/17/2021 2:45,6.87,6.26
7/17/2021 3:00,6.67,5.93
7/17/2021 3:15,8.19,5.68
7/17/2021 3:30,6.26,5.45
7/17/2021 3:45,5.84,5.17
7/17/2021 4:00,5.65,4.92
7/17/2021 4:15,5.6,4.84
7/17/2021 4:30,5.41,4.59
7/17/2021 4:45,5.3,4.49
7/17/2021 5:00,5.1,4.33
7/17/2021 5:15,5.92,4.25
7/17/2021 5:30,5.93,4.14
7/17/2021 5:45,5.78,4.05
7/17/2021 6:00,5.65,3.92
7/17/2021 6:15,5.54,3.84
7/17/2021 6:30,5.47,3.78
7/17/2021 6:45,5.24,3.68
7/17/2021 7:00,4.9,3.63
7/17/2021 7:15,4.47,3.55
7/17/2021 7:30,4.33,3.45
7/17/2021 7:45,4.2,3.38
7/17/2021 8:00,4.58,3.29
7/17/2021 8:15,4.47,3.22
7/17/2021 8:30,4.54,3.17
7/17/2021 8:45,4.63,3.14
7/17/2021 9:00,4.59,3.09
7/17/2021 9:15,4.55,3.03
7/17/2021 9:30,4.53,2.98
7/17/2021 9:45,4.54,2.9
7/17/2021 10:00,4.49,2.9
7/17/2021 10:15,4.36,2.85
7/17/2021 10:30,4.34,2.86
7/17/2021 10:45,4.34,2.8
7/17/2021 11:00,4.24,2.76
7/17/2021 11:15,4.33,2.72
7/17/2021 11:30,4.26,2.69
7/17/2021 11:45,4.24,2.62
7/17/2021 12:00,4.16,2.56
7/17/2021 12:15,4.52,2.55
7/17/2021 12:30,4.07,2.53
7/17/2021 12:45,4.04,2.49
7/17/2021 13:00,4.04,2.44
7/17/2021 13:15,6.15,2.43
7/17/2021 13:30,4.6,2.48
7/17/2021 13:45,4.39,3.7
7/17/2021 14:00,4.26,2.67
7/17/2021 14:15,4.32,2.62
7/17/2021 14:30,4.71,2.94
7/17/2021 14:45,4.43,2.55
7/17/2021 15:00,4.28,2.48
7/17/2021 15:15,4.27,2.44
7/17/2021 15:30,4.21,2.42
7/17/2021 15:45,4.27,2.43
7/17/2021 16:00,4.21,2.43
7/17/2021 16:15,4.2,2.41
7/17/2021 16:30,4.22,2.41
7/17/2021 16:45,4.18,2.39
7/17/2021 17:00,4.22,2.37
7/17/2021 17:15,4.1,2.37
7/17/2021 17:30,4.11,2.37
7/17/2021 17:45,4.12,2.37
7/17/2021 18:00,4.12,2.4
7/17/2021 18:15,4.13,2.39
7/17/2021 18:30,4.16,2.41
7/17/2021 18:45,4.2,2.42
7/17/2021 19:00,4.2,2.41
7/17/2021 19:15,4.13,2.4
7/17/2021 19:30,4.11,2.4
7/17/2021 19:45,4.03,2.36
7/17/2021 20:00,4.05,2.34
7/17/2021 20:15,3.99,2.32
7/17/2021 20:30,4.01,2.31
7/17/2021 20:45,3.98,2.32
7/17/2021 21:00,3.99,2.31
7/17/2021 21:15,4,2.32
7/17/2021 21:30,4,2.28
7/17/2021 21:45,4.01,2.29
7/17/2021 22:00,3.96,2.3
7/17/2021 22:15,3.96,2.28
7/17/2021 22:30,3.99,2.28
7/17/2021 22:45,3.93,2.26
7/17/2021 23:00,3.92,2.28
7/17/2021 23:15,3.93,2.24
7/17/2021 23:30,3.94,2.24
7/17/2021 23:45,3.89,2.22
7/18/2021 0:00,3.85,2.21
7/18/2021 0:15,3.81,2.23
7/18/2021 0:30,3.83,2.24
7/18/2021 0:45,3.8,2.26
7/18/2021 1:00,3.8,2.23
7/18/2021 1:15,3.83,2.21
7/18/2021 1:30,3.76,2.19
7/18/2021 1:45,3.78,2.18
7/18/2021 2:00,3.74,2.2
7/18/2021 2:15,3.77,2.18
7/18/2021 2:30,3.78,2.2
7/18/2021 2:45,3.8,2.18
7/18/2021 3:00,3.84,2.13
7/18/2021 3:15,3.79,2.13
7/18/2021 3:30,3.81,2.15
7/18/2021 3:45,3.79,2.12
7/18/2021 4:00,3.81,2.15
7/18/2021 4:15,3.8,2.11
7/18/2021 4:30,3.74,2.09
7/18/2021 4:45,3.75,2.09
7/18/2021 5:00,3.73,2.08
7/18/2021 5:15,3.73,2.07
7/18/2021 5:30,3.74,2.08
7/18/2021 5:45,3.76,2.09
7/18/2021 6:00,3.76,2.09
7/18/2021 6:15,3.77,2.1
7/18/2021 6:30,3.76,2.1
7/18/2021 6:45,3.75,2.09
7/18/2021 7:00,3.76,2.09
7/18/2021 7:15,3.75,2.06
7/18/2021 7:30,3.74,2.06
7/18/2021 7:45,3.76,2.13
7/18/2021 8:00,3.74,2.08
7/18/2021 8:15,3.72,2.06
7/18/2021 8:30,3.75,2.03
7/18/2021 8:45,3.72,2.01
7/18/2021 9:00,3.73,2.03
7/18/2021 9:15,3.7,2
7/18/2021 9:30,3.65,1.99
7/18/2021 9:45,3.7,2.01
7/18/2021 10:00,3.71,1.99
7/18/2021 10:15,3.71,2
7/18/2021 10:30,3.69,2
7/18/2021 10:45,3.7,2.03
7/18/2021 11:00,3.69,1.99
7/18/2021 11:15,3.71,1.99
7/18/2021 11:30,3.67,2.01
7/18/2021 11:45,3.62,1.98
7/18/2021 12:00,3.66,1.97
7/18/2021 12:15,3.65,1.95
7/18/2021 12:30,3.63,1.95
7/18/2021 12:45,3.97,2.15
7/18/2021 13:00,3.95,2.09
7/18/2021 13:15,3.98,2.13
7/18/2021 13:30,3.8,2.02
7/18/2021 13:45,3.76,1.96
7/18/2021 14:00,3.7,1.93
7/18/2021 14:15,3.71,1.9
7/18/2021 14:30,3.7,1.9
7/18/2021 14:45,3.7,1.88
7/18/2021 15:00,3.7,1.87
7/18/2021 15:15,3.7,1.88
7/18/2021 15:30,3.69,1.86
7/18/2021 15:45,3.67,1.86
7/18/2021 16:00,3.68,1.87
7/18/2021 16:15,3.69,1.86
7/18/2021 16:30,3.66,1.85
7/18/2021 16:45,3.7,1.88
7/18/2021 17:00,3.73,1.92
7/18/2021 17:15,3.71,1.92
7/18/2021 17:30,3.72,1.93
7/18/2021 17:45,3.72,1.91
7/18/2021 18:00,3.71,1.92
7/18/2021 18:15,3.71,1.9
7/18/2021 18:30,3.66,1.89
7/18/2021 18:45,3.69,1.87
7/18/2021 19:00,3.65,1.86
7/18/2021 19:15,3.61,1.85
7/18/2021 19:30,3.59,1.85
7/18/2021 19:45,3.59,1.85
7/18/2021 20:00,3.61,1.85
7/18/2021 20:15,3.58,1.83
7/18/2021 20:30,3.55,1.85
7/18/2021 20:45,3.6,1.84
7/18/2021 21:00,3.56,1.83
7/18/2021 21:15,3.58,1.84
7/18/2021 21:30,3.54,1.85
7/18/2021 21:45,3.56,1.85
7/18/2021 22:00,3.54,1.85
7/18/2021 22:15,3.56,1.82
7/18/2021 22:30,3.55,1.84
7/18/2021 22:45,3.54,1.83
7/18/2021 23:00,3.53,1.85
7/18/2021 23:15,3.51,1.82
7/18/2021 23:30,3.53,1.88
7/18/2021 23:45,3.52,1.82
7/19/2021 0:00,3.51,1.81
7/19/2021 0:15,3.54,1.82
7/19/2021 0:30,3.55,1.82
7/19/2021 0:45,3.53,1.81
7/19/2021 1:00,3.51,1.81
7/19/2021 1:15,3.48,1.8
7/19/2021 1:30,3.48,1.78
7/19/2021 1:45,3.52,1.79
7/19/2021 2:00,3.5,1.79
7/19/2021 2:15,3.5,1.79
7/19/2021 2:30,3.51,1.79
7/19/2021 2:45,3.52,1.78
7/19/2021 3:00,3.5,1.77
7/19/2021 3:15,3.48,1.78
7/19/2021 3:30,3.46,1.78
7/19/2021 3:45,3.46,1.76
7/19/2021 4:00,3.42,1.76
7/19/2021 4:15,3.4,1.78
7/19/2021 4:30,3.4,1.75
7/19/2021 4:45,3.39,1.75
7/19/2021 5:00,3.41,1.74
7/19/2021 5:15,3.42,1.75
7/19/2021 5:30,3.42,1.75
7/19/2021 5:45,3.42,1.81
7/19/2021 6:00,3.41,1.81
7/19/2021 6:15,3.41,1.8
7/19/2021 6:30,3.34,1.81
7/19/2021 6:45,3.38,1.79
7/19/2021 7:00,3.34,1.81
7/19/2021 7:15,3.32,1.8
7/19/2021 7:30,3.33,1.79
7/19/2021 7:45,3.33,1.77
7/19/2021 8:00,3.29,1.78
7/19/2021 8:15,3.29,1.76
7/19/2021 8:30,3.27,1.76
7/19/2021 8:45,3.28,1.76
7/19/2021 9:00,3.28,1.77
7/19/2021 9:15,3.3,1.76
7/19/2021 9:30,3.31,1.76
7/19/2021 9:45,3.24,1.76
7/19/2021 10:00,3.19,1.74
7/19/2021 10:15,3.25,1.75
7/19/2021 10:30,3.23,1.76
7/19/2021 10:45,3.25,1.76
7/19/2021 11:00,3.23,1.76
7/19/2021 11:15,3.23,1.74
