Date_Time,Q (L/s),SSC (mg/L)
4/18/2023 23:30,241.7357078,14.35076
4/18/2023 23:45,243.0025712,12.9887
4/19/2023 0:00,244.2750346,11.52777
4/19/2023 0:15,245.5531182,12.0715348
4/19/2023 0:30,246.8368422,13.25289
4/19/2023 0:45,248.1262268,14.69158
4/19/2023 1:00,249.4212925,15.6223
4/19/2023 1:15,250.7220596,14.53101
4/19/2023 1:30,252.0285486,11.52132
4/19/2023 1:45,253.3407799,12.64392
4/19/2023 2:00,254.6587741,13.39548
4/19/2023 2:15,255.9825519,12.1789
4/19/2023 2:30,257.312134,10.56592
4/19/2023 2:45,258.647541,12.96441
4/19/2023 3:00,259.9887937,11.75264
4/19/2023 3:15,261.335913,11.77776
4/19/2023 3:30,262.6889199,13.43927
4/19/2023 3:45,264.0478352,13.58363
4/19/2023 4:00,265.41268,12.67163
4/19/2023 4:15,266.7834754,13.60912
4/19/2023 4:30,268.1602425,14.18903
4/19/2023 4:45,269.5430025,11.60246
4/19/2023 5:00,270.9317766,11.45348
4/19/2023 5:15,272.3265863,12.5725
4/19/2023 5:30,273.7274527,13.49538
4/19/2023 5:45,275.1343975,11.57891
4/19/2023 6:00,276.547442,12.61011
4/19/2023 6:15,277.9666077,12.74916
4/19/2023 6:30,279.3919164,15.44199
4/19/2023 6:45,280.8233897,12.39657
4/19/2023 7:00,282.2610493,11.56346
4/19/2023 7:15,283.7049169,10.41706
4/19/2023 7:30,285.1550145,10.87595
4/19/2023 7:45,286.6113638,12.94453
4/19/2023 8:00,288.073987,11.762037
4/19/2023 8:15,289.5429059,12.91354
4/19/2023 8:30,291.0181427,10.35094
4/19/2023 8:45,292.4997196,12.86456
4/19/2023 9:00,293.9876586,11.97594
4/19/2023 9:15,295.4819821,12.07748
4/19/2023 9:30,296.9827125,12.71194
4/19/2023 9:45,298.4898719,10.66244
4/19/2023 10:00,300.0034831,10.9945
4/19/2023 10:15,301.5235683,10.671084
4/19/2023 10:30,303.0501502,12.13556
4/19/2023 10:45,304.5832514,11.54278
4/19/2023 11:00,306.1228945,13.68017
4/19/2023 11:15,307.6691024,11.86428
4/19/2023 11:30,309.2218979,11.49482
4/19/2023 11:45,310.7813037,12.27397
4/19/2023 12:00,312.3473429,11.72526
4/19/2023 12:15,313.9200383,9.118114
4/19/2023 12:30,315.4994132,10.6474
4/19/2023 12:45,317.0854905,13.24662
4/19/2023 13:00,318.6782935,10.18775
4/19/2023 13:15,320.2778454,11.3010746
4/19/2023 13:30,321.8841694,10.39665
4/19/2023 13:45,323.497289,12.24921
4/19/2023 14:00,325.1172276,10.94048492
4/19/2023 14:15,326.7440086,13.51507
4/19/2023 14:30,328.3776557,13.8273
4/19/2023 14:45,330.0181923,14.64869
4/19/2023 15:00,331.6656423,14.89854
4/19/2023 15:15,333.3200292,14.44467
4/19/2023 15:30,334.981377,12.88833
4/19/2023 15:45,336.6497095,15.86993
4/19/2023 16:00,338.3250506,13.66296
4/19/2023 16:15,321.3769997,19.69563
4/19/2023 16:30,356.0214644,18.695269
4/19/2023 16:45,328.068097,15.6608
4/19/2023 17:00,328.068097,18.1011325
4/19/2023 17:15,328.068097,13.37035
4/19/2023 17:30,373.7388848,16.48586
4/19/2023 17:45,345.3123321,14.9134
4/19/2023 18:00,338.3250506,14.16259
4/19/2023 18:15,345.3123321,14.98332
4/19/2023 18:30,345.3123321,17.92048
4/19/2023 18:45,308.3398783,20.44633
4/19/2023 19:00,286.5983936,13.68757
4/19/2023 19:15,277.6850501,14.36804
4/19/2023 19:30,292.6738119,14.642107
4/19/2023 19:45,277.6850501,12.10333
4/19/2023 20:00,260.558735,10.3300365
4/19/2023 20:15,260.558735,11.66101
4/19/2023 20:30,292.6738119,12.35183
4/19/2023 20:45,292.6738119,12.88895
4/19/2023 21:00,260.558735,11.03726
4/19/2023 21:15,274.7664443,12.14594
4/19/2023 21:30,292.6738119,17.58235
4/19/2023 21:45,298.8575913,11.34906
4/19/2023 22:00,269.0068583,14.040305
4/19/2023 22:15,266.1655026,12.67904
4/19/2023 22:30,283.6008338,9.484927
4/19/2023 22:45,283.6008338,10.39789
4/19/2023 23:00,283.6008338,12.08465
4/19/2023 23:15,289.6226551,11.69962
4/19/2023 23:30,324.7079995,11.08269
4/19/2023 23:45,274.7664443,11.40692
4/20/2023 0:00,266.1655026,12.36754
4/20/2023 0:15,280.6297831,10.55929
4/20/2023 0:30,257.7929539,10.53131
4/20/2023 0:45,274.7664443,13.71374
4/20/2023 1:00,260.558735,10.59522
4/20/2023 1:15,260.558735,9.604936
4/20/2023 1:30,274.7664443,11.20587
4/20/2023 1:45,289.6226551,10.37939
4/20/2023 2:00,260.558735,10.3536
4/20/2023 2:15,280.6297831,12.67062
4/20/2023 2:30,266.1655026,9.83317
4/20/2023 2:45,266.1655026,11.62924
4/20/2023 3:00,274.7664443,10.51904
4/20/2023 3:15,260.558735,9.663509
4/20/2023 3:30,274.7664443,10.88853
4/20/2023 3:45,280.6297831,9.667344
4/20/2023 4:00,283.6008338,10.98657
4/20/2023 4:15,271.8737765,12.36356
4/20/2023 4:30,295.7520587,11.33566
4/20/2023 4:45,274.7664443,8.974212
4/20/2023 5:00,280.6297831,8.971931
4/20/2023 5:15,280.6297831,11.53397
4/20/2023 5:30,283.6008338,14.07357
4/20/2023 5:45,289.6226551,10.08519
4/20/2023 6:00,280.6297831,9.222273
4/20/2023 6:15,266.1655026,11.15844
4/20/2023 6:30,280.6297831,11.48116
4/20/2023 6:45,274.7664443,12.16239
4/20/2023 7:00,249.6438286,11.83926
4/20/2023 7:15,230.9684337,10.82301
4/20/2023 7:30,249.6438286,10.71728
4/20/2023 7:45,236.0335857,10.44731
4/20/2023 8:00,244.3327864,9.492565
4/20/2023 8:15,230.9684337,12.72536
4/20/2023 8:30,236.0335857,11.40944
4/20/2023 8:45,257.7929539,9.806915
4/20/2023 9:00,216.3199058,11.03762
4/20/2023 9:15,257.7929539,17.29832
4/20/2023 9:30,236.0335857,9.880679
4/20/2023 9:45,223.5428987,9.940598
4/20/2023 10:00,249.6438286,12.39051
4/20/2023 10:15,204.7194164,11.35758
4/20/2023 10:30,236.0335857,9.385557
4/20/2023 10:45,223.5428987,10.7190062
4/20/2023 11:00,223.5428987,12.34977
4/20/2023 11:15,211.6148615,9.545843
4/20/2023 11:30,228.4704679,9.696771
4/20/2023 11:45,197.5742996,9.994664
4/20/2023 12:00,211.6148615,12.00313
4/20/2023 12:15,199.7841662,11.06413
4/20/2023 12:30,218.7053465,10.8603
4/20/2023 12:45,244.3327864,9.856044
4/20/2023 13:00,223.5428987,10.50243
4/20/2023 13:15,236.0335857,9.311099
4/20/2023 13:30,204.7194164,12.27771
