Date_Time,Turbidity,SS (uL/L)
2021-07-23 14:54:00,8.208,92.06
2021-07-23 15:02:00,12.808,95.69
2021-07-23 16:13:00,122.774,403.515
2021-07-23 16:58:00,42.612,124.04
2021-07-23 17:58:00,21.154,65.3
2021-07-23 20:13:00,10.37,42.87
2023-04-17 20:30:00,19.4856810627674,65.48
2023-04-18 00:30:00,14.095208666666666,73.68
2023-04-18 04:30:00,12.81633,48.9
2023-04-18 16:30:00,28.755143333333336,93.48
2023-04-18 21:30:00,17.720414,53.79
2023-04-19 02:30:00,10.725819333333334,47.58
2023-04-19 07:30:00,11.013855333333334,30.72
2023-04-19 22:30:00,9.5457912,22.36
2023-04-20 03:30:00,10.8071176,30.83
2023-04-20 23:30:00,13.855930533333334,24.91
2023-04-21 19:30:00,11.7388058,67.13
2023-04-22 05:30:00,7.8816796,51.68
2023-04-22 15:30:00,9.912716266666665,57.56
2023-04-22 20:30:00,9.937147333333334,63.54
2023-04-24 02:00:00,7.851839466666666,66.59
2023-04-24 12:00:00,6.42191136,46.75
2023-04-24 17:00:00,13.038916666666667,27.12
2023-04-24 22:00:00,9.265761653333332,14.59
2023-04-28 16:00:00,9.838444733333334,56.02
2023-04-30 13:00:00,9.533501600000001,43.66
2023-04-30 18:00:00,40.720068000000005,85.5
2023-05-01 20:00:00,20.458221333333334,64.14
2023-05-03 14:00:00,8.336210719999999,39.62
2023-05-03 20:00:00,22.230606,87.1
2023-05-04 02:00:00,14.879064666666666,26.28
2023-05-04 11:00:00,8.226424733333333,35.26
2023-05-04 17:00:00,16.444678666666668,72.78
2023-05-04 20:00:00,12.699106666666667,25.16
2023-05-04 23:00:00,7.8931116,15.19
2023-05-05 02:00:00,9.645353933333334,99.54
2023-05-05 08:00:00,8.082387666666667,40.12
2023-05-05 11:00:00,6.537635133333334,25.61
2023-05-05 17:00:00,8.335143266666668,30.82
2023-07-29 15:16:00,37.516,327.453
2023-07-29 15:31:00,36.156,241.809
2023-07-29 15:46:00,29.958000000000002,158.525
2023-07-29 16:01:00,22.630000000000003,132.472
2023-07-29 16:16:00,18.118000000000002,98.91
2023-07-29 16:31:00,15.154,90.357
2023-07-29 16:46:00,13.312,84.562
2023-07-29 17:01:00,12.086,69.045
2023-07-29 17:16:00,11.456,59.01
2023-07-29 17:31:00,11.622,50.82
2023-07-29 17:46:00,10.780000000000001,42.72
2023-07-29 18:01:00,10.064,48.345
2023-07-29 18:16:00,9.498000000000001,74.882
2023-07-29 18:31:00,11.886,98.146
2023-07-29 18:46:00,17.002000000000002,91.214
2023-07-29 19:01:00,15.623999999999999,74.508
2023-07-29 19:16:00,21.96,81.948
2023-07-29 19:31:00,14.586,52.01
2023-07-29 19:46:00,15.59,52.247
2023-07-29 20:01:00,13.443999999999999,48.755
2023-07-29 20:16:00,14.046,48.024
2023-07-29 20:31:00,11.796,44.088
2023-07-29 21:01:00,8.746,37.737
2023-08-13 18:45:00,4.74,183.808
2023-08-13 19:00:00,4.74,83.528
2023-08-13 19:15:00,4.74,72.105
2023-08-13 19:30:00,4.74,67.607
2023-08-13 19:45:00,4.74,70.3
2023-08-13 20:00:00,4.74,67.88
2023-08-13 20:15:00,4.74,84.66
2023-08-13 20:30:00,4.74,67.57
2023-08-13 20:45:00,4.74,54.936
2023-08-13 21:00:00,4.74,75.338
2023-08-13 21:15:00,4.74,59.166
2023-08-13 21:30:00,4.74,50.774
2023-08-28 12:20:00,2.456603475513428,232.052
2023-08-28 12:35:00,2.4563665086887836,143.896
2023-08-28 12:50:00,2.456129541864139,104.006
2023-08-28 13:05:00,2.4558925750394947,88.144
2023-08-28 13:20:00,2.4556556082148497,92.256
2023-08-28 13:35:00,2.4554186413902053,87.688
2023-08-28 13:50:00,2.455181674565561,95.622
2023-08-28 14:05:00,2.4549447077409163,82.494
2023-08-28 14:20:00,2.454707740916272,77.09
2023-08-28 14:35:00,2.454470774091627,69.395
2023-08-28 14:50:00,2.4542338072669825,65.814
2023-08-28 15:05:00,2.453996840442338,79.97
2023-09-14 17:45:00,12.23,95.963
2023-09-14 18:00:00,14.09,80.18
2023-09-14 18:15:00,13.07,70.51
2023-09-14 18:30:00,11.86,48.22
2023-09-14 18:45:00,10.54,64.437
2023-09-14 19:00:00,9.42,48.583
2023-09-14 19:15:00,8.47,46.07
2023-09-14 19:30:00,7.82,41.417
2023-09-14 19:45:00,7.18,39.3
