,05/04/23 12:15:00,05/04/23 12:30:00,05/04/23 12:45:00,05/04/23 13:00:00,05/04/23 13:15:00,05/04/23 13:30:00,05/04/23 13:45:00,05/04/23 14:00:00,05/04/23 14:15:00,05/04/23 14:30:00,05/04/23 14:45:00,05/04/23 15:00:00,05/04/23 15:15:00,05/04/23 15:30:00,05/04/23 15:45:00,05/04/23 16:00:00,05/04/23 16:15:00,05/04/23 16:30:00,05/04/23 16:45:00,05/04/23 17:00:00,05/04/23 17:15:00,05/04/23 17:30:00,05/04/23 17:45:00,05/04/23 18:00:00,05/04/23 18:15:00,05/04/23 18:30:00,05/04/23 18:45:00,05/04/23 19:00:00,05/04/23 19:15:00,05/04/23 19:30:00,05/04/23 19:45:00,05/04/23 20:00:00,05/04/23 20:15:00,05/04/23 20:30:00,05/04/23 20:45:00,05/04/23 21:00:00,05/04/23 21:15:00,05/04/23 21:30:00,05/04/23 21:45:00,05/04/23 22:00:00,05/04/23 22:15:00,05/04/23 22:30:00,05/04/23 22:45:00,05/04/23 23:00:00,05/04/23 23:15:00,05/04/23 23:30:00,05/04/23 23:45:00,05/05/23 00:00:00,05/05/23 00:15:00,05/05/23 00:30:00,05/05/23 00:45:00,05/05/23 01:00:00,05/05/23 01:15:00,05/05/23 01:30:00,05/05/23 01:45:00,05/05/23 02:00:00,05/05/23 02:15:00,05/05/23 02:30:00,05/05/23 02:45:00,05/05/23 03:00:00,05/05/23 03:15:00,05/05/23 03:30:00,05/05/23 03:45:00,05/05/23 04:00:00,05/05/23 04:15:00,05/05/23 04:30:00,05/05/23 04:45:00,05/05/23 05:00:00,05/05/23 05:15:00,05/05/23 05:30:00,05/05/23 05:45:00,05/05/23 06:00:00,05/05/23 06:15:00,05/05/23 06:30:00,05/05/23 06:45:00,05/05/23 07:00:00,05/05/23 07:15:00,05/05/23 07:30:00,05/05/23 07:45:00,05/05/23 08:00:00,05/05/23 08:15:00,05/05/23 08:30:00,05/05/23 08:45:00,05/05/23 09:00:00,05/05/23 09:15:00,05/05/23 09:30:00,05/05/23 09:45:00,05/05/23 10:00:00,05/05/23 10:15:00,05/05/23 10:30:00,05/05/23 10:45:00,05/05/23 11:00:00,05/05/23 11:15:00,05/05/23 11:30:00,05/05/23 11:45:00,05/05/23 12:00:00,05/05/23 12:15:00,05/05/23 12:30:00,05/05/23 12:45:00,05/05/23 13:00:00,05/05/23 13:15:00,05/05/23 13:30:00,05/05/23 13:45:00,05/05/23 14:00:00,05/05/23 14:15:00,05/05/23 14:30:00,05/05/23 14:45:00,05/05/23 15:00:00,05/05/23 15:15:00,05/05/23 15:30:00,05/05/23 15:45:00,05/05/23 16:00:00,05/05/23 16:15:00,05/05/23 16:30:00,05/05/23 16:45:00,05/05/23 17:00:00,05/05/23 17:15:00,05/05/23 17:30:00,05/05/23 17:45:00
max_amp,0.09041726328107448,0.10794616004917261,0.09079149785096668,0.093448856240915,0.09606247679213814,0.08657905858732588,0.08901782853034944,0.09403745355688342,0.08937457100046342,0.09267157539670551,0.09031441724279035,0.08947889819736693,0.09134691682392357,0.09085095414815114,0.08936870426680045,0.09737163775664374,0.08962857308239147,0.09525814234779038,0.09055286620656179,0.10160286160528431,0.09485719783226466,0.0923669590326701,0.09356021459610009,0.09546110220831758,0.09243455858997165,0.09092545565781736,0.09835789096390161,0.0817298496880694,0.08420888501319698,0.0853755012254276,0.09354340111581143,0.08842692901270977,0.08829314398275681,0.0897158708562915,0.08420190869973933,0.08015505299008852,0.0822994625012316,0.08558265725460168,0.08737831341697086,0.07794126093804427,0.08876903604540683,0.07807290206134108,0.07692498454103691,0.08039756619864127,0.07901415256500671,0.07812725526818683,0.08618938770050347,0.08536238361125602,0.09167733932799096,0.07800332769137526,0.07652567870284258,0.08483297838125729,0.0801485698246578,0.08213284796343552,0.08525810511094367,0.08182729897018426,0.08215361403198734,0.08995771138456331,0.08457347851959589,0.08920400477422073,0.0874611201744151,0.07928171907032591,0.08164998362331348,0.09032533352708434,0.07995424118957187,0.08760814441343119,0.07778610386996677,0.08071482313413751,0.08271437077555521,0.08825509121644903,0.08144970877259931,0.08751414784244305,0.08150164826041438,0.08502659562589693,0.08612231961995298,0.07933478772290338,0.08428190005085272,0.08807545471451132,0.08692677657483719,0.09635439229742686,0.1034960221501466,0.09666492811816171,0.09065397826879486,0.09478499557831299,0.10638750016413398,0.10696231318849396,0.08890251663589675,0.09130736202880774,0.10694611274158002,0.09185433340070845,0.1005154295104977,0.09736475352313907,0.09292732772313961,0.10403863509563174,0.1076981002098277,0.1133568839212845,0.13438043402341118,0.11428642601559558,0.0930303080607584,0.08531220357315591,0.08347011081257465,0.09725607781495076,0.0873261727610788,0.08467776832480141,0.08599345410946191,0.09374950202817842,0.09530834975207426,0.10155658470290982,0.09562956710309348,0.09913130362341226,0.08879218776493812,0.08697930911838453,0.09780264686741567,0.08698806171386121,0.09824943811700688,0.08842907786533331,0.09374317424915268,0.0867279027132942,0.29253796197830795
mean_amp,0.07358615628122542,0.07466323397150429,0.0722156726699856,0.07245894299870638,0.07349496813735115,0.0696539494069182,0.06905739550673232,0.07384111157015123,0.0749137047629452,0.07170412472757774,0.07146926630038333,0.07257955597354276,0.07100554293598024,0.07284278211517393,0.07197203312265484,0.07528968841692874,0.07267355074227165,0.07487232833891301,0.07433363156571281,0.07269192360902972,0.07392870153035545,0.0731384191865264,0.07320101341290296,0.07391561353729856,0.07481666673398588,0.07526861041243459,0.07506836219640732,0.07049439733726094,0.06807794654605372,0.06893526095229971,0.06876304998617751,0.06776606612585805,0.06934442580635726,0.06760184487823549,0.06766367106416094,0.06823158992803759,0.06753122617905083,0.06638363341621377,0.06807470839494471,0.06715195274099932,0.06854671999272996,0.0643106700723171,0.06259475671863364,0.06413140417980186,0.06337962324646078,0.06410948855626847,0.06405650468890352,0.06589510064207685,0.06622552892476838,0.06512128255922854,0.063650094688256,0.06589782703050995,0.06537610927239403,0.0651428360208447,0.0649344968771071,0.06635770464132719,0.06526438044815216,0.06768080642712318,0.06626780669586148,0.06674486405258032,0.06594303175904342,0.06588792512306663,0.06593093731810536,0.06701621349783513,0.06638032851863894,0.06664719445037227,0.06650584829262435,0.06724849302751358,0.06614760128698659,0.06708550696534932,0.06524479563476783,0.06654191213790896,0.06623610237838083,0.06872696258993068,0.06655451021993412,0.06555984742169554,0.06523676676133797,0.0665731106260529,0.06737177508334644,0.0685969737015772,0.07214066473842835,0.067985982953838,0.06920583276360252,0.07038106054738495,0.0753108252338699,0.0725605033802084,0.07216595991318157,0.07098117038692443,0.07491281282867356,0.07400884054199443,0.07528088471522792,0.07511898106068852,0.0768451277473393,0.07779847911383132,0.07762200256604289,0.08368699356443271,0.08386743123055003,0.08416104773986641,0.07235502364226196,0.07060015070145162,0.06998856142453366,0.07436717885756898,0.0720463145683526,0.07164435561099151,0.07299554675164853,0.0727508579382239,0.07436518778830739,0.0742534956443286,0.07580640893484061,0.07648155838989892,0.07321069454154028,0.07045799922788727,0.07401134980784771,0.07342477230215887,0.07231777663548085,0.07244766761649932,0.07195137020560759,0.06906143244744396,0.09221490346947335
median_amp,0.07338328001958977,0.07182079071750136,0.07278905238068403,0.07218275135052568,0.0735310110075611,0.06954088006079377,0.06851737971959895,0.07398502607837595,0.07501153200243074,0.07132901837858795,0.07077938033484582,0.07085709036669288,0.07021450118299202,0.07217128998221632,0.0716879603284716,0.07484912900686289,0.07214525291744314,0.07471602913877279,0.07412889613429191,0.07231797676538015,0.07321230210972947,0.07243222651064515,0.07178363769001869,0.07353429912911025,0.07323688019915961,0.07519025954627889,0.07455620284752945,0.07143825575654388,0.06762744272900179,0.06876496115676237,0.06752538018982625,0.06744974276755532,0.06915602162595227,0.06739154462929575,0.06786381117533058,0.06827626423898941,0.06794588963556875,0.0656765344124553,0.06711907840575576,0.06734601064638174,0.0683928604873746,0.06467750485274418,0.06303738804906003,0.0636047695867828,0.06244690998919424,0.06428467550029401,0.0636584853686102,0.06586966000386346,0.06562276406296635,0.06486454124497097,0.0632968609201785,0.06628585460005831,0.06452693264528381,0.06544196917755209,0.06420610521107392,0.06618533302201282,0.06576846194759138,0.06685142402940181,0.06569110197091729,0.06616537269576532,0.06446225782779544,0.06593205169272165,0.0649431861413502,0.06632583824389846,0.06662721714348097,0.06504162240511167,0.06675216896405842,0.06785953595296593,0.06548820283144743,0.06622170340619479,0.06483138740720201,0.06571292984864913,0.06455558840020068,0.06852848683706556,0.0650324741316601,0.06555755531284965,0.0647614226284455,0.06500040365971912,0.06748907343124479,0.06804673740979172,0.0712474424950213,0.06654498983333454,0.0680323062772608,0.06869598585864217,0.07420564187516449,0.07016868196736793,0.07082941640303925,0.07034152254037829,0.0729028104747467,0.0720931394562061,0.07342674927821909,0.07279867586074926,0.07569364598918102,0.07728977050859126,0.07708632141489091,0.08330192779696925,0.08363248283463633,0.08406840677715671,0.07180625191111467,0.07014214064765673,0.07060250024662319,0.07440184724605056,0.07249030842142726,0.07219578895437256,0.07356665969069973,0.07185491240192446,0.0724923489444026,0.07354902529974822,0.07614932968352453,0.07647018554853457,0.0733802226105772,0.06968020383539968,0.07267930413597926,0.07263150941130808,0.0718962774410923,0.07170516150521625,0.07064164738050328,0.06801497689120603,0.08170104547442822
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
impulses_ch5,34,29,30,46,49,29,27,22,30,37,32,30,21,37,34,36,35,52,32,38,42,37,46,44,49,43,52,34,29,35,32,45,35,42,36,32,34,39,38,46,32,28,19,26,21,18,24,37,32,31,12,38,15,29,17,34,21,29,27,31,18,18,26,41,16,20,33,26,31,27,27,28,33,35,25,21,18,20,33,27,44,41,34,40,41,57,42,50,48,66,41,50,78,55,64,75,100,99,33,39,37,39,42,38,35,42,42,53,62,55,45,33,52,37,48,52,39,33,212
impulses_ch4,4405,4589,4297,4281,4551,4006,4013,4634,4693,4201,4108,4245,4097,4234,4180,4635,4264,4369,4457,4317,4478,4411,4384,4310,4468,4674,4391,3893,3736,3714,3647,3479,3871,3530,3689,3798,3602,3558,3698,3477,3786,3285,3162,3276,3138,3305,3319,3457,3456,3310,3228,3409,3494,3413,3495,3537,3453,3781,3654,3669,3570,3583,3533,3617,3684,3623,3577,3751,3589,3674,3420,3725,3666,4042,3804,3630,3532,3646,3866,3929,4323,3923,3871,4035,4716,4271,4241,4004,4568,4375,4828,4715,4855,5028,5151,5642,5644,5496,4561,4405,4347,4952,4521,4575,4657,4652,4848,4767,4970,5242,4500,4127,4646,4593,4383,4484,4318,3909,6269
impulses_ch3,12544,12290,12621,12732,12621,12792,12976,12466,12317,12585,12500,12534,12434,12160,12370,11963,12171,12095,11961,12328,12184,12381,12396,12084,11870,11874,12045,12239,12563,12440,12582,12517,12528,12789,12694,12743,12969,12826,12576,12854,12553,12988,13384,13143,13308,13030,12969,13090,12863,12995,13103,13076,13021,13130,13208,13265,13324,13116,12989,13052,13081,13173,13136,13323,13140,13265,13229,12890,13174,13321,13269,13256,13292,13173,13135,13330,13399,13333,13447,13233,12840,13189,13072,13099,12606,12728,12814,12675,12618,12598,12376,12475,12347,12148,12372,11499,11486,11663,13040,13241,13485,12900,12966,13104,12866,13012,12781,12749,12525,12478,12547,12831,12680,12748,12607,12795,12709,13002,12233
impulses_ch2,4097,4021,4179,4142,4160,4320,4311,4040,4048,4169,4164,4036,4079,4152,4042,3892,3910,3885,3934,4082,3983,4002,4034,4042,3857,3698,3890,4316,4399,4432,4426,4533,4355,4570,4428,4351,4474,4573,4425,4530,4406,4653,4862,4767,4856,4667,4667,4567,4519,4510,4691,4477,4556,4655,4623,4557,4645,4512,4531,4358,4576,4606,4530,4675,4481,4628,4589,4365,4658,4624,4670,4377,4553,4458,4454,4648,4650,4613,4527,4539,4425,4511,4448,4393,4141,4304,4331,4362,4137,4161,3962,4218,3891,3829,4046,3656,3586,3720,4336,4289,4451,4138,4346,4402,4182,4306,4157,4113,4035,4009,4050,4341,4038,4245,4150,4300,4354,4383,3827
impulses_ch1,1025,942,1017,997,1021,1072,1010,971,977,987,1038,985,1011,1023,935,898,931,956,984,979,959,979,1003,973,968,949,946,1076,1093,1077,1099,1161,1038,1113,1044,1081,1111,1086,1076,1080,1049,1154,1228,1212,1141,1146,1080,1127,1062,1129,1142,1038,1091,1181,1122,1087,1149,1064,1096,1061,1156,1123,1147,1161,1127,1071,1070,1125,1152,1137,1104,1050,1095,1083,1076,1149,1160,1109,1132,1078,1129,1027,1064,1045,1017,1064,1026,1117,982,1004,932,987,947,919,1007,937,803,840,1076,1051,1066,992,1031,1090,988,992,948,997,994,937,994,1043,1010,992,1002,1030,1058,1084,874
max_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0928691487376092,0.0,0.0,0.0,0.08623473089512894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29253796197830795
