,05/03/23 06:00:00,05/03/23 06:15:00,05/03/23 06:30:00,05/03/23 06:45:00,05/03/23 07:00:00,05/03/23 07:15:00,05/03/23 07:30:00,05/03/23 07:45:00,05/03/23 08:00:00,05/03/23 08:15:00,05/03/23 08:30:00,05/03/23 08:45:00,05/03/23 09:00:00,05/03/23 09:15:00,05/03/23 09:30:00,05/03/23 09:45:00,05/03/23 10:00:00,05/03/23 10:15:00,05/03/23 10:30:00,05/03/23 10:45:00,05/03/23 11:00:00,05/03/23 11:15:00,05/03/23 11:30:00,05/03/23 11:45:00,05/03/23 12:00:00,05/03/23 12:15:00,05/03/23 12:30:00,05/03/23 12:45:00,05/03/23 13:00:00,05/03/23 13:15:00,05/03/23 13:30:00,05/03/23 13:45:00,05/03/23 14:00:00,05/03/23 14:15:00,05/03/23 14:30:00,05/03/23 14:45:00,05/03/23 15:00:00,05/03/23 15:15:00,05/03/23 15:30:00,05/03/23 15:45:00,05/03/23 16:00:00,05/03/23 16:15:00,05/03/23 16:30:00,05/03/23 16:45:00,05/03/23 17:00:00,05/03/23 17:15:00,05/03/23 17:30:00,05/03/23 17:45:00,05/03/23 18:00:00,05/03/23 18:15:00,05/03/23 18:30:00,05/03/23 18:45:00,05/03/23 19:00:00,05/03/23 19:15:00,05/03/23 19:30:00,05/03/23 19:45:00,05/03/23 20:00:00,05/03/23 20:15:00,05/03/23 20:30:00,05/03/23 20:45:00,05/03/23 21:00:00,05/03/23 21:15:00,05/03/23 21:30:00,05/03/23 21:45:00,05/03/23 22:00:00,05/03/23 22:15:00,05/03/23 22:30:00,05/03/23 22:45:00,05/03/23 23:00:00,05/03/23 23:15:00,05/03/23 23:30:00,05/03/23 23:45:00,05/04/23 00:00:00,05/04/23 00:15:00,05/04/23 00:30:00,05/04/23 00:45:00,05/04/23 01:00:00,05/04/23 01:15:00,05/04/23 01:30:00,05/04/23 01:45:00,05/04/23 02:00:00,05/04/23 02:15:00,05/04/23 02:30:00,05/04/23 02:45:00,05/04/23 03:00:00,05/04/23 03:15:00,05/04/23 03:30:00,05/04/23 03:45:00,05/04/23 04:00:00,05/04/23 04:15:00,05/04/23 04:30:00,05/04/23 04:45:00,05/04/23 05:00:00,05/04/23 05:15:00,05/04/23 05:30:00,05/04/23 05:45:00,05/04/23 06:00:00,05/04/23 06:15:00,05/04/23 06:30:00,05/04/23 06:45:00,05/04/23 07:00:00,05/04/23 07:15:00,05/04/23 07:30:00,05/04/23 07:45:00,05/04/23 08:00:00,05/04/23 08:15:00,05/04/23 08:30:00,05/04/23 08:45:00,05/04/23 09:00:00,05/04/23 09:15:00,05/04/23 09:30:00,05/04/23 09:45:00,05/04/23 10:00:00,05/04/23 10:15:00,05/04/23 10:30:00,05/04/23 10:45:00,05/04/23 11:00:00,05/04/23 11:15:00,05/04/23 11:30:00,05/04/23 11:45:00,05/04/23 12:00:00
max_amp,0.029960694842799215,0.035885456546612716,0.03108424722350944,0.03016101585815477,0.03294132256111255,0.03140727026226884,0.03022222310609277,0.0324485272868596,0.0304813914561113,0.030552664236223,0.031220657079788553,0.031140920870023674,0.03270881764185802,0.029238917878483,0.031344164307657255,0.02954153810820507,0.033986498531051006,0.03189546914475895,0.03012995247042336,0.03108761582149205,0.03074048579136572,0.029773411506068256,0.0274106243200246,0.030461507872067452,0.032534236129941684,0.030412420713304175,0.031039443019692112,0.031785608229113554,0.031041473248845833,0.033962277279710275,0.032509355361427954,0.03306929710170924,0.03317720764087033,0.03513896948524899,0.035127544457337866,0.03650548627054171,0.03645171732737559,0.03598263699722082,0.039406552442094255,0.036988797592521994,0.037413065288139744,0.03821172636362365,0.08647191601817522,0.10148384406919961,0.09826677481953983,0.11632442167154118,0.0974840187507844,0.09160653376178106,0.10442871259376496,0.09753398999382275,0.10534322740785461,0.09444041473768272,0.09929199244553823,0.10946800798415819,0.09793571600702666,0.09581634064683074,0.09864843504362682,0.09605280207941673,0.09309757730958813,0.09248054502601101,0.10607338747477249,0.09592214171042507,0.08682977533514377,0.10483621117073406,0.0934916471347851,0.09486758696893977,0.09539167929961218,0.09173399024841147,0.09513030436179117,0.09623533159425599,0.1005873232490191,0.10163038904430077,0.09031876331439626,0.09186775759414141,0.08674702286234216,0.10310065359857112,0.08723346747034375,0.08607593835223015,0.09888686946248401,0.10253783350431764,0.09345597266645084,0.08832750259572665,0.0860992872761121,0.09574027703830729,0.0984342531566058,0.08981566846859255,0.09133208642119549,0.08944515194198317,0.08218232092999045,0.08776832762340786,0.1082647839297567,0.09580692376587929,0.10742198420841534,0.08222180930029158,0.08138867050426006,0.09053181594828694,0.08659356994497754,0.09745042960222802,0.08220419289026709,0.10109577456275438,0.10112879961150634,0.08700475160033133,0.0904284737475368,0.09063088650039601,0.08198296368433046,0.10840110276242815,0.09012302110823057,0.09162306207923634,0.09826779720427488,0.10355345934535447,0.11361454565777329,0.10623205738513221,0.12891581735454488,0.1081024183899669,0.09470492785307155,0.11316707327018898,0.10493819136928785,0.11162682553245687,0.1025746239684252,0.10185742469047426,0.12005836434482295
mean_amp,0.025720845374252583,0.02604242559194226,0.02655897850535184,0.02646871944608727,0.026609076740635593,0.026152798980578307,0.02593198969453529,0.02530689683053035,0.025801482406825803,0.02515592331556491,0.024947458511949613,0.02546731334039282,0.025065877625334302,0.025530773582083745,0.02512280680371324,0.0254068925760073,0.024834149109495943,0.024606847376694982,0.024519354595611588,0.0248638397878221,0.024914584961731857,0.025084584181894836,0.02361645288221859,0.02464665304843929,0.025205522176244506,0.025538621433698835,0.0263032901780067,0.025979438725008987,0.027016220798072248,0.02697071456969215,0.027301270689561896,0.027434660600724605,0.026806933707021297,0.02845691335111461,0.029044932196386177,0.029877507179241043,0.031209618733896084,0.031120393735650752,0.03111554998545387,0.03195630756707872,0.03187776645782061,0.03254599571622676,0.05029795692188888,0.08241403010586597,0.076873459867293,0.08105445640950329,0.07665298104944146,0.07854849104340791,0.07901575936216561,0.08016002419347092,0.08084467646492678,0.0771380901654413,0.08030604341378207,0.08226571425445085,0.07804225550392443,0.07744564993671076,0.07482852250297767,0.0743523315191639,0.07479616292505449,0.07709744558520765,0.07347768479138324,0.07749745836598142,0.0742302382756916,0.07764072291367506,0.07655344188257314,0.07801037401380345,0.07449015320901663,0.07267973296935488,0.07294043679426977,0.07455278233715354,0.07371562647099901,0.07367589636247493,0.07251440548565917,0.07433515773821056,0.07209997511083,0.07320011323873286,0.0712619683441644,0.07172209243803271,0.0698300480081561,0.07101837909873171,0.07058024161079023,0.06936754630930404,0.06906167515037757,0.07056818401572358,0.07102025472261883,0.07033306786872882,0.06974962888812843,0.06887768101634008,0.06878154067795306,0.07068432619239871,0.07009672334584269,0.07029266464767564,0.06845893225420402,0.067992224943572,0.06791102900937535,0.06788603426189001,0.06825026178929515,0.06810543717985736,0.06637146029733616,0.06823273811964639,0.06995517656191158,0.06882656570940843,0.06909369644783729,0.06791748919289757,0.06797467011280088,0.06895542444561234,0.06925321113869662,0.0691516150757112,0.07017073858377636,0.07041624507036673,0.06906455812499797,0.07065681481699443,0.07299575994369971,0.07015942347045183,0.06998284581262451,0.07055540238315432,0.06818481565429685,0.07360975344403424,0.07487209961256726,0.07712588828827972,0.07338758376767572
median_amp,0.025529247162636035,0.025819745835638064,0.026186142931479493,0.02639402590105612,0.02643058590905674,0.025744109976217337,0.02572248716764844,0.025002270910249126,0.025558468089608342,0.024910655785124552,0.024682324274149417,0.025434573985582274,0.024936186929496885,0.025405691840407692,0.025050522083035973,0.025295309896138794,0.0247043448701071,0.02451555463172376,0.024267038950402102,0.024027567739841167,0.024345492517288965,0.025104780113576863,0.023652971389966138,0.024677765144571484,0.02512700423564586,0.025396550878874564,0.02595571318532531,0.02561379853965553,0.027320489488084493,0.026646751286976817,0.02698709922575052,0.027459654118497004,0.02630848672747613,0.028403781301930837,0.028781086279493766,0.02990758667689345,0.03082138178225905,0.030769533224408688,0.03083885592959794,0.03170771656314632,0.03190571475865281,0.03258650438593845,0.048244853897056364,0.0792878472565649,0.07675365453198635,0.07993791267016068,0.07515750237351454,0.07875600410329858,0.07869572133351997,0.07961681572048473,0.07998974104220388,0.07606574131441107,0.07979819312531372,0.08145320770121894,0.07920248996455992,0.0767885554287379,0.07465537979603076,0.07380813557774737,0.0751905646892393,0.0777412404739985,0.07214320513504746,0.07651264441883311,0.07437947515765972,0.07643531142808536,0.0756946114727949,0.07728902443050173,0.07302841023990495,0.07191340357971793,0.07210559662911487,0.07389149127606998,0.07304495737826482,0.0723866486592891,0.07178411509063584,0.0738326555540823,0.07173895192369585,0.07294785382335751,0.07108209041113539,0.07114614947475775,0.06924979496780986,0.0695896258341189,0.06855587509658899,0.06925938998832218,0.06892754530588271,0.07010779882842895,0.06917944960344297,0.06914035752813368,0.06869840297123898,0.06839649721084254,0.06863510304401207,0.07019137907354293,0.06977340275375009,0.07057036981853942,0.06716021559976708,0.06706590496388859,0.0683849427644412,0.06619052905235766,0.06763981243283718,0.06661468158799194,0.06684228430129033,0.06573160205709369,0.06796907862723162,0.0678786285249555,0.06811292417729833,0.06672492842331006,0.06679749834680732,0.06749067429572989,0.06802044496562376,0.0691653174233865,0.06937141981099507,0.06877411016826077,0.06809595300655641,0.06886208986142664,0.07137364934075602,0.06912389833714466,0.06870662438853975,0.06789031932359652,0.06683781842722568,0.07156338938298751,0.07333964559860146,0.07593806130099112,0.0704274294078574
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,2,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,89,57,40,64,33,37,44,47,50,37,44,44,29,42,40,39,25,54,34,44,25,51,30,36,37,30,43,40,26,21,36,38,31,29,33,31,23,46,26,31,23,22,31,38,32,25,20,20,19,24,26,19,30,21,30,26,18,38,41,30,34,26,24,26,21,36,29,38,31,36,56,42,30,51,27,38,42,51,43
impulses_ch4,97,105,109,115,143,90,95,117,100,103,108,113,121,111,94,80,99,97,86,80,102,85,69,75,72,88,111,120,113,106,96,88,79,106,108,95,178,121,131,124,117,145,1085,5469,4525,5168,4609,5007,5091,5162,5096,4550,5139,5347,4773,4865,4519,4250,4419,4550,4289,4811,4376,4711,4746,4895,4473,4270,4274,4424,4432,4417,4170,4388,4087,4371,4090,4141,3826,4067,4018,3890,3832,4129,4054,3918,3890,3849,3870,4101,3952,3973,3793,3782,3646,3796,3843,3719,3495,3585,3811,3852,3818,3641,3814,3756,3767,3854,3860,3944,3871,4027,4138,3928,3984,3987,3843,4342,4579,4929,4397
impulses_ch3,10455,10226,10861,10699,10718,10683,10560,10198,10271,9919,9867,10125,9876,10225,10024,10350,9801,9706,9594,10189,9698,9991,9277,9666,10280,10403,10686,10594,11129,11106,11565,11784,11472,12535,12759,13321,13680,14040,14284,14285,13577,13964,12014,10893,11038,10835,11183,11411,11526,11032,10989,11434,11294,11088,11355,11456,11791,11742,11483,11289,11877,11582,11608,11470,11701,11594,11921,12166,12289,11881,11937,11979,12228,11922,11962,12149,12280,12446,12446,12589,12659,12577,12800,12543,12358,12681,12470,12644,12683,12603,12459,12611,12710,12927,12867,12873,12969,13033,12926,12855,12474,12751,12792,12848,12765,12735,12723,12692,12769,12679,12777,12609,12501,12970,12672,12812,12928,12459,12330,12120,12477
impulses_ch2,10583,10343,10100,10265,10340,10267,10519,10834,10666,10633,10861,10848,10912,10631,10854,10687,11220,11199,10980,10946,10923,10824,11303,10827,10797,10668,10348,10326,10018,9994,9907,9804,10113,9513,9419,9179,8880,8922,8863,8641,8260,8204,5648,3395,3609,3342,3590,3568,3686,3381,3433,3620,3533,3395,3488,3599,3632,3741,3627,3560,3917,3623,3767,3699,3729,3692,3884,3992,4024,3893,4007,3894,3860,3789,3913,4051,4022,4083,4167,4145,4296,4251,4177,4111,4154,4236,4306,4209,4148,4144,4214,4167,4319,4309,4463,4326,4392,4401,4457,4269,4289,4308,4351,4294,4322,4452,4302,4151,4257,4233,4309,4171,4272,4370,4329,4505,4385,4021,3984,3937,4111
impulses_ch1,2903,2808,2839,2836,2886,2860,2857,2961,2813,2938,3033,3067,3045,2893,3026,2934,3150,3134,3035,3035,3123,3033,3111,3008,2987,2992,2847,2819,2748,2640,2637,2756,2824,2539,2478,2317,2289,2381,2281,2242,2087,2096,1458,836,877,814,916,852,833,824,883,903,896,820,819,934,861,890,855,868,966,846,890,906,896,848,930,950,973,1000,946,957,938,937,927,961,942,947,1041,1024,1039,1043,1010,1039,1002,1002,1055,1016,1005,1010,1022,1024,1065,1028,1130,1043,1058,1019,1079,1044,1068,1023,1105,1113,1026,1086,1033,986,1040,1013,1014,974,1064,1067,1057,1090,1037,947,931,929,1021
max_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03498051771287664,0.0,0.0,0.08647191601817522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09095801112801838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08353618606890659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0856654779794788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06513789522724783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
