Percentile,T0C,T0D,T25A,T25B,T25C,T25D,T4A,T4B,T4C,T4D,T5A,T5B,T5C,T5D,T6A,T6B,T6C,T6D,T7A,T7C,T7D,T8A,T8B
D5:,9.46,8.37,11.53,8.98,11.01,7.92,9.14,9.85,7.92,10.88,8.82,7.42,9.34,7.24,9.28,10.76,10.81,9.54,8.21,9.92,8.07,7.74,8.26
D10:,21.23,18.77,25.92,22.39,25.42,19.04,21.99,25.06,19.12,24.27,20.63,18.18,21.63,17.04,21.05,22.88,21.47,19.92,18.46,21.34,19.38,18.42,19.46
D16:,34.43,31.06,40.57,39.1,39.59,30.4,34.9,45.16,32.18,38.26,34.03,29.22,36.21,28.45,32.68,34.67,32,30.09,29.27,31.51,33.59,31.29,30.42
D25:,52.82,49.14,59.83,62.45,57.26,45.37,52.04,74.65,51.56,56.68,51.89,42.66,56.51,43.88,46.69,49.4,45.67,43.57,44.16,43.91,54.34,48.81,44.46
D50:,104.05,102.83,118.19,123.78,105.25,85.79,102.57,161.86,105.96,112.9,105.29,76.8,115.06,83.89,83.69,89.81,81.25,78.06,87.63,75.09,116.04,96.12,81.98
D60:,131.95,133.47,152.68,154.44,130.42,107.46,132.91,204.23,134.7,146.41,136.65,93.4,148.36,103.63,103.41,111.45,99.11,95.1,111.1,89.84,150.78,120.87,101.39
D75:,196.99,206.57,231.31,223.2,188.39,160.72,209.81,287.03,202.48,226.76,208.54,129.98,224.13,148.6,151.57,163.49,139.89,134.01,165.66,121.07,230.43,178.58,147.58
D84:,264.92,279.8,303.86,295.53,255.19,224.33,291.68,356.29,278.61,302.38,278.27,168.82,295.31,197.67,202.1,222.02,185.67,176.82,223.86,154.77,307.27,239.17,198.06
D90:,334.1,350.19,369.15,361.18,327.2,302.33,359.97,419.94,349.17,369.7,345.37,217.06,361.62,262.76,265.77,288.58,244.2,232.97,288.55,194.59,371.74,306.8,257.28
D95:,419.94,431.01,442.03,433.56,410.16,394.17,432.2,481.52,425.9,442.99,424.29,298.56,437.74,356.95,369.29,381.6,341.33,331.8,380.25,266.22,441.32,395.91,345.83
D60/D10:,6.21,7.11,5.89,6.9,5.13,5.64,6.04,8.15,7.05,6.03,6.62,5.14,6.86,6.08,4.91,4.87,4.62,4.77,6.02,4.21,7.78,6.56,5.21
