ï»¿Size (um),Vol Conc,Frequency,Percent,Cumulative %
0.37,0.17,6.0,0.0006079896999392011,0.0006079896999392011
0.44,0.17,6.0,0.0006079896999392011,0.0012159793998784022
0.52,0.17,6.0,0.0006079896999392011,0.0018239690998176033
0.61,0.17,6.0,0.0006079896999392011,0.0024319587997568043
0.72,0.17,6.0,0.0006079896999392011,0.0030399484996960053
0.85,0.18,6.0,0.0006437537999356245,0.00368370229963163
1.01,0.23,8.0,0.0008225742999177425,0.004506276599549372
1.19,0.33,12.0,0.0011802152998819785,0.005686491899431351
1.4,0.46,16.0,0.001645148599835485,0.007331640499266836
1.65,0.56,20.0,0.0020027895997997212,0.009334430099066557
1.95,0.66,24.0,0.002360430599763957,0.011694860698830514
2.3,0.74,26.0,0.0026465433997353454,0.014341404098565859
2.72,0.8,29.0,0.0028611279997138874,0.017202532098279745
3.2,0.86,31.0,0.0030757125996924285,0.020278244697972174
3.78,0.93,33.0,0.0033260612996673937,0.023604305997639567
4.46,1.01,36.0,0.0036121740996387826,0.02721648009727835
5.27,1.11,40.0,0.003969815099603018,0.031186295196881368
6.21,1.22,44.0,0.004363220199563677,0.03554951539644505
7.33,1.34,48.0,0.004792389399520761,0.040341904795965805
8.65,1.48,53.0,0.005293086799470691,0.0456349915954365
10.21,1.67,60.0,0.005972604699402739,0.051607596294839235
12.05,1.93,69.0,0.006902471299309753,0.058510067594148986
14.22,2.33,83.0,0.008333035299166696,0.06684310289331569
16.78,2.89,103.0,0.010335824898966417,0.07717892779228211
19.81,3.61,129.0,0.012910840098708914,0.09008976789099102
23.37,4.45,159.0,0.0159150244984085,0.10600479238939951
27.58,5.49,196.0,0.019634490898036552,0.12563928328743607
32.55,6.79,243.0,0.024283823897571617,0.14992310718500768
38.41,8.54,305.0,0.03054254139694574,0.1804656485819534
45.32,10.7,383.0,0.03826758699617323,0.21873323557812663
53.48,12.92,462.0,0.04620721719537928,0.2649404527735059
63.11,15.42,551.0,0.05514824219448517,0.3200886949679911
74.48,17.07,610.0,0.061049318693895065,0.38113801366188615
87.89,18.65,667.0,0.06670004649332999,0.44783806015521616
103.72,18.49,661.0,0.06612782089338722,0.5139658810486034
122.39,18.23,652.0,0.0651979542934802,0.5791638353420836
144.43,17.38,622.0,0.06215800579378419,0.6413218411358678
170.44,16.98,607.0,0.06072744179392726,0.7020492829297951
201.13,15.89,568.0,0.056829154894317085,0.7588784378241121
237.35,15.46,553.0,0.05529129859447087,0.814169736418583
280.09,14.69,525.0,0.05253746289474625,0.8667071993133293
330.52,13.95,499.0,0.049890919495010906,0.9165981188083402
390.04,12.36,442.0,0.044204427595579555,0.9608025464039197
460.27,10.96,392.0,0.039197453596080255,1.0
TOTAL,279.61,9997.0,1.0,2.0
