Percentiles,T0C,T0D,T25A,T25B,T25C,T25D,T4A,T4B,T4C,T4D,T5A,T5B,T5C,T5D,T6A,T6B,T6C,T6D,T7A,T7C,T7D,T8A,T8B
5,8.04076923076923,7.095970149253732,9.794,6.437743732590529,9.352,6.735,8.465290102389078,8.359152542372883,6.726923076923077,9.238196721311477,7.485294117647059,6.294848484848485,7.931764705882353,6.1365625,7.890000000000001,9.13338028169014,9.183684210526316,8.110845070422535,6.968153846153847,8.415806451612903,6.8548484848484845,6.5723529411764705,7.017868852459017
6,10.106000000000002,8.845,12.442168674698797,6.749721448467967,12.022941176470589,8.540000000000001,10.003529411764706,10.79777777777778,8.521666666666667,11.794444444444446,9.450000000000001,8.035205479452054,9.926363636363638,7.700243902439025,9.9396,11.327142857142858,11.21,9.96857142857143,8.738636363636363,10.57372093023256,8.614324324324325,8.267894736842106,8.906708860759494
7,12.191962616822432,10.624901960784316,15.00769230769231,7.061699164345404,14.617669902912622,10.46720430107527,12.321250000000001,13.383373493975903,10.444893617021277,14.242260869565218,11.477555555555556,9.890481927710844,12.00818181818182,9.337741935483873,12.029090909090911,13.475392156862746,13.125726495726497,11.826969696969698,10.51368932038835,12.67287037037037,10.503617021276597,10.048620689655174,10.875531914893617
8,14.22,12.423524590163936,17.43767441860465,14.382909090909092,17.080687022900765,12.434070796460178,14.561333333333334,15.996326530612244,12.401891891891893,16.468347826086955,13.510186915887852,11.784432989690721,14.134901960784315,11.035420560747665,14.076698113207547,15.540634920634922,14.92918918918919,13.590000000000002,12.29304,14.64057142857143,12.464272727272729,11.901313131313131,12.818141592920355
9,16.15939393939394,14.2022131147541,19.786511627906975,16.71018181818182,19.393664122137405,14.347092198581562,16.69466666666667,18.640526315789472,14.351764705882355,18.57710344827586,15.530236220472442,13.658793103448275,16.268,12.750551181102363,16.03740458015267,17.523207547169815,16.65891891891892,15.263566878980892,14.029040000000002,16.46914285714286,14.44,13.786,14.706760563380282
10,18.05975155279503,15.944081632653061,22.026603773584906,19.02358778625954,21.611975308641973,16.162695035460995,18.693684210526314,21.32030303030303,16.234117647058827,20.63,17.52766233766234,15.455862068965518,18.39034965034965,14.452727272727275,17.904910179640716,19.4288679245283,18.263105263157893,16.886582914572866,15.689935483870968,18.146793478260868,16.44,15.658832116788322,16.509577464788734
11,19.94047120418848,17.68551724137931,24.22918367346939,21.35578947368421,23.784778325123153,17.897206703910616,20.6431914893617,24.039139072847682,18.083818181818184,22.630000000000003,19.495194805194803,17.191684782608696,20.501058823529412,16.115064935064936,19.719281437125744,21.234,19.85506329113924,18.409195979899497,17.3165625,19.79353260869565,18.44549668874172,17.519024390243903,18.20292817679558
12,21.80434554973822,19.426896551724134,26.377142857142857,23.702994350282488,25.858669950738914,19.58994413407821,22.5368085106383,26.827218543046357,19.920103092783506,24.615211267605634,21.43521739130435,18.838423913043478,22.595176470588235,17.75741935483871,21.405283018867923,23.014000000000003,21.35717299578059,19.925772357723577,18.8946875,21.26037037037037,20.457272727272727,19.36658536585366,19.872183406113535
13,23.670714285714286,21.164536585365852,28.479917695473247,26.081525423728813,27.90875486381323,21.198878923766816,24.377521367521368,29.677167630057802,21.755154639175256,26.591737089201878,23.37,20.431106382978722,24.663804878048783,19.386451612903226,23.08452830188679,24.69078431372549,22.859282700421943,21.37292682926829,20.440886075949365,22.72539094650206,22.48,21.19748717948718,21.426768558951963
14,25.55017857142857,22.901121951219512,30.525185185185183,28.455666666666662,29.842607003891047,22.79529147982063,26.176666666666666,32.55,23.592555066079296,28.550703125,25.24111111111111,21.946,26.717463414634146,20.99134529147982,24.64529197080292,26.34176470588235,24.308716216216215,22.82008130081301,21.942995780590717,24.111383647798743,24.50346153846154,23.023128205128206,22.981353711790394
