Percentiles,T0C,T0D,T25A,T25B,T25C,T25D,T4A,T4B,T4C,T4D,T5A,T5B,T5C,T5D,T6A,T6B,T6C,T6D,T7A,T7C,T7D,T8A,T8B
15,27.429642857142856,24.645228215767634,32.56921311475409,30.82233333333333,31.776459143968868,24.33573476702509,27.95833910034602,35.40853658536585,25.447180616740088,30.492109375,27.112222222222222,23.45309210526316,28.756571428571426,22.58775784753363,26.181788321167883,27.95996941896024,25.731013513513513,24.21746753246753,23.442089041095894,25.435283018867924,26.5275,24.802815126050422,24.440338983050847
16,29.27348148148148,26.392116182572614,34.49052459016393,33.17537549407114,33.62195121951219,25.844695340501794,29.67806228373702,38.2670731707317,27.301806167400883,32.433515625,28.920827338129495,24.83796052631579,30.78514285714285,24.159375,27.70707386363636,29.479847094801222,27.153310810810808,25.584350649350647,24.8838698630137,26.759182389937106,28.538072289156624,26.571722689075628,25.867457627118643
17,31.114222222222217,28.138035087719295,36.411836065573766,35.491581027667976,35.40853658536585,27.353655913978496,31.397785467128024,41.07849593495934,29.162209737827716,34.25538699690402,30.708597122302155,26.22282894736842,32.804782608695646,25.70716911764706,29.11900568181818,30.9997247706422,28.515215053763438,26.951233766233763,26.325650684931507,28.039513381995132,30.534056224899594,28.31948096885813,27.29457627118644
18,32.93029498525073,29.881894736842103,38.3331475409836,37.80778656126481,37.19512195121951,28.79743515850144,33.0856786703601,43.88743902439024,31.023632958801496,36.069628482972135,32.49636690647482,27.605618556701028,34.76464882943144,27.254963235294113,30.530937499999997,32.51960244648318,29.85123655913978,28.27890625,27.762514124293784,29.248759124087588,32.530040160642564,30.03920415224913,28.651698113207544
19,34.658908554572264,31.62575438596491,40.14201044386423,40.03330158730158,38.93773269689737,30.229711815561956,34.70894736842105,46.6940206185567,32.88169811320754,37.88386996904025,34.178710601719196,28.886546391752574,36.72451505016722,28.745074183976257,31.942869318181817,33.90763593380614,31.187258064516126,29.57317708333333,29.16646892655367,30.458004866180048,34.49677852348993,31.758927335640134,29.99132075471698
20,36.3875221238938,33.34831884057971,41.94618798955614,42.226952380952376,40.58689737470167,31.661988472622475,36.33221606648199,49.4981443298969,34.72446540880503,39.63042288557214,35.85779369627507,30.16747422680412,38.67359673024523,30.219851632047476,33.28735099337748,35.292978723404254,32.52327956989247,30.867447916666663,30.570423728813555,31.667250608272504,36.463221476510064,33.43638655462185,31.330943396226413
21,38.116135693215334,35.046869565217385,43.75036553524804,44.42060317460317,42.236062052505964,33.061908045977006,37.95548476454293,52.302268041237106,36.567232704402514,41.34932835820896,37.536876790830945,31.448402061855667,40.55643051771117,31.694629080118695,34.58094922737307,36.67832151300236,33.76927813163482,32.16171875,31.974378531073445,32.849659090909086,38.42919444444444,35.077843137254895,32.66390928725701
22,39.795338164251206,36.74542028985507,45.549610389610386,46.577023498694516,43.88522673031026,34.40903448275862,39.52551569506726,55.06676136363636,38.41,43.06823383084577,39.18859154929577,32.71573737373737,42.43926430517711,33.12910588235294,35.87454746136865,38.06366430260047,35.013439490445855,33.3940329218107,33.361596244131455,33.95950757575757,40.348638888888885,36.71929971988795,33.929568034557235
23,41.46442028985507,38.44338164251207,47.315844155844154,48.70757180156658,45.52558139534884,35.75616091954023,41.07484304932735,57.80255681818181,40.20480519480519,44.78713930348259,40.8106572769953,33.899575757575754,44.32209809264305,34.50792941176471,37.16814569536423,39.39153409090909,36.257600849256896,34.599794238683124,34.737183098591544,35.069356060606054,42.26808333333334,38.360756302521004,35.19522678185745
24,43.133502415458935,40.11246376811594,49.08207792207792,50.838120104438644,47.10697674418604,37.103287356321836,42.62417040358744,60.538352272727266,41.99961038961039,46.48571428571429,42.432723004694836,35.08341414141414,46.18573363431151,35.88675294117647,38.45757314974182,40.70024621212121,37.50176220806794,35.80555555555555,36.11276995305164,36.17920454545454,44.18752777777778,39.93334090909091,36.460885529157665
25,44.80258454106281,41.7815458937198,50.84831168831169,52.9686684073107,48.688372093023254,38.448603351955306,44.173497757847535,63.2776167076167,43.79441558441558,48.17515527950311,44.054788732394364,36.26725252525252,48.02772009029345,37.265576470588236,39.646901893287435,42.00895833333333,38.72946917808219,37.01131687242798,37.488356807511735,37.28905303030302,46.1072,41.503795454545454,37.72654427645788
26,46.45516129032258,43.45062801932367,52.61454545454545,55.01756302521009,50.26976744186046,39.73538175046555,45.724114285714286,66.0712285012285,45.586666666666666,49.86459627329192,45.67975951903807,37.45109090909091,49.86970654627539,38.63460803059273,40.836230636833044,43.31767045454545,39.91268835616438,38.21707818930041,38.85799607072691,38.39890151515151,48.0272,43.07425,38.97059964726631
27,48.10032258064516,45.11971014492754,54.369728260869564,57.040672268907564,51.85116279069767,41.02216014897579,47.278400000000005,68.86484029484029,47.364444444444445,51.554037267080744,47.315030060120236,38.62417618270799,51.711693002257334,39.95583173996176,42.02555938037865,44.626382575757575,41.09590753424657,39.374186046511625,40.21555992141453,39.44180995475113,49.947199999999995,44.644704545454545,40.18929453262786
28,49.74548387096774,46.80670807453416,56.11429347826087,59.06378151260504,53.432558139534876,42.308938547486036,48.83268571428572,71.6584520884521,49.142222222222216,53.243478260869566,48.9503006012024,39.75141924959217,53.55199999999999,41.27705544933078,43.21488812392427,45.92972972972973,42.27912671232877,40.52202657807309,41.57312377210216,40.484042232277524,51.8672,46.19924385633271,41.40798941798941
29,51.39064516129032,48.49614906832298,57.858858695652174,61.08689075630252,54.96743630573248,43.59571694599627,50.38697142857143,74.45206388206388,50.919999999999995,54.94063492063491,50.585571142284564,40.878662316476344,55.352,42.59827915869981,44.40421686746988,47.22702702702703,43.46234589041096,41.66986710963455,42.93068762278978,41.52627450980392,53.78510891089108,47.74177693761815,42.62668430335097
30,53.0358064516129,50.1855900621118,59.60342391304348,63.11,56.50087579617834,44.882495344506516,51.94125714285714,77.20605749486653,52.69777777777777,56.639047619047616,52.22084168336673,42.00590538336052,57.151999999999994,43.91950286806883,45.59358600583091,48.524324324324326,44.64556506849315,42.817707641196016,44.2882514734774,42.568506787330314,55.692039603960396,49.28431001890359,43.84537918871252
31,54.66149579831932,51.87503105590062,61.34798913043478,65.13313167259787,58.0343152866242,46.17621621621622,53.49581280788177,79.95965092402464,54.46588665447897,58.33746031746031,53.85732538330494,43.1331484502447,58.952,45.24072657743786,46.78309037900875,49.82162162162162,45.824863309352516,43.96554817275747,45.654769230769226,43.61073906485671,57.5989702970297,50.82684310018904,45.06407407407407
32,56.27998319327731,53.56462214411248,63.09255434782609,67.15626334519573,59.56775477707006,47.47351351351351,55.077093596059115,82.71324435318274,56.226398537477145,60.03587301587301,55.497870528109026,44.26039151712887,60.751999999999995,46.55716129032258,47.97259475218659,51.118918918918915,46.998964028776975,45.113388704318936,47.04964102564102,44.652971342383104,59.50590099009901,52.36937618147448,46.287927927927925
33,57.89847058823529,55.257065026362035,64.95529508196722,69.1793950177936,61.10119426751592,48.77081081081081,56.65837438423645,85.46683778234086,57.98691042047532,61.73428571428571,57.13841567291311,45.38753103448276,62.55199999999999,47.873290322580644,49.16209912536443,52.41621621621621,48.17306474820143,46.25322175732217,48.44451282051282,45.69090909090909,61.412831683168314,53.90664556962025,47.513153153153155
34,59.51695798319328,56.9495079086116,66.81922950819673,71.20252669039147,62.63463375796178,50.068108108108106,58.23965517241379,88.24112754158965,59.74742230347349,63.462414355628056,58.778960817717206,46.51304827586207,64.41320598006644,49.18941935483871,50.35160349854227,53.71424324324324,49.3471654676259,47.391297071129706,49.83938461538462,46.72121212121212,63.33136283185841,55.43037974683544,48.73837837837838
35,61.13544537815126,58.64195079086116,68.68316393442623,73.22565836298934,64.21186797752809,51.3654054054054,59.820935960591136,91.16719038817006,61.507934186471665,65.31722675367047,60.41950596252129,47.63856551724138,66.30191029900332,50.50554838709677,51.541107871720115,55.01559459459459,50.52126618705036,48.52937238493724,51.23425641025641,47.75151515151515,65.34375221238938,56.95411392405063,49.9636036036036
36,62.75393277310924,60.33439367311072,70.54709836065574,75.24398800599701,65.80877808988764,52.662702702702695,61.402216748768474,94.09325323475046,63.27451768488746,67.17203915171288,62.06005110732538,48.76408275862069,68.1906146179402,51.82167741935484,52.730612244897955,56.316945945945946,51.69536690647482,49.667447698744766,52.629128205128204,48.78181818181818,67.35614159292035,58.47784810126582,51.18882882882883
37,64.4744,62.026836555360276,72.41103278688524,77.2544827586207,67.40568820224719,53.982552891396324,62.98349753694581,97.01931608133087,65.1024919614148,69.0268515497553,63.767014446227925,49.8896,70.07931893687707,53.1378064516129,53.93857142857142,57.618297297297296,52.869467625899276,50.8055230125523,54.05077507598784,49.81212121212121,69.36853097345133,60.00158227848101,52.414054054054056
38,66.22363076923077,63.776644951140064,74.27496721311476,79.26497751124438,69.00259831460674,55.34080394922425,64.71435582822086,99.94537892791128,66.93046623794213,70.88166394779772,65.59205457463885,51.015117241379315,71.96802325581396,54.46564315352697,55.177953667953666,58.919648648648646,54.05278810408921,51.943598326359826,55.5143009118541,50.84242424242424,71.3809203539823,61.5253164556962,53.64537648612946
39,67.97286153846154,65.6284364820847,76.26934032983509,81.27547226386807,70.5995084269663,56.69905500705218,66.45822085889571,102.87144177449169,68.75844051446946,72.73647634584013,67.41709470304976,52.14063448275862,73.85672757475083,55.79759336099585,56.417335907335904,60.221,55.246096654275085,53.08167364016736,56.977826747720364,51.87272727272727,73.39330973451328,63.049050632911396,54.91750330250991
40,69.72209230769231,67.48022801302932,78.27983508245877,83.28596701649175,72.19641853932585,58.05730606488011,68.20208588957055,105.88596405228759,70.58641479099678,74.5995542347697,69.24213483146067,53.266151724137934,75.85380733944955,57.129543568464726,57.65671814671814,61.522351351351354,56.43940520446096,54.23964805825242,58.44135258358663,52.9030303030303,75.479773095624,64.67378223495702,56.189630118890356
41,71.47132307692308,69.33201954397394,80.29032983508246,85.29646176911544,73.7933286516854,59.41555712270804,69.9459509202454,108.93661764705882,72.41438906752411,76.5921248142645,71.0671749598716,54.42778857837181,77.90426605504588,58.461493775933604,58.896100386100386,62.823702702702704,57.632713754646836,55.40833737864077,59.904878419452885,53.95132369299221,77.65319286871961,66.30272206303725,57.461756935270806
42,73.22055384615385,71.18381107491857,82.30082458770615,87.30695652173912,75.45001269035534,60.773808180535966,71.68981595092025,111.98727124183007,74.24236334405144,78.58469539375929,72.89221508828251,55.59789793438639,79.9547247706422,59.79344398340249,60.135482625482624,64.25433548387097,58.826022304832705,56.57702669902912,61.36840425531915,55.02251390433815,79.82661264181523,67.93166189111747,58.733883751651256
43,75.00588235294119,73.03560260586319,84.31131934032983,89.4510138888889,77.15178934010153,62.132059238363894,73.43368098159509,115.03792483660132,76.15384505021521,80.57726597325409,74.74615267175574,56.76800729040097,82.00518348623854,61.12539419087137,61.37486486486486,65.72143225806452,60.01933085501858,57.74571601941747,62.83193009118541,56.09370411568409,82.00003241491086,69.5606017191977,60.006010568031705
44,76.88403361344538,74.9297256097561,86.32181409295352,91.649625,78.85356598984772,63.54314285714286,75.26192419825072,118.08857843137255,78.07780487804878,82.56983655274888,76.79348091603055,57.93811664641555,84.05564220183487,62.45734439834025,62.614247104247106,67.18852903225806,61.212639405204456,58.91440533980582,64.43896103896104,57.164894327030034,84.17345218800648,71.18954154727794,61.278137384412155
45,78.76218487394958,76.97393292682926,88.41607250755287,93.8482361111111,80.5553426395939,65.09008163265307,77.21673469387756,121.1392320261438,80.00176470588235,84.56240713224369,78.84080916030535,59.10822600243013,86.1061009174312,63.866023468057364,63.96811320754717,68.65562580645161,62.40594795539033,60.08309466019417,66.07965367965369,58.23608453837597,86.34687196110211,72.81848137535816,62.550264200792604
46,80.64033613445379,79.01814024390244,90.80731117824773,96.04684722222223,82.2571192893401,66.63702040816327,79.17154518950437,124.33956521739131,81.92572453371592,86.55497771173849,80.88813740458016,60.278335358444714,88.20227617602428,65.3484224250326,65.39830188679245,70.12272258064516,63.664964285714284,61.251783980582516,67.72034632034632,59.30727474972191,88.61522906793049,74.4474212034384,63.91904701397713
47,82.51848739495799,81.06234756097561,93.19854984894259,98.24545833333333,83.95889593908629,68.18395918367347,81.1263556851312,127.64391304347828,83.84968436154949,88.69367692307692,82.93546564885496,61.44844471445929,90.60440060698028,66.83082138200783,66.82849056603774,71.58981935483871,65.0185357142857,62.42047330097087,69.36103896103897,60.378464961067856,91.11601895734597,76.26314789687923,65.36377382465058
48,84.39663865546218,83.10655487804878,95.58978851963747,100.44406944444444,85.66067258883248,69.73089795918368,83.08116618075802,130.94826086956522,85.77364418938306,91.12906153846153,84.98279389312977,62.61855407047388,93.00652503793627,68.31322033898306,68.25867924528302,73.05691612903226,66.37210714285715,63.6590812720848,71.0017316017316,61.44965517241379,93.61680884676146,78.08268656716417,66.80850063532402
49,86.2747899159664,85.15076219512194,97.98102719033233,102.64268055555556,87.36244923857868,71.27783673469388,85.03597667638483,134.25260869565219,87.69760401721663,93.56444615384615,87.03012213740458,63.88310668229777,95.40864946889226,69.79561929595829,69.68886792452831,74.53118320610687,67.72567857142857,64.9983038869258,72.64242424242425,62.520845383759735,96.11759873617693,79.90222523744912,68.25322744599745
50,88.20346534653466,87.19496951219512,100.37226586102719,104.98450199203187,89.28855313700384,72.82477551020409,86.99078717201166,137.55695652173915,89.93404591104735,95.99983076923077,89.31568322981366,65.21604923798358,97.81077389984826,71.27801825293352,71.11905660377359,76.23729007633588,69.07925,66.33752650176679,74.28311688311689,63.662537796976245,98.61838862559242,81.72176390773406,69.6979542566709
51,90.44250353606789,89.51232919254657,102.76350453172205,107.46391766268259,91.31544174135723,74.37171428571429,89.20510769230769,140.8613043478261,92.20520803443328,98.43521538461538,91.77375776397515,66.5489917936694,100.21289833080425,72.76041720990874,72.54924528301888,77.94339694656489,70.43282142857143,67.67674911660777,76.14677966101695,64.89039956803455,101.1191785150079,83.541302578019,71.14268106734434
52,92.68154172560114,91.97040372670807,105.44073732718894,109.94333333333333,93.34233034571062,76.14951807228915,91.64049230769231,144.16565217391306,94.47637015781922,100.8706,94.23183229813664,67.88193434935522,102.61502276176024,74.24281616688397,73.97943396226415,79.6495038167939,71.78639285714286,69.01597173144876,78.04084745762712,66.11826133909287,103.61996840442339,85.36084124830393,72.58740787801779
53,94.92057991513437,94.42847826086955,108.30863287250385,112.42274900398405,95.36921895006402,77.94469879518073,94.07587692307692,147.72603305785125,96.74753228120517,103.30598461538462,96.68990683229813,69.21487690504102,105.26628834355827,75.9094923857868,75.59893453145058,81.3556106870229,73.13996428571429,70.35519434628975,79.9349152542373,67.34612311015118,106.54700315457413,87.18037991858887,74.03213468869123
54,97.15961810466762,96.88655279503105,111.17652841781874,114.90216467463479,97.39610755441741,79.73987951807229,96.51126153846154,151.3086776859504,99.0186944045911,106.1603307086614,99.14798136645963,70.54781946072684,108.12978527607362,77.611269035533,77.32037227214377,83.06171755725191,74.49619565217391,71.69441696113074,81.82898305084746,68.5739848812095,109.49179810725552,89.24053146853147,75.67392258064515
55,99.39865629420085,99.34462732919255,114.04442396313365,117.38158034528551,99.42299615877081,81.53506024096386,98.94664615384615,154.8913223140496,101.28985652797704,109.10048818897637,101.60605590062112,71.88076201641266,110.99328220858897,79.31304568527919,79.04181001283698,84.76782442748092,76.11576086956522,73.03363957597173,83.72305084745763,69.80184665226781,112.43659305993691,91.45451748251749,77.40424516129032
56,101.6376944837341,101.80270186335403,116.91231950844855,119.86099601593625,101.4498847631242,83.33024096385543,101.38203076923077,158.47396694214876,103.56101865136299,112.04064566929134,104.14022508038585,73.21370457209848,113.8567791411043,81.01482233502539,80.76324775353017,86.47393129770992,77.73532608695652,74.37286219081273,85.6171186440678,71.02970842332614,115.38138801261829,93.66850349650349,79.13456774193548
57,103.91361481481482,104.38786991869918,119.78021505376344,122.34041168658698,103.47677336747759,85.12542168674699,103.84222585924714,162.05661157024792,106.27715758468335,114.98080314960629,107.14183279742765,74.56068592057761,116.72027607361963,82.71659898477158,82.48468549422336,88.25864383561644,79.35489130434783,75.97905224787364,87.51118644067796,72.25757019438444,118.32618296529968,95.8824895104895,80.86489032258065
58,106.67954074074075,107.42364227642275,122.7089067524116,125.32069199457258,105.90769640479361,86.92060240963856,106.89787234042552,165.63925619834708,109.02678939617084,117.92096062992125,110.14344051446946,76.17440433212997,119.58377300613498,84.41837563451777,84.20612323491656,90.42713698630138,80.97445652173913,77.6084568651276,89.7717236255572,73.48543196544277,121.27097791798107,98.09647552447552,82.5952129032258
59,109.44546666666666,110.45941463414634,126.2523151125402,128.31119402985075,108.39371504660454,88.95614934114202,109.95351882160392,169.22190082644627,111.77642120765832,120.86111811023622,113.14504823151125,77.78812274368231,122.46019108280255,86.12015228426397,85.92756097560975,92.5956301369863,82.59402173913043,79.23786148238153,92.12387815750371,74.76404682274247,124.58691318327973,100.31046153846154,84.32553548387096
60,112.21139259259259,113.49518699186991,129.79572347266884,131.3016960651289,110.87973368841546,91.27386530014641,113.00916530278232,173.25716272600832,114.5260530191458,124.19224872231686,116.14665594855306,79.40184115523465,125.96974522292994,87.82192893401016,87.64899871630296,94.76412328767124,84.21358695652174,80.86726609963549,94.47603268945022,76.25903010033444,128.13032154340837,102.52444755244755,86.05585806451613
61,114.97731851851852,116.5309593495935,133.33913183279745,134.29219810040706,113.36575233022637,93.5915812591508,116.06481178396072,177.52559109874824,117.27568483063328,127.94693356047699,119.14826366559485,81.015559566787,129.47929936305732,89.94918699186992,89.84319942611191,96.93261643835618,85.83315217391304,82.49667071688943,96.82818722139673,77.75401337792643,131.67372990353698,104.99800595238095,87.78618064516128
62,117.74324444444444,119.56673170731708,136.88254019292606,137.28270013568522,115.85177097203729,95.90929721815519,119.12045826513912,181.79401947148816,120.02531664212077,131.70161839863712,122.14987138263666,82.62927797833935,132.9888535031847,92.09417344173441,92.11436154949784,99.1011095890411,87.45271739130435,84.12607533414338,99.18034175334324,79.2489966555184,135.21713826366562,107.77627976190476,90.01574285714285
63,120.50917037037037,122.656,140.4259485530547,140.27320217096337,118.33778961384822,98.22701317715958,122.17610474631752,186.06244784422807,122.8852808988764,135.45630323679728,125.76384359400998,84.24299638989169,136.4984076433121,94.23915989159892,94.38552367288379,101.26960273972604,89.44112751677852,85.75547995139732,101.53249628528975,80.74397993311037,138.76054662379423,110.55455357142857,92.27717142857142
64,123.51484848484849,126.456,143.9693569131833,143.26370420624153,120.82380825565913,100.54472913616397,126.07654676258993,190.330876216968,126.42300160513643,139.2109880749574,129.43106489184692,85.85671480144404,140.0079617834395,96.3841463414634,96.65668579626973,103.43809589041096,91.56595973154361,87.38488456865127,103.9261356466877,82.23896321070234,142.30395498392286,113.33282738095238,94.53859999999999
65,127.03,130.256,148.15795716639212,146.71948051948053,123.59454948301331,102.86244509516837,130.04057553956835,194.5993045897079,129.96072231139647,142.96567291311754,133.09828618968385,87.47043321299638,143.51751592356686,98.52913279132791,98.92784791965566,106.20362385321101,93.69079194630872,89.4007468879668,106.87093059936909,83.73394648829432,146.16689482470787,116.11110119047618,96.80002857142857
66,130.5451515151515,134.05599999999998,152.44296540362438,150.47272727272727,126.85008862629248,105.62325242718445,134.00460431654676,198.86773296244783,133.49844301765648,147.2037937062937,136.7655074875208,89.46873315363881,147.61665562913907,100.67411924119241,101.19901004304161,109.0583639143731,95.81562416107383,91.59023513139695,109.81572555205048,85.22892976588629,150.5091318864775,118.88937499999999,99.06145714285714
67,134.06030303030303,137.856,156.72797364085667,154.22597402597404,130.10562776957164,108.64428802588996,137.9686330935252,203.42735492577597,137.03616372391653,151.7509965034965,140.43272878535774,91.6021563342318,151.92294701986754,102.8191056910569,103.47017216642755,111.91310397553518,97.94045637583892,93.7797233748271,112.76052050473187,86.72391304347826,154.85136894824709,121.6676488095238,101.3228857142857
68,137.57545454545453,141.656,161.01298187808897,157.97922077922078,133.36116691285082,111.66532362459546,141.9326618705036,208.31534412955466,140.57388443017655,156.2981993006993,144.09995008319467,93.73557951482479,156.22923841059603,105.36069696969696,106.37012759170653,114.76784403669726,100.06528859060403,95.96921161825725,115.70531545741326,88.34053040103493,159.1936060100167,125.03337115072932,103.58431428571429
69,141.09060606060606,145.71620879120877,165.29799011532126,161.73246753246755,136.61670605612997,114.68635922330097,146.28071153846156,213.20333333333332,144.1116051364366,160.8454020979021,148.5463652173913,95.86900269541778,160.53552980132451,108.18948484848485,109.34779904306221,117.62258409785933,102.19012080536913,98.15869986168741,118.65011041009464,90.3883958602846,163.5358430717863,128.60549432739057,106.53698234349919
70,144.655,150.47994505494503,169.58299835255352,165.4857142857143,139.87224519940915,117.70739482200648,151.28263461538464,218.091322537112,148.57520140105078,165.3926048951049,153.06984347826085,98.00242587601076,164.84182119205298,111.01827272727273,112.32547049441787,120.4773241590214,104.51932721712538,100.34818810511756,121.59490536277605,92.43626131953428,167.87808013355593,132.17761750405185,109.53377207062599
71,149.155,155.24368131868133,174.7625352112676,169.23896103896107,143.12778434268833,120.72843042071199,156.28455769230771,222.9793117408907,153.13036777583187,169.93980769230768,157.59332173913043,100.13584905660376,169.14811258278147,113.84706060606061,115.30314194577353,123.64833910034602,107.37406727828746,102.5376763485477,125.20772329246937,94.48412677878396,172.78318435754187,135.7497406807131,112.5305617977528
72,153.655,160.0074175824176,180.1657042253521,174.00738461538464,147.05285714285714,124.24730337078653,161.2864807692308,227.86730094466935,157.68553415061297,175.52642458100559,162.11679999999998,102.26927223719674,174.23558303886927,116.67584848484849,118.2808133971292,127.46148788927336,110.22880733944953,105.07889240506327,129.06761821366027,96.53199223803362,178.49826815642456,139.32186385737438,115.5273515248796
73,158.15499999999997,164.77115384615385,185.5688732394366,179.25353846153848,151.4242857142857,128.37464419475657,166.28840384615387,232.75529014844804,162.24070052539406,181.24150837988827,166.64027826086954,104.6549608763693,179.65784452296822,119.50463636363637,121.25848484848487,131.2746366782007,113.08354740061162,108.0330063291139,132.92751313485115,98.5798576972833,184.21335195530727,142.89398703403563,118.5241412520064
74,162.65499999999997,169.5348901098901,190.97204225352112,184.49969230769233,155.7957142857143,132.5019850187266,171.57914847161572,237.7076569037657,166.79586690017516,186.95659217877093,171.36649056603773,107.57671361502346,185.08010600706717,122.33342424242426,124.84769784172664,135.08778546712801,115.9382874617737,110.98712025316455,136.78740805604204,100.62772315653298,189.92843575418996,147.0917055655296,121.52093097913321
75,167.15499999999997,175.36255445544555,196.37521126760566,189.74584615384617,160.16714285714286,136.62932584269663,178.28002183406116,243.66860529986053,171.6977868852459,192.67167597765362,177.15705660377355,110.49846635367761,190.5023674911661,126.15949389179757,128.81172661870505,138.90093425605536,118.79302752293577,113.94123417721518,140.64730297723293,102.67558861578266,195.64351955307265,151.7613644524237,125.27184162062613
76,172.0427659574468,181.43978217821783,201.91596745027127,194.992,164.53857142857143,140.75666666666666,184.98089519650657,249.62955369595537,177.9867213114754,198.38675977653628,182.9476226415094,113.42021909233176,195.92462897526505,130.0059162303665,132.77575539568346,142.7140830449827,121.64776758409785,116.89534810126582,144.53081395348835,105.14719188767549,201.41186770428018,156.43102333931776,129.33077348066297
77,177.97893617021273,187.5170099009901,208.46569620253166,200.23815384615384,168.91000000000003,145.04661637931034,191.68176855895197,255.5905020920502,184.2756557377049,204.74504798464488,188.73818867924527,116.34197183098593,201.39730627306278,133.85233856893544,136.7397841726619,147.27403578528825,125.3716453382084,119.84946202531646,149.57151162790697,108.05982839313572,208.4585603112841,161.10068222621183,133.3897053406998
78,183.9151063829787,193.5942376237624,215.01542495479205,206.9001727447217,174.5786929460581,150.6522198275862,198.3826419213974,261.55145048814506,190.5645901639344,211.69706333973127,194.52875471698113,119.26372456964008,208.07996309963104,137.69876090750438,140.7038129496403,152.44500994035783,129.40089579524678,122.98111111111112,154.61220930232557,110.97246489859593,215.50525291828797,165.77034111310593,137.44863720073664
79,189.85127659574465,199.6714653465347,221.56515370705245,213.85218809980805,180.94591286307056,156.25782327586208,205.92143497757849,267.5123988842399,196.8535245901639,218.64907869481766,200.31932075471698,122.18547730829422,214.7626199261993,141.5451832460733,144.74527272727275,157.61598409542742,133.43014625228517,127.20333333333333,159.6529069767442,113.88510140405616,222.55194552529187,170.44,141.50756906077348
