Size (um),Vol Conc
0.37,0.16
0.44,0.16
0.52,0.16
0.61,0.16
0.72,0.17
0.85,0.18
1.01,0.23
1.19,0.33
1.4,0.47
1.65,0.56
1.95,0.65
2.3,0.73
2.72,0.79
3.2,0.85
3.78,0.91
4.46,1
5.27,1.1
6.21,1.24
7.33,1.4
8.65,1.58
10.21,1.8
12.05,2.07
14.22,2.46
16.78,2.97
19.81,3.62
23.37,4.41
27.58,5.44
32.55,6.62
38.41,8.13
45.32,9.95
53.48,11.88
63.11,14
74.48,15.27
87.89,15.97
103.72,15.3
122.39,14.1
144.43,12.45
170.44,10.88
201.13,9.08
237.35,7.74
280.09,6.49
330.52,5.57
390.04,4.79
460.27,4.67
TOTAL,208.49
