Size (um),Vol Conc
0.37,0.08
0.44,0.08
0.52,0.08
0.61,0.08
0.72,0.08
0.85,0.09
1.01,0.11
1.19,0.16
1.4,0.22
1.65,0.27
1.95,0.32
2.3,0.35
2.72,0.38
3.2,0.41
3.78,0.44
4.46,0.48
5.27,0.52
6.21,0.57
7.33,0.63
8.65,0.69
10.21,0.78
12.05,0.91
14.22,1.13
16.78,1.45
19.81,1.85
23.37,2.26
27.58,2.69
32.55,3.25
38.41,4.09
45.32,5.1
53.48,6.13
63.11,7.19
74.48,7.78
87.89,8.53
103.72,8.26
122.39,8.05
144.43,7.46
170.44,7.26
201.13,6.81
237.35,6.61
280.09,6.34
330.52,6.22
390.04,5.64
460.27,5.04
TOTAL,126.87
