Size (um),Vol Conc
0.37,0.13
0.44,0.13
0.52,0.13
0.61,0.12
0.72,0.12
0.85,0.13
1.01,0.16
1.19,0.23
1.4,0.32
1.65,0.38
1.95,0.44
2.3,0.48
2.72,0.52
3.2,0.55
3.78,0.59
4.46,0.66
5.27,0.73
6.21,0.83
7.33,0.96
8.65,1.11
10.21,1.3
12.05,1.53
14.22,1.86
16.78,2.31
19.81,2.9
23.37,3.64
27.58,4.66
32.55,5.98
38.41,7.72
45.32,9.64
53.48,11.48
63.11,13.51
74.48,14.17
87.89,14.34
103.72,13.32
122.39,11.95
144.43,10.56
170.44,9.17
201.13,7.72
237.35,6.79
280.09,5.8
330.52,5.04
390.04,4.33
460.27,4.13
TOTAL,182.57
