Size (um),Vol Conc
0.37,0.21
0.44,0.21
0.52,0.21
0.61,0.21
0.72,0.21
0.85,0.23
1.01,0.29
1.19,0.42
1.4,0.6
1.65,0.74
1.95,0.86
2.3,0.97
2.72,1.05
3.2,1.13
3.78,1.23
4.46,1.37
5.27,1.51
6.21,1.66
7.33,1.81
8.65,2.01
10.21,2.27
12.05,2.6
14.22,3.12
16.78,3.78
19.81,4.61
23.37,5.42
27.58,6.35
32.55,7.44
38.41,8.89
45.32,10.75
53.48,12.79
63.11,15.29
74.48,17.34
87.89,19.47
103.72,19.46
122.39,18.94
144.43,17.41
170.44,15.94
201.13,13.61
237.35,12.46
280.09,12.29
330.52,12.26
390.04,10.84
460.27,8.88
TOTAL,279.14
