Size (um),Vol Conc
0.37,0.27
0.44,0.27
0.52,0.27
0.61,0.27
0.72,0.27
0.85,0.29
1.01,0.36
1.19,0.51
1.4,0.73
1.65,0.9
1.95,1.03
2.3,1.15
2.72,1.24
3.2,1.31
3.78,1.39
4.46,1.5
5.27,1.62
6.21,1.78
7.33,1.96
8.65,2.18
10.21,2.43
12.05,2.81
14.22,3.43
16.78,4.29
19.81,5.43
23.37,6.71
27.58,8.34
32.55,10.32
38.41,12.87
45.32,15.91
53.48,18.75
63.11,21.74
74.48,23.29
87.89,24.49
103.72,23.19
122.39,21.82
144.43,19.86
170.44,18.55
201.13,16.35
237.35,15.89
280.09,16.53
330.52,17.34
390.04,15.24
460.27,12.05
TOTAL,356.93
