Size (um),Vol Conc
0.37,0.18
0.44,0.18
0.52,0.18
0.61,0.18
0.72,0.18
0.85,0.2
1.01,0.25
1.19,0.36
1.4,0.51
1.65,0.63
1.95,0.73
2.3,0.81
2.72,0.87
3.2,0.93
3.78,1
4.46,1.1
5.27,1.22
6.21,1.37
7.33,1.55
8.65,1.76
10.21,2
12.05,2.3
14.22,2.75
16.78,3.32
19.81,4.01
23.37,4.79
27.58,5.85
32.55,7.27
38.41,9.15
45.32,11.27
53.48,13.34
63.11,15.58
74.48,16.51
87.89,16.97
103.72,15.9
122.39,14.2
144.43,12.34
170.44,10.23
201.13,7.88
237.35,6.46
280.09,5.8
330.52,5.33
390.04,4.37
460.27,3.54
TOTAL,215.35
