Size (um),Vol Conc
0.37,0.13
0.44,0.13
0.52,0.13
0.61,0.13
0.72,0.12
0.85,0.13
1.01,0.16
1.19,0.23
1.4,0.32
1.65,0.38
1.95,0.43
2.3,0.47
2.72,0.5
3.2,0.54
3.78,0.57
4.46,0.62
5.27,0.68
6.21,0.76
7.33,0.87
8.65,1
10.21,1.17
12.05,1.4
14.22,1.76
16.78,2.28
19.81,2.99
23.37,3.94
27.58,5.18
32.55,6.68
38.41,8.57
45.32,10.78
53.48,12.87
63.11,14.6
74.48,15.06
87.89,14.57
103.72,12.56
122.39,10.41
144.43,8.1
170.44,6.28
201.13,4.55
237.35,3.34
280.09,2.4
330.52,1.79
390.04,1.42
460.27,1.49
TOTAL,162.49
