Size (um),Vol Conc
0.37,0.14
0.44,0.14
0.52,0.14
0.61,0.14
0.72,0.14
0.85,0.16
1.01,0.2
1.19,0.28
1.4,0.39
1.65,0.47
1.95,0.54
2.3,0.59
2.72,0.64
3.2,0.68
3.78,0.73
4.46,0.8
5.27,0.89
6.21,1.01
7.33,1.15
8.65,1.32
10.21,1.55
12.05,1.83
14.22,2.22
16.78,2.74
19.81,3.4
23.37,4.2
27.58,5.18
32.55,6.27
38.41,7.55
45.32,9.02
53.48,10.38
63.11,11.65
74.48,12.3
87.89,12.55
103.72,11.93
122.39,11.22
144.43,10.13
170.44,9.13
201.13,7.85
237.35,6.82
280.09,5.77
330.52,4.88
390.04,4.14
460.27,3.97
TOTAL,177.23
