Size (um),Vol Conc
0.37,0.22
0.44,0.21
0.52,0.2
0.61,0.19
0.72,0.18
0.85,0.19
1.01,0.23
1.19,0.33
1.4,0.46
1.65,0.54
1.95,0.61
2.3,0.66
2.72,0.7
3.2,0.74
3.78,0.79
4.46,0.89
5.27,1.02
6.21,1.19
7.33,1.42
8.65,1.68
10.21,2.01
12.05,2.43
14.22,3.07
16.78,3.91
19.81,5.02
23.37,6.32
27.58,8.02
32.55,10.17
38.41,12.88
45.32,15.75
53.48,18.22
63.11,20.28
74.48,20.08
87.89,18.67
103.72,15.77
122.39,13.07
144.43,10.31
170.44,7.8
201.13,5.73
237.35,4.44
280.09,3.9
330.52,3.64
390.04,3.22
460.27,2.95
TOTAL,230.11
