Size (um),Vol Conc
0.37,0.23
0.44,0.23
0.52,0.22
0.61,0.21
0.72,0.2
0.85,0.21
1.01,0.27
1.19,0.38
1.4,0.52
1.65,0.62
1.95,0.71
2.3,0.77
2.72,0.82
3.2,0.86
3.78,0.93
4.46,1.03
5.27,1.17
6.21,1.34
7.33,1.56
8.65,1.8
10.21,2.08
12.05,2.45
14.22,3.01
16.78,3.76
19.81,4.76
23.37,6.06
27.58,7.95
32.55,10.43
38.41,13.63
45.32,17.38
53.48,20.56
63.11,23.05
74.48,22.68
87.89,20.36
103.72,16.68
122.39,13.5
144.43,10.44
170.44,7.8
201.13,5.63
237.35,4.31
280.09,3.53
330.52,3.05
390.04,2.51
460.27,2.28
TOTAL,241.97
