Size (um),Vol Conc
0.37,0.18
0.44,0.19
0.52,0.19
0.61,0.2
0.72,0.21
0.85,0.23
1.01,0.29
1.19,0.41
1.4,0.59
1.65,0.72
1.95,0.84
2.3,0.95
2.72,1.03
3.2,1.1
3.78,1.19
4.46,1.32
5.27,1.46
6.21,1.6
7.33,1.75
8.65,1.91
10.21,2.1
12.05,2.35
14.22,2.75
16.78,3.27
19.81,3.88
23.37,4.51
27.58,5.27
32.55,6.22
38.41,7.53
45.32,9.34
53.48,11.38
63.11,14.12
74.48,16.69
87.89,19.78
103.72,21.37
122.39,22.35
144.43,21.88
170.44,20.56
201.13,17.39
237.35,15.45
280.09,14.84
330.52,14.53
390.04,12.67
460.27,10.26
TOTAL,296.85
